[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=7.58933E-157]
[locus_tag=SynWH7803_2062],[protein_id=CAK24488.1],[gene=rpoB],[protein=DNA-directed RNA polymerase beta chain],[locus_tag=PMM1485],[protein_id=CAE19944.1],[gene=rpoB],[protein=RNA polymerase beta subunit],[evalue=0.00000E+00]
[locus_tag=SynWH7803_2063],[protein_id=CAK24489.1],[gene=tatD],[protein=Mg-dependent DNase],[locus_tag=PMM1486],[protein_id=CAE19945.1],[gene=None],"[protein=possible deoxyribonuclease, TatD family]",[evalue=1.49731E-114]
[locus_tag=SynWH7803_2064],[protein_id=CAK24490.1],[gene=rpsT],[protein=30S ribosomal protein S20],[locus_tag=PMM1487],[protein_id=CAE19946.1],"[gene=rpsT,rps20]",[protein=30s Ribosomal protein S20],[evalue=9.47502E-33]
[locus_tag=SynWH7803_2065],[protein_id=CAK24491.1],[gene=hisD],[protein=Histidinol dehydrogenase],[locus_tag=PMM1488],[protein_id=CAE19947.1],[gene=hisD],[protein=Histidinol dehydrogenase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_2066],[protein_id=CAK24492.1],"[gene=rpiA, cbbI, ppi]",[protein=Ribose-5-phosphate isomerase A],[locus_tag=PMM1489],[protein_id=CAE19948.1],"[gene=rpiA, cbbI]",[protein=Ribose 5-phosphate isomerase],[evalue=1.47620E-103]
[locus_tag=SynWH7803_2067],[protein_id=CAK24493.1],[gene=degQ],"[protein=Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain]",[locus_tag=PMM1490],[protein_id=CAE19949.1],[gene=None],[protein=Serine protease],[evalue=8.01749E-165],[locus_tag=PMM0090],[protein_id=CAE18549.1],[gene=None],[protein=possible serine protease],[evalue=7.96798E-97],[locus_tag=PMM1425],[protein_id=CAE19884.1],[gene=None],"[protein=Serine proteases, trypsin family:HtrA/DegQ protease family]",[evalue=9.48307E-31]
[locus_tag=SynWH7803_2076],[protein_id=CAK24502.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1491],[protein_id=CAE19950.1],[gene=None],[protein=DUF150],[evalue=5.24308E-25]
[locus_tag=SynWH7803_2077],[protein_id=CAK24503.1],[gene=nusA],[protein=Transcription elongation factor NusA],[locus_tag=PMM1492],[protein_id=CAE19951.1],[gene=nusA],[protein=N utilization substance protein A],[evalue=0.00000E+00]
[locus_tag=SynWH7803_2078],[protein_id=CAK24504.1],[gene=None],[protein=Predicted nucleic-acid-binding protein implicated in transcription termination],[locus_tag=PMM1493],[protein_id=CAE19952.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.14869E-16]
[locus_tag=SynWH7803_2079],[protein_id=CAK24505.1],[gene=infB],[protein=Translation initiation factor IF-2],[locus_tag=PMM1494],[protein_id=CAE19953.1],[gene=infB],[protein=Translation initiation factor IF-2],[evalue=0.00000E+00],[locus_tag=PMM0420],[protein_id=CAE18879.1],[gene=lepA],[protein=GTP-binding protein LepA],[evalue=8.02300E-13],[locus_tag=PMM1508],[protein_id=CAE19967.1],[gene=tufA],[protein=Elongation factor Tu],[evalue=1.86355E-11]
[locus_tag=SynWH7803_2084],[protein_id=CAK24510.1],[gene=psbA],[protein=Photosystem II protein D1],[locus_tag=PMM0223],[protein_id=CAE18682.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[evalue=0.00000E+00],[locus_tag=PMM1157],[protein_id=CAE19616.1],[gene=psbD],[protein=Photosystem II PsbD protein (D2)],[evalue=1.66454E-47]
[locus_tag=SynWH7803_2088],[protein_id=CAK24514.1],[gene=None],[protein=Succinylglutamate desuccinylase / Aspartoacylase family protein],[locus_tag=PMM0222],[protein_id=CAE18681.1],[gene=None],[protein=putative aspartoacylase],[evalue=9.10913E-92]
[locus_tag=SynWH7803_2089],[protein_id=CAK24515.1],[gene=None],[protein=Predicted glutathione S-transferase],[locus_tag=PMM0221],[protein_id=CAE18680.1],[gene=None],[protein=Glutathione S-transferase C terminus],[evalue=1.71551E-77]
[locus_tag=SynWH7803_2091],[protein_id=CAK24517.1],[gene=uup],[protein=ATPase components of ABC transporters with duplicated ATPase domain],[locus_tag=PMM0089],[protein_id=CAE18548.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[evalue=1.81745E-81],[locus_tag=PMM0089],[protein_id=CAE18548.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[evalue=4.03949E-23],[locus_tag=PMM0666],[protein_id=CAE19125.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]",[evalue=1.10194E-16]
[locus_tag=SynWH7803_2093],[protein_id=CAK24519.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0220],[protein_id=None],[gene=None],[protein=conserved hypothetical protein],[evalue=2.19654E-29]
[locus_tag=SynWH7803_2094],[protein_id=CAK24520.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0219],[protein_id=CAE18678.1],[gene=None],[protein=conserved hypothetical],[evalue=1.15553E-29]
[locus_tag=SynWH7803_2095],[protein_id=CAK24521.1],[gene=obg],[protein=Predicted GTPase],[locus_tag=PMM0218],[protein_id=CAE18677.1],[gene=None],[protein=GTP1/OBG family],[evalue=2.91431E-148],[locus_tag=PMM1138],[protein_id=CAE19597.1],[gene=None],[protein=probable GTP-binding protein],[evalue=2.15195E-19]
[locus_tag=SynWH7803_2096],[protein_id=CAK24522.1],[gene=malK],"[protein=ABC-type sugar transport system, ATPase component]",[locus_tag=PMM0803],[protein_id=CAE19262.1],"[gene=futC, sfuC]","[protein=ABC transporter, ATP binding component, possibly iron transporter]",[evalue=1.18111E-57],[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter],[evalue=2.86889E-36],[locus_tag=PMM0290],[protein_id=CAE18749.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[evalue=7.69849E-26]
[locus_tag=SynWH7803_2097],[protein_id=CAK24523.1],[gene=None],[protein=Mismatch repair ATPase (MutS family)],[locus_tag=PMM0217],[protein_id=CAE18676.1],[gene=mutS],[protein=putative DNA mismatch repair protein MutS family],[evalue=0.00000E+00],[locus_tag=PMM1645],[protein_id=CAE20104.1],"[gene=mutS,fdv]",[protein=putative DNA mismatch repair protein],[evalue=2.68401E-16]
[locus_tag=SynWH7803_2098],[protein_id=CAK24524.1],[gene=None],[protein=Putative lactoylglutathione lyase],[locus_tag=PMM0216],[protein_id=CAE18675.1],[gene=None],[protein=Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily],[evalue=1.55747E-62]
[locus_tag=SynWH7803_2099],[protein_id=CAK24525.1],[gene=hemB],[protein=Delta-aminolevulinic acid dehydratase],[locus_tag=PMM0215],[protein_id=CAE18674.1],[gene=None],[protein=Delta-aminolevulinic acid dehydratase],[evalue=1.57576E-176]
[locus_tag=SynWH7803_2100],[protein_id=CAK24526.1],[gene=dnaJ],[protein=DnaJ-class molecular chaperone],[locus_tag=PMM0896],[protein_id=CAE19355.1],[gene=dnaJ2],[protein=DnaJ2 protein],[evalue=1.23800E-32],[locus_tag=PMM0017],[protein_id=CAE18476.1],[gene=dnaJ],[protein=DnaJ protein],[evalue=1.12640E-21],[locus_tag=PMM0017],[protein_id=CAE18476.1],[gene=dnaJ],[protein=DnaJ protein],[evalue=2.03578E-21]
[locus_tag=SynWH7803_2102],[protein_id=CAK24528.1],[gene=None],"[protein=Sulfate permease, MSF superfamily]",[locus_tag=PMM0214],[protein_id=CAE18673.1],[gene=None],[protein=putative sulfate transporter],[evalue=0.00000E+00],[locus_tag=PMM0644],[protein_id=CAE19103.1],[gene=None],[protein=putative sulfate transporter],[evalue=1.56715E-38]
[locus_tag=SynWH7803_2104],[protein_id=CAK24530.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0719],[protein_id=CAE19178.1],[gene=None],[protein=hypothetical],[evalue=4.60152E-19],[locus_tag=PMM2002],[protein_id=None],[gene=None],[protein=None],[evalue=1.57015E-18],[locus_tag=PMM1401],[protein_id=CAE19860.1],[gene=None],[protein=conserved hypothetical],[evalue=1.07956E-14]
[locus_tag=SynWH7803_2106],[protein_id=CAK24532.1],[gene=None],[protein=Short-chain dehydrogenase/reductase family enzyme],[locus_tag=PMM0535],[protein_id=CAE18994.1],[gene=None],[protein=putative short-chain dehydrogenase],[evalue=3.61082E-17],[locus_tag=PMM0453],[protein_id=CAE18912.1],[gene=fabG],[protein=3-oxoacyl-[acyl-carrier protein],[evalue=2.41753E-14]
[locus_tag=SynWH7803_2114],[protein_id=CAK24540.1],[gene=None],[protein=Staphylococcal nuclease homologue],[locus_tag=PMM1417],[protein_id=CAE19876.1],[gene=None],[protein=Staphylococcus nuclease (SNase) homologues],[evalue=3.74695E-12]
[locus_tag=SynWH7803_2120],[protein_id=CAK24546.1],[gene=None],[protein=Predicted N6-adenine-specific DNA methylase],[locus_tag=PMM0053],[protein_id=CAE18512.1],[gene=None],[protein=Putative RNA methylase family UPF0020],[evalue=3.36534E-135]
[locus_tag=SynWH7803_2121],[protein_id=CAK24547.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM0054],[protein_id=CAE18513.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.03690E-42]
[locus_tag=SynWH7803_2122],[protein_id=CAK24548.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM0055],[protein_id=CAE18514.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.52201E-41]
[locus_tag=SynWH7803_2123],[protein_id=CAK24549.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0056],[protein_id=CAE18515.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.11570E-14]
[locus_tag=SynWH7803_2124],[protein_id=CAK24550.1],[gene=smc],[protein=Chromosome segregation ATPase],[locus_tag=PMM0057],[protein_id=CAE18516.1],[gene=None],"[protein=putative chromosome segregation protein, SMC ATPase superfamily]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_2125],[protein_id=CAK24551.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0058],[protein_id=CAE18517.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.94900E-128]
[locus_tag=SynWH7803_2126],[protein_id=CAK24552.1],[gene=msrB],[protein=Peptide methionine sulfoxide reductase MsrB],[locus_tag=PMM0015],[protein_id=CAE18474.1],[gene=None],[protein=Domain of unknown function DUF25],[evalue=3.40498E-44]
[locus_tag=SynWH7803_2127],[protein_id=CAK24553.1],[gene=None],[protein=Distantly related to Glycosyltransferase of family GT19],[locus_tag=PMM0059],[protein_id=CAE18518.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.76383E-140]
[locus_tag=SynWH7803_2128],[protein_id=CAK24554.1],[gene=accC],[protein=Biotin carboxylase (A subunit of acetyl-CoA carboxylase)],[locus_tag=PMM0060],[protein_id=CAE18519.1],"[gene=accC, fabG]","[protein=acetyl-CoA carboxylase, biotin carboxylase subunit]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_2129],[protein_id=CAK24555.1],[gene=None],[protein=YGGT family membrane protein],[locus_tag=PMM0061],[protein_id=CAE18520.1],[gene=None],"[protein=YGGT family, conserved hypothetical integral membrane protein]",[evalue=6.28643E-31]
[locus_tag=SynWH7803_2131],[protein_id=CAK24557.1],[gene=None],[protein=Conserved hypothetical protein with a ycf66 N-terminal domain],[locus_tag=PMM0063],[protein_id=CAE18522.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.39783E-87]
[locus_tag=SynWH7803_2134],[protein_id=CAK24560.1],[gene=hli],[protein=High light inducible protein],[locus_tag=PMM0064],[protein_id=CAE18523.1],[gene=hli2],[protein=possible high light inducible protein],[evalue=2.78359E-17]
[locus_tag=SynWH7803_2135],[protein_id=CAK24561.1],[gene=None],[protein=ABC-type uncharacterized transport system permease and ATPase component],[locus_tag=PMM0065],[protein_id=CAE18524.1],[gene=None],"[protein=ABC transporter, ATP binding protein]",[evalue=0.00000E+00],[locus_tag=PMM0666],[protein_id=CAE19125.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]",[evalue=1.32616E-15],[locus_tag=PMM0561],[protein_id=CAE19020.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=1.03041E-13]
[locus_tag=SynWH7803_2136],[protein_id=CAK24562.1],[gene=None],[protein=HIT family hydrolase],[locus_tag=PMM0067],[protein_id=CAE18526.1],[gene=None],[protein=HIT (Histidine triad) family protein],[evalue=6.86232E-51]
[locus_tag=SynWH7803_2138],[protein_id=CAK24564.1],[gene=rpsU],[protein=30S ribosomal protein S21],[locus_tag=PMM0987],[protein_id=CAE19446.1],"[gene=rps21, rpsU]",[protein=30S Ribosomal protein S21],[evalue=3.50403E-34]
[locus_tag=SynWH7803_2141],[protein_id=CAK24567.1],[gene=def],[protein=Peptide deformylase],[locus_tag=PMM0068],[protein_id=CAE18527.1],[gene=def],[protein=putative formylmethionine deformylase],[evalue=9.95957E-93]
[locus_tag=SynWH7803_2142],[protein_id=CAK24568.1],[gene=None],[protein=Dipeptidyl aminopeptidase family enzyme],[locus_tag=PMM0069],[protein_id=CAE18528.1],[gene=None],[protein=Esterase/lipase/thioesterase family active site],[evalue=2.05881E-117]
[locus_tag=SynWH7803_2145],[protein_id=CAK24571.1],[gene=gltS],[protein=Putative Na+/glutamate symporter],[locus_tag=PMM0628],[protein_id=CAE19087.1],[gene=None],"[protein=possible sodium:solute symporter, ESS family]",[evalue=8.25967E-84]
[locus_tag=SynWH7803_2147],[protein_id=CAK24573.1],[gene=csd],[protein=Selenocysteine lyase],[locus_tag=PMM0070],[protein_id=CAE18529.1],[gene=None],[protein=putative cysteine desulfurase or selenocysteine lyase],[evalue=0.00000E+00],[locus_tag=PMM0887],[protein_id=CAE19346.1],[gene=nifS],[protein=possible cysteine desulfurase (class-V aminotransferase family)],[evalue=1.51674E-19],[locus_tag=PMM0170],[protein_id=CAE18629.1],[gene=None],[protein=NifS-like aminotransferase class-V],[evalue=7.73639E-17]
[locus_tag=SynWH7803_2148],[protein_id=CAK24574.1],[gene=sufD],"[protein=SufD protein, Fe-S cluster assembly]",[locus_tag=PMM0071],[protein_id=CAE18530.1],[gene=None],"[protein=ABC transporter, membrane component]",[evalue=2.99599E-79],[locus_tag=PMM0073],[protein_id=CAE18532.1],[gene=None],"[protein=ABC transporter, membrane component]",[evalue=6.31635E-14]
[locus_tag=SynWH7803_2149],[protein_id=CAK24575.1],[gene=sufC],[protein=FeS assembly ATPase SufC],[locus_tag=PMM0072],[protein_id=CAE18531.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[evalue=1.15753E-133],[locus_tag=PMM0973],[protein_id=CAE19432.1],[gene=urtD],[protein=putative ATP binding subunit of urea ABC transport system],[evalue=6.91170E-14]
[locus_tag=SynWH7803_2150],[protein_id=CAK24576.1],[gene=sufB],"[protein=SufB protein, Fe-Scluster assembly]",[locus_tag=PMM0073],[protein_id=CAE18532.1],[gene=None],"[protein=ABC transporter, membrane component]",[evalue=0.00000E+00],[locus_tag=PMM0071],[protein_id=CAE18530.1],[gene=None],"[protein=ABC transporter, membrane component]",[evalue=7.24943E-11]
[locus_tag=SynWH7803_2155],[protein_id=CAK24581.1],[gene=None],[protein=Putative phycoerythrin linker protein CpeS homolog],[locus_tag=PMM0306],[protein_id=CAE18765.1],[gene=cpeS],[protein=phycoerythrin linker protein CpeS homolog],[evalue=7.62254E-16]
[locus_tag=SynWH7803_2157],[protein_id=CAK24583.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0075],[protein_id=CAE18534.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.89129E-134]
[locus_tag=SynWH7803_2158],[protein_id=CAK24584.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM1803],[protein_id=CAP16305.1],[gene=None],[protein=membrane protein],[evalue=8.19920E-20]
[locus_tag=SynWH7803_2164],[protein_id=CAK24590.1],[gene=pmg],[protein=Phosphoglucomutase],[locus_tag=PMM0076],[protein_id=CAE18535.1],[gene=pgm],[protein=Phosphoglucomutase],[evalue=0.00000E+00],[locus_tag=PMM0278],[protein_id=CAE18737.1],[gene=None],[protein=Phosphotransferase superclass],[evalue=7.64406E-23]
[locus_tag=SynWH7803_2168],[protein_id=CAK24594.1],[gene=None],[protein=ATPase related to the helicase subunit of the Holliday junction resolvase],[locus_tag=PMM0077],[protein_id=CAE18536.1],[gene=yrvN],"[protein=putative ATPase, AAA family]",[evalue=1.39163E-167]
[locus_tag=SynWH7803_2171],[protein_id=CAK24597.1],[gene=None],[protein=4'-phosphopantetheinyl transferase related protein],[locus_tag=PMM0078],[protein_id=CAE18537.1],[gene=None],[protein=possible 4'-phosphopantetheinyl transferase family protein],[evalue=5.51904E-38]
[locus_tag=SynWH7803_2172],[protein_id=CAK24598.1],[gene=bcp],[protein=Peroxiredoxin],[locus_tag=PMM0079],[protein_id=CAE18538.1],[gene=bcp],[protein=putative bacterioferritin comigratory (BCP) protein],[evalue=4.43993E-72],[locus_tag=PMM0345],[protein_id=CAE18804.1],[gene=None],[protein=putative bacterioferritin comigratory protein],[evalue=3.15750E-24],[locus_tag=PMM0903],[protein_id=CAE19362.1],[gene=None],[protein=Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein],[evalue=9.85340E-20]
[locus_tag=SynWH7803_2173],[protein_id=CAK24599.1],[gene=None],[protein=Predicted transcriptional regulator],[locus_tag=PMM0080],[protein_id=CAE18539.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.15396E-32]
[locus_tag=SynWH7803_2174],[protein_id=CAK24600.1],[gene=cysH],[protein=Phosphoadenosine phosphosulfate reductase (PAPS reductase)],[locus_tag=PMM0081],[protein_id=CAE18540.1],[gene=cysH],[protein=Phosphoadenosine phosphosulfate reductase],[evalue=4.91700E-103]
[locus_tag=SynWH7803_2175],[protein_id=CAK24601.1],[gene=ndh],"[protein=NADH dehydrogenase, FAD-containing subunit]",[locus_tag=PMM0082],[protein_id=CAE18541.1],[gene=None],"[protein=putative NADH dehydrogenase, transport associated]",[evalue=2.23077E-93]
[locus_tag=SynWH7803_2177],[protein_id=CAK24603.1],[gene=citT],[protein=Di/tricarboxylate transporter],[locus_tag=PMM0083],[protein_id=CAE18542.1],[gene=None],"[protein=putative sodium/sulfate transporter, DASS family]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_2178],[protein_id=CAK24604.1],[gene=ktrB/ntpJ],"[protein=Sodium transporter, Trk family]",[locus_tag=PMM0084],[protein_id=CAE18543.1],[gene=None],"[protein=possible sodium transporter, Trk family]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_2179],[protein_id=CAK24605.1],[gene=trkA],"[protein=K+ transport system, NAD-binding component]",[locus_tag=PMM0085],[protein_id=CAE18544.1],[gene=None],"[protein=putative potassium channel, VIC family]",[evalue=5.71644E-128]
[locus_tag=SynWH7803_2181],[protein_id=CAK24607.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0086],[protein_id=CAE18545.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.65377E-32]
[locus_tag=SynWH7803_2182],[protein_id=CAK24608.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0087],[protein_id=CAE18546.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.15547E-33]
[locus_tag=SynWH7803_2183],[protein_id=CAK24609.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0088],[protein_id=CAE18547.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.99153E-20]
[locus_tag=SynWH7803_2185],[protein_id=CAK24611.1],[gene=uup],[protein=ATPase component of ABC transporter with duplicated ATPase domain],[locus_tag=PMM0089],[protein_id=CAE18548.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[evalue=0.00000E+00],[locus_tag=PMM0089],[protein_id=CAE18548.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[evalue=9.26220E-24],[locus_tag=PMM0089],[protein_id=CAE18548.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[evalue=3.98618E-23]
[locus_tag=SynWH7803_2186],[protein_id=CAK24612.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1805],[protein_id=CAP16307.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.91170E-12]
[locus_tag=SynWH7803_2187],[protein_id=CAK24613.1],[gene=degQ],[protein=Periplasmic trypsin-like serine protease],[locus_tag=PMM0090],[protein_id=CAE18549.1],[gene=None],[protein=possible serine protease],[evalue=8.76353E-121],[locus_tag=PMM1490],[protein_id=CAE19949.1],[gene=None],[protein=Serine protease],[evalue=9.05021E-101],[locus_tag=PMM1425],[protein_id=CAE19884.1],[gene=None],"[protein=Serine proteases, trypsin family:HtrA/DegQ protease family]",[evalue=5.47814E-28]
[locus_tag=SynWH7803_2188],[protein_id=CAK24614.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0091],[protein_id=CAE18550.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.68080E-22]
[locus_tag=SynWH7803_2189],[protein_id=CAK24615.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0092],[protein_id=CAE18551.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.27257E-65]
[locus_tag=SynWH7803_2191],[protein_id=CAK24617.1],[gene=hli],[protein=High light inducible protein],[locus_tag=PMM0093],[protein_id=CAE18552.1],[gene=hli1],[protein=possible high light inducible protein],[evalue=1.29984E-23]
[locus_tag=SynWH7803_2195],[protein_id=CAK24621.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM1045],[protein_id=CAE19504.1],[gene=None],[protein=conserved hypothetical],[evalue=4.05513E-19]
[locus_tag=SynWH7803_2197],[protein_id=CAK24623.1],[gene=None],[protein=Ribonuclease BN-like family protein],[locus_tag=PMM0095],[protein_id=CAE18554.1],[gene=None],[protein=similar to serum resistance locus BrkB],[evalue=3.72543E-112]
[locus_tag=SynWH7803_2198],[protein_id=CAK24624.1],[gene=None],[protein=Inositol monophosphatase family protein],[locus_tag=PMM0096],[protein_id=CAE18555.1],[gene=None],[protein=inositol monophosphate family protein],[evalue=3.21779E-109],[locus_tag=PMM0899],[protein_id=CAE19358.1],[gene=None],[protein=Possible myo-inositol-1(or 4)-monophosphatase],[evalue=4.89431E-17]
[locus_tag=SynWH7803_2199],[protein_id=CAK24625.1],[gene=tolC],[protein=Outer membrane efflux protein],[locus_tag=PMM0097],[protein_id=CAE18556.1],[gene=None],[protein=possible RND family outer membrane efflux protein],[evalue=1.37441E-64]
[locus_tag=SynWH7803_2200],[protein_id=CAK24626.1],[gene=None],[protein=Fe-S oxidoreductase],[locus_tag=PMM0098],[protein_id=CAE18557.1],[gene=None],[protein=possible Fe-S oxidoreductase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_2201],[protein_id=CAK24627.1],[gene=uppP],[protein=Undecaprenyl-diphosphatase],[locus_tag=PMM0956],[protein_id=CAE19415.1],[gene=None],[protein=Bacitracin resistance protein BacA],[evalue=8.63198E-77]
[locus_tag=SynWH7803_2202],[protein_id=CAK24628.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM0099],[protein_id=CAE18558.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.20426E-60]
[locus_tag=SynWH7803_2204],[protein_id=CAK24630.1],[gene=nadB],[protein=L-aspartate oxidase],[locus_tag=PMM0100],[protein_id=CAE18559.1],[gene=nadB],[protein=L-aspartate oxidase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_2205],[protein_id=CAK24631.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM0101],[protein_id=CAE18560.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.90730E-103]
[locus_tag=SynWH7803_2206],[protein_id=CAK24632.1],[gene=None],[protein=2-methylthioadenine synthetase],[locus_tag=PMM0102],[protein_id=CAE18561.1],[gene=None],[protein=possible Fe-S oxidoreductase],[evalue=0.00000E+00],[locus_tag=PMM1305],[protein_id=CAE19764.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.33401E-62]
[locus_tag=SynWH7803_2209],[protein_id=CAK24635.1],[gene=None],[protein=Conserved hypothetical protein specific for cyanobacteria],[locus_tag=PMM0103],[protein_id=CAE18562.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.17731E-39]
[locus_tag=SynWH7803_2210],[protein_id=CAK24636.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0104],[protein_id=CAE18563.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.79874E-145]
[locus_tag=SynWH7803_2211],[protein_id=CAK24637.1],[gene=ribD],"[protein=Pyrimidine reductase, riboflavin biosynthesis]",[locus_tag=PMM0105],[protein_id=CAE18564.1],[gene=ribG],[protein=RibD/ribG C-terminal domain],[evalue=1.94605E-47]
[locus_tag=SynWH7803_2212],[protein_id=CAK24638.1],[gene=None],[protein=6-pyruvoyl-tetrahydropterin synthase],[locus_tag=PMM0106],[protein_id=CAE18565.1],[gene=None],[protein=6-pyruvoyl tetrahydropterin synthase],[evalue=8.00399E-160]
[locus_tag=SynWH7803_2213],[protein_id=CAK24639.1],[gene=aroK],[protein=Shikimate kinase],[locus_tag=PMM0107],[protein_id=CAE18566.1],[gene=aroK],[protein=Shikimate kinase],[evalue=9.26462E-51]
[locus_tag=SynWH7803_2214],[protein_id=CAK24640.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0108],[protein_id=CAE18567.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.00620E-13]
[locus_tag=SynWH7803_2215],[protein_id=CAK24641.1],[gene=None],[protein=Uncharacterized conserved secreted protein],[locus_tag=PMM0109],[protein_id=CAE18568.1],[gene=None],[protein=possible POLO box duplicated region.],[evalue=6.39412E-42]
[locus_tag=SynWH7803_2216],[protein_id=CAK24642.1],[gene=gst],[protein=Glutathione S-transferase],[locus_tag=PMM0110],[protein_id=CAE18569.1],[gene=None],[protein=putative glutathione S-transferase],[evalue=3.80243E-81]
[locus_tag=SynWH7803_2217],[protein_id=CAK24643.1],[gene=None],[protein=Conserved hypothetical protein specific for phototrophic organisms],[locus_tag=PMM0111],[protein_id=CAE18570.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.03427E-17]
[locus_tag=SynWH7803_2218],[protein_id=CAK24644.1],[gene=rbfA],[protein=Ribosome-binding factor A],[locus_tag=PMM0112],[protein_id=CAE18571.1],[gene=rbfA],[protein=Ribosome-binding factor A],[evalue=1.42076E-30]
[locus_tag=SynWH7803_2221],[protein_id=CAK24647.1],[gene=hemD],[protein=Uroporphyrinogen-III synthase],[locus_tag=PMM0113],[protein_id=CAE18572.1],[gene=hemD],[protein=putative uroporphyrinogen III synthase],[evalue=1.50448E-93]
[locus_tag=SynWH7803_2223],[protein_id=CAK24649.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0114],[protein_id=CAE18573.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.48176E-63]
[locus_tag=SynWH7803_2224],[protein_id=CAK24650.1],"[gene=crtQ, zds]",[protein=Zeta-carotene desaturase],[locus_tag=PMM0115],[protein_id=CAE18574.1],[gene=crtQ],[protein=zeta-carotene desaturase],[evalue=0.00000E+00],[locus_tag=PMM0144],[protein_id=CAE18603.1],"[gene=pds,crtD]",[protein=phytoene desaturase],[evalue=1.64546E-79]
