[locus_tag=SynWH8103_00001],[protein_id=CRY90759.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=3.93831E-159]
[locus_tag=SynWH8103_02098],[protein_id=CRY92814.1],[gene=lgt],[protein=prolipoprotein diacylglyceryl transferase],[locus_tag=PMM0460],[protein_id=CAE18919.1],"[gene=yvoC, lgt, umpA]",[protein=putative prolipoprotein diacylglyceryl transferase],[evalue=1.14307E-104]
[locus_tag=SynWH8103_02099],[protein_id=CRY92815.1],[gene=cobM],[protein=precorrin-4 C11-methyltransferase],[locus_tag=PMM0459],[protein_id=CAE18918.1],[gene=cobM],[protein=PUTATIVE PRECORRIN-4 C11-METHYLTRANSFERASE],[evalue=5.31074E-92],[locus_tag=PMM1694],[protein_id=CAE20153.1],[gene=cobA],[protein=putative uroporphyrin-III C-methyltransferase],[evalue=3.36937E-13]
[locus_tag=SynWH8103_02102],[protein_id=CRY92816.1],[gene=None],[protein=helix-turn-helix domain protein],[locus_tag=PMM0458],[protein_id=CAE18917.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.59263E-19]
[locus_tag=SynWH8103_02101],[protein_id=CRY92817.1],[gene=ppX],"[protein=Exopolyphosphatase; Guanosine-5 prime-triphosphate,3 prime-diphosphate diphosphatase]",[locus_tag=PMM0457],[protein_id=CAE18916.1],[gene=ppx],[protein=putative exopolyphosphatase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_02103],[protein_id=CRY92818.1],[gene=None],[protein=ubiA prenyltransferase family protein],[locus_tag=PMM0456],[protein_id=CAE18915.1],[gene=ubiA],[protein=probable 4-hydroxybenzoate-octaprenyltransferase],[evalue=1.93451E-91]
[locus_tag=SynWH8103_02105],[protein_id=CRY92819.1],[gene=None],[protein=LD-carboxypeptidase family protein],[locus_tag=PMM0455],[protein_id=CAE18914.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.78525E-85]
[locus_tag=SynWH8103_02104],[protein_id=CRY92820.1],[gene=ispD],[protein=2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase],[locus_tag=PMM0454],[protein_id=CAE18913.1],[gene=ispD],[protein=putative 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase],[evalue=2.31357E-88]
[locus_tag=SynWH8103_02107],[protein_id=CRY92822.1],[gene=None],"[protein=putative potassium channel, VIC family]",[locus_tag=PMM0704],[protein_id=CAE19163.1],[gene=None],"[protein=putative potassium channel, VIC family]",[evalue=2.57224E-145],[locus_tag=PMM0085],[protein_id=CAE18544.1],[gene=None],"[protein=putative potassium channel, VIC family]",[evalue=1.93797E-06]
[locus_tag=SynWH8103_02108],[protein_id=CRY92823.1],[gene=fabG],[protein=3-oxoacyl-[acyl-carrier-protein],[locus_tag=PMM0453],[protein_id=CAE18912.1],[gene=fabG],[protein=3-oxoacyl-[acyl-carrier protein],[evalue=2.90358E-100],[locus_tag=PMM0535],[protein_id=CAE18994.1],[gene=None],[protein=putative short-chain dehydrogenase],[evalue=9.06031E-23],[locus_tag=PMM1361],[protein_id=CAE19820.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=1.05999E-09]
[locus_tag=SynWH8103_02109],[protein_id=CRY92824.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1850],[protein_id=CAP16354.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.01353E-21]
[locus_tag=SynWH8103_02111],[protein_id=CRY92825.1],[gene=groL2],[protein=chaperonin GroEL],[locus_tag=PMM0452],[protein_id=CAE18911.1],"[gene=groEL2,cpn60-2]",[protein=GroEL2 protein (Chaperonin cpn60 2)],[evalue=0.00000E+00],[locus_tag=PMM1436],[protein_id=CAE19895.1],[gene=groEL],[protein=GroEL protein (Chaperonin cpn60)],[evalue=0.00000E+00]
[locus_tag=SynWH8103_02113],[protein_id=CRY92828.1],[gene=None],[protein=ABC-2 type transporter family protein],[locus_tag=PMM0450],[protein_id=CAE18909.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=9.24069E-131]
[locus_tag=SynWH8103_02114],[protein_id=CRY92829.1],[gene=None],"[protein=ABC-type multidrug transport system, ATPase component]",[locus_tag=PMM0449],[protein_id=CAE18908.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=1.73739E-149],[locus_tag=PMM0764],[protein_id=CAE19223.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[evalue=3.40366E-25],[locus_tag=PMM0976],[protein_id=CAE19435.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=6.39157E-25]
[locus_tag=SynWH8103_02115],[protein_id=CRY92830.1],[gene=ctaB],[protein=protoheme IX farnesyltransferase],[locus_tag=PMM0448],[protein_id=CAE18907.1],[gene=ctaB],[protein=putative protoheme IX farnesyltransferase],[evalue=3.21191E-159]
[locus_tag=SynWH8103_02116],[protein_id=CRY92831.1],[gene=ctaA],[protein=cytochrome oxidase biogenesis protein],[locus_tag=PMM0447],[protein_id=CAE18906.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.35634E-80]
[locus_tag=SynWH8103_02117],[protein_id=CRY92832.1],[gene=ctaCI],[protein=cytochrome c oxidase subunit II],[locus_tag=PMM0446],[protein_id=CAE18905.1],[gene=ctaC (coxB)],"[protein=putative cytochrome c oxidase, subunit 2]",[evalue=3.04756E-109]
[locus_tag=SynWH8103_02118],[protein_id=CRY92833.1],[gene=ctaD1],[protein=cytochrome c oxidase subunit I],[locus_tag=PMM0445],[protein_id=CAE18904.1],[gene=ctaD (coxA)],"[protein=Cytochrome c oxidase, subunit I]",[evalue=0.00000E+00]
[locus_tag=SynWH8103_02120],[protein_id=CRY92834.1],[gene=ctaEI],[protein=cytochrome c oxidase subunit III],[locus_tag=PMM0444],[protein_id=CAE18903.1],[gene=ctaE],"[protein=Cytochrome c oxidase, subunit III]",[evalue=3.39802E-102]
[locus_tag=SynWH8103_02121],[protein_id=CRY92836.1],[gene=ribE],"[protein=riboflavin synthase, alpha subunit]",[locus_tag=PMM0442],[protein_id=CAE18901.1],[gene=ribE],[protein=Putative Riboflavin synthase alpha chain],[evalue=4.32930E-74]
[locus_tag=SynWH8103_02124],[protein_id=CRY92838.1],[gene=None],[protein=aldo/keto reductase family protein],[locus_tag=PMM0441],[protein_id=CAE18900.1],[gene=None],[protein=Aldo/keto reductase family],[evalue=2.17092E-141],[locus_tag=PMM1476],[protein_id=CAE19935.1],[gene=None],[protein=Aldo/keto reductase family],[evalue=3.49899E-47]
[locus_tag=SynWH8103_02123],[protein_id=CRY92839.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0440],[protein_id=CAE18899.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.45312E-49]
[locus_tag=SynWH8103_02125],[protein_id=CRY92840.1],[gene=None],[protein=phosphoribosyltransferase family protein],[locus_tag=PMM0439],[protein_id=CAE18898.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.36151E-99]
[locus_tag=SynWH8103_02126],[protein_id=CRY92841.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0438],[protein_id=CAE18897.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.07436E-74]
[locus_tag=SynWH8103_02128],[protein_id=CRY92843.1],[gene=topA],"[protein=DNA topoisomerase I, omega subunit]",[locus_tag=PMM0436],[protein_id=CAE18895.1],[gene=topA],[protein=Prokaryotic DNA topoisomerase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_02129],[protein_id=CRY92844.1],[gene=ndhB],[protein=NADH dehydrogenase I subunit NdhB (chain 2)],[locus_tag=PMM0435],[protein_id=CAE18894.1],[gene=ndhB],[protein=putative NADH dehydrogenase (complex I) subunit (chain 2)],[evalue=0.00000E+00],[locus_tag=PMM0150],[protein_id=CAE18609.1],[gene=ndhD],[protein=putative NADH dehydrogenase subunit (chain 4)],[evalue=4.45877E-16],[locus_tag=PMM0149],[protein_id=CAE18608.1],[gene=ndhF],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 5)],[evalue=4.90678E-16]
[locus_tag=SynWH8103_02130],[protein_id=CRY92845.1],[gene=ftsE],[protein=cell division ATP-binding protein FtsE (septation component-transport ATP-binding protein ABC transporter)],[locus_tag=PMM0434],[protein_id=CAE18893.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]",[evalue=1.28850E-119],[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=4.88926E-36],[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter],[evalue=9.13522E-32]
[locus_tag=SynWH8103_02132],[protein_id=CRY92847.1],[gene=None],[protein=two-component system response regulator],[locus_tag=PMM0705],[protein_id=CAE19164.1],[gene=phoB],"[protein=two-component response regulator, phosphate]",[evalue=5.27853E-41],[locus_tag=PMM1619],[protein_id=CAE20078.1],[gene=None],[protein=two-component response regulator],[evalue=5.27764E-38],[locus_tag=PMM0134],[protein_id=CAE18593.1],[gene=rpaB],[protein=two-component response regulator],[evalue=7.42277E-36]
[locus_tag=SynWH8103_02133],[protein_id=CRY92848.1],[gene=None],[protein=biotin--[acetyl-CoA-carboxylase],[locus_tag=PMM0433],[protein_id=CAE18892.1],[gene=BirA],[protein=putative Biotin--acetyl-CoA-carboxylase ligase],[evalue=6.16588E-46]
[locus_tag=SynWH8103_02134],[protein_id=CRY92849.1],[gene=None],[protein=aspartate transaminase],[locus_tag=PMM0674],[protein_id=CAE19133.1],[gene=aspC],[protein=Aminotransferases class-I],[evalue=8.68116E-21],[locus_tag=PMM1500],[protein_id=CAE19959.1],[gene=None],[protein=putative aminotransferase],[evalue=2.33795E-15]
[locus_tag=SynWH8103_02135],[protein_id=CRY92850.1],[gene=trxB],[protein=Thioredoxin (x-type)],[locus_tag=PMM1061],[protein_id=CAE19520.1],[gene=trxA],[protein=Thioredoxin],[evalue=1.19623E-27]
[locus_tag=SynWH8103_02139],[protein_id=CRY92854.1],[gene=None],[protein=possible inverting glycosyltransferase utilizinglipid monophospho-sugar donors],[locus_tag=PMM1177],[protein_id=CAE19636.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=SynWH8103_02140],[protein_id=CRY92855.1],[gene=None],[protein=glycosyl transferases group 1 family protein],[locus_tag=PMM1178],[protein_id=CAE19637.1],[gene=None],[protein=Glycosyl transferases group 1],[evalue=2.06567E-126],[locus_tag=PMM1711],[protein_id=CAE20170.1],[gene=sps],[protein=Sucrose phosphate synthase],[evalue=5.65207E-07],[locus_tag=PMM1666],[protein_id=CAE20125.1],[gene=sqdX],[protein=SqdX],[evalue=1.60913E-06]
[locus_tag=SynWH8103_02141],[protein_id=CRY92856.1],[gene=None],[protein=drug/metabolite transporter (DMT) superfamily efflux protein],[locus_tag=PMM1179],[protein_id=CAE19638.1],[gene=None],"[protein=putative SMR family transporter, possible pecM homologue]",[evalue=3.11852E-109]
[locus_tag=SynWH8103_02142],[protein_id=CRY92857.1],[gene=sppA],[protein=Periplasmic serine proteases (ClpP class)],[locus_tag=PMM1180],[protein_id=CAE19639.1],[gene=sppA],[protein=signal peptide peptidase SppA (protease IV)],[evalue=1.23248E-124]
[locus_tag=SynWH8103_02143],[protein_id=CRY92858.1],[gene=aroH],[protein=chorismate mutase],[locus_tag=PMM1181],[protein_id=CAE19640.1],[gene=tyrA],[protein=Chorismate mutase],[evalue=2.39668E-40]
[locus_tag=SynWH8103_02144],[protein_id=CRY92859.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1182],[protein_id=CAE19641.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.01076E-31]
[locus_tag=SynWH8103_02145],[protein_id=CRY92860.1],[gene=rpmH],[protein=50S ribosomal protein L34],[locus_tag=PMM1183],[protein_id=CAE19642.1],"[gene=rpl34, rpmH]",[protein=50S ribosomal protein L34],[evalue=1.43780E-21]
[locus_tag=SynWH8103_02146],[protein_id=CRY92861.1],[gene=rnpA],[protein=Ribonuclease P protein component],[locus_tag=PMM1184],[protein_id=CAE19643.1],[gene=rnpA],[protein=Bacterial ribonuclease P protein component],[evalue=2.56793E-26]
[locus_tag=SynWH8103_02147],[protein_id=CRY92862.1],[gene=None],[protein=bacterial PH domain-containing protein],[locus_tag=PMM1185],[protein_id=CAE19644.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.38947E-58]
[locus_tag=SynWH8103_02148],[protein_id=CRY92863.1],[gene=yidC],[protein=preprotein translocase subunit YidC],[locus_tag=PMM1186],[protein_id=CAE19645.1],[gene=None],[protein=Putative inner membrane protein; similar to 60 kDa inner membrane protein family],[evalue=0.00000E+00]
[locus_tag=SynWH8103_02150],[protein_id=CRY92865.1],[gene=None],[protein=ATPase associated with various cellular activities family protein],[locus_tag=PMM1187],[protein_id=CAE19646.1],[gene=None],[protein=conserved hypothetical],[evalue=0.00000E+00],[locus_tag=PMM1264],[protein_id=CAE19723.1],[gene=ftsH3],[protein=cell division protein FtsH3],[evalue=1.34105E-29],[locus_tag=PMM0854],[protein_id=CAE19313.1],[gene=ftsH4],[protein=cell division protein FtsH4],[evalue=1.52946E-29]
[locus_tag=SynWH8103_02152],[protein_id=CRY92867.1],[gene=serS],[protein=serine--tRNA ligase],[locus_tag=PMM1188],[protein_id=CAE19647.1],[gene=serS],[protein=Seryl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_02153],[protein_id=CRY92868.1],[gene=rseP],[protein=RIP metalloprotease RseP],[locus_tag=PMM1189],[protein_id=CAE19648.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.08505E-143]
[locus_tag=SynWH8103_02154],[protein_id=CRY92869.1],[gene=rpsN],[protein=30S ribosomal protein S14],[locus_tag=PMM1190],[protein_id=CAE19649.1],"[gene=rps14, rpsN]",[protein=30S Ribosomal protein S14],[evalue=2.08341E-60]
[locus_tag=SynWH8103_02155],[protein_id=CRY92870.1],[gene=pnp],[protein=polyribonucleotide nucleotidyltransferase],[locus_tag=PMM1191],[protein_id=CAE19650.1],[gene=pnp],[protein=polyribonucleotide nucleotidyltransferase],[evalue=0.00000E+00],[locus_tag=PMM0312],[protein_id=CAE18771.1],"[gene=rps1a, rpsA1]","[protein=30S ribosomal protein S1, homolog A]",[evalue=1.08143E-09]
[locus_tag=SynWH8103_02156],[protein_id=CRY92871.1],[gene=None],[protein=inositol monophosphatase family protein],[locus_tag=PMM1192],[protein_id=CAE19651.1],[gene=None],[protein=CysQ protein homolog],[evalue=3.92835E-76],[locus_tag=PMM0899],[protein_id=CAE19358.1],[gene=None],[protein=Possible myo-inositol-1(or 4)-monophosphatase],[evalue=2.11472E-12],[locus_tag=PMM0096],[protein_id=CAE18555.1],[gene=None],[protein=inositol monophosphate family protein],[evalue=1.53069E-09]
[locus_tag=SynWH8103_02157],[protein_id=CRY92872.1],[gene=rsmI],[protein=2-O-methyltransferase],[locus_tag=PMM1193],[protein_id=CAE19652.1],[gene=None],[protein=putative tetrapyrrole methylase family protein],[evalue=6.24377E-91]
[locus_tag=SynWH8103_02158],[protein_id=CRY92873.1],[gene=None],[protein=putative membrane protein],[locus_tag=PMM1194],[protein_id=CAE19653.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.22238E-07]
[locus_tag=SynWH8103_02159],[protein_id=CRY92874.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1195],[protein_id=CAE19654.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.24544E-26]
[locus_tag=SynWH8103_02164],[protein_id=CRY92878.1],[gene=None],[protein=tetratricopeptide repeat family protein],[locus_tag=PMM0006],[protein_id=CAE18465.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.97447E-12]
[locus_tag=SynWH8103_02165],[protein_id=CRY92879.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM2059],[protein_id=CAX37122.1],[gene=None],[protein=Hypothetical protein],[evalue=1.52464E-06]
[locus_tag=SynWH8103_02171],[protein_id=CRY92885.1],[gene=None],[protein=phage integrase family],[locus_tag=PMM0524],[protein_id=CAE18983.1],[gene=None],[protein=Phage integrase family],[evalue=2.30871E-09]
[locus_tag=SynWH8103_02176],[protein_id=CRY92889.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0351],[protein_id=CAE18810.1],[gene=None],"[protein=possible Small, acid-soluble spore proteins, a]",[evalue=4.15466E-12]
[locus_tag=SynWH8103_02180],[protein_id=CRY92893.1],[gene=None],[protein=SPFH domain / Band 7 family protein],[locus_tag=PMM0482],[protein_id=CAE18941.1],[gene=phb],[protein=Band 7 protein],[evalue=8.99811E-132]
[locus_tag=SynWH8103_02186],[protein_id=CRY92897.1],[gene=gbmt2],[protein=Sarcosine-dimethylglycine methyltransferase],[locus_tag=PMM1505],[protein_id=CAE19964.1],[gene=None],[protein=SAM (and some other nucleotide) binding motif],[evalue=7.88437E-16]
[locus_tag=SynWH8103_02189],[protein_id=CRY92900.1],[gene=proV],"[protein=ABC-type proline/glycine betaine transport system, ATPase component]",[locus_tag=PMM0434],[protein_id=CAE18893.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]",[evalue=2.63912E-39],[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter],[evalue=4.77954E-35],[locus_tag=PMM0803],[protein_id=CAE19262.1],"[gene=futC, sfuC]","[protein=ABC transporter, ATP binding component, possibly iron transporter]",[evalue=4.91546E-35]
[locus_tag=SynWH8103_02190],[protein_id=CRY92901.1],[gene=proW],"[protein=ABC-type glycine betaine/proline transporter, membrane component]",[locus_tag=PMM0371],[protein_id=CAE18830.1],[gene=None],[protein=putative cyanate ABC transporter],[evalue=2.27961E-08]
[locus_tag=SynWH8103_02192],[protein_id=CRY92903.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0360],[protein_id=CAE18819.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.82142E-46]
[locus_tag=SynWH8103_02193],[protein_id=CRY92904.1],[gene=psbA],[protein=photosystem II protein D1.2],[locus_tag=PMM0223],[protein_id=CAE18682.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[evalue=0.00000E+00],[locus_tag=PMM1157],[protein_id=CAE19616.1],[gene=psbD],[protein=Photosystem II PsbD protein (D2)],[evalue=8.86516E-47]
[locus_tag=SynWH8103_02196],[protein_id=CRY92907.1],[gene=None],[protein=succinylglutamate desuccinylase / Aspartoacylasefamily protein],[locus_tag=PMM0222],[protein_id=CAE18681.1],[gene=None],[protein=putative aspartoacylase],[evalue=1.33891E-86]
[locus_tag=SynWH8103_02197],[protein_id=CRY92908.1],[gene=None],"[protein=Glutathione S-transferase, C-terminal domain]",[locus_tag=PMM0221],[protein_id=CAE18680.1],[gene=None],[protein=Glutathione S-transferase C terminus],[evalue=4.61304E-82]
[locus_tag=SynWH8103_02199],[protein_id=CRY92910.1],[gene=ccmA],"[protein=heme ABC exporter, ATP-binding protein CcmA]",[locus_tag=PMM0089],[protein_id=CAE18548.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[evalue=1.45710E-77],[locus_tag=PMM0089],[protein_id=CAE18548.1],[gene=None],"[protein=ABC transporter, ATP binding component]",[evalue=3.16380E-23],[locus_tag=PMM0192],[protein_id=CAE18651.1],[gene=None],"[protein=ABC transporter, ATP binding component, possibly for oligopeptides]",[evalue=2.14293E-20]
[locus_tag=SynWH8103_02200],[protein_id=CRY92911.1],[gene=None],[protein=CP12 domain protein],[locus_tag=PMM0220],[protein_id=None],[gene=None],[protein=conserved hypothetical protein],[evalue=1.17663E-28]
[locus_tag=SynWH8103_02201],[protein_id=CRY92912.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0219],[protein_id=CAE18678.1],[gene=None],[protein=conserved hypothetical],[evalue=2.98269E-28]
[locus_tag=SynWH8103_02202],[protein_id=CRY92913.1],[gene=cgtA],[protein=obg family GTPase CgtA],[locus_tag=PMM0218],[protein_id=CAE18677.1],[gene=None],[protein=GTP1/OBG family],[evalue=9.28141E-147],[locus_tag=PMM1138],[protein_id=CAE19597.1],[gene=None],[protein=probable GTP-binding protein],[evalue=4.69854E-18]
[locus_tag=SynWH8103_02203],[protein_id=CRY92914.1],[gene=None],[protein=ABC transporter family protein],[locus_tag=PMM0803],[protein_id=CAE19262.1],"[gene=futC, sfuC]","[protein=ABC transporter, ATP binding component, possibly iron transporter]",[evalue=6.70265E-54],[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter],[evalue=1.60026E-37],[locus_tag=PMM0192],[protein_id=CAE18651.1],[gene=None],"[protein=ABC transporter, ATP binding component, possibly for oligopeptides]",[evalue=8.47756E-24]
[locus_tag=SynWH8103_02205],[protein_id=CRY92916.1],[gene=None],[protein=Mismatch repair ATPase-like protein (MutS family)],[locus_tag=PMM0217],[protein_id=CAE18676.1],[gene=mutS],[protein=putative DNA mismatch repair protein MutS family],[evalue=0.00000E+00],[locus_tag=PMM1645],[protein_id=CAE20104.1],"[gene=mutS,fdv]",[protein=putative DNA mismatch repair protein],[evalue=1.65423E-15]
[locus_tag=SynWH8103_02206],[protein_id=CRY92917.1],[gene=None],[protein=glyoxalase/Bleomycin resistance /Dioxygenase superfamily protein],[locus_tag=PMM0216],[protein_id=CAE18675.1],[gene=None],[protein=Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily],[evalue=1.98159E-57]
[locus_tag=SynWH8103_02207],[protein_id=CRY92918.1],[gene=HEMB],"[protein=delta-aminolevulinic acid dehydratase, chloroplastic]",[locus_tag=PMM0215],[protein_id=CAE18674.1],[gene=None],[protein=Delta-aminolevulinic acid dehydratase],[evalue=6.33879E-173]
[locus_tag=SynWH8103_02208],[protein_id=CRY92919.1],[gene=dnaJ],[protein=Chaperone DnaJ protein],[locus_tag=PMM0896],[protein_id=CAE19355.1],[gene=dnaJ2],[protein=DnaJ2 protein],[evalue=6.16190E-30],[locus_tag=PMM0017],[protein_id=CAE18476.1],[gene=dnaJ],[protein=DnaJ protein],[evalue=2.48577E-21],[locus_tag=PMM0017],[protein_id=CAE18476.1],[gene=dnaJ],[protein=DnaJ protein],[evalue=3.70635E-20]
[locus_tag=SynWH8103_02209],[protein_id=CRY92920.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0101],[protein_id=CAE18560.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.99211E-12]
[locus_tag=SynWH8103_02210],[protein_id=CRY92921.1],[gene=sul3],[protein=sulfate transporter family protein],[locus_tag=PMM0214],[protein_id=CAE18673.1],[gene=None],[protein=putative sulfate transporter],[evalue=0.00000E+00],[locus_tag=PMM0644],[protein_id=CAE19103.1],[gene=None],[protein=putative sulfate transporter],[evalue=1.46657E-29]
[locus_tag=SynWH8103_02212],[protein_id=CRY92923.1],[gene=miaE],[protein=putative tRNA-(MS[2],[locus_tag=PMM0388],[protein_id=CAE18847.1],[gene=None],[protein=putative similar to tRNA-(MS[2],[evalue=5.14656E-72]
[locus_tag=SynWH8103_02213],[protein_id=CRY92924.1],[gene=aroQ],"[protein=3-dehydroquinate dehydratase, type II]",[locus_tag=PMM0387],[protein_id=CAE18846.1],[gene=aroD],[protein=Dehydroquinase class II],[evalue=4.00197E-62]
[locus_tag=SynWH8103_02229],[protein_id=CRY92938.1],[gene=phoH-like],[protein=PhoH family protein],[locus_tag=PMM1284],[protein_id=CAE19743.1],"[gene=phoH,psiH]",[protein=PhoH-like phosphate starvation-inducible protein],[evalue=5.90427E-23]
[locus_tag=SynWH8103_02230],[protein_id=CRY92939.1],[gene=None],[protein=putative lysine decarboxylase family protein],[locus_tag=PMM1379],[protein_id=CAE19838.1],[gene=None],[protein=putative dape gene and orf2],[evalue=8.12909E-117]
[locus_tag=SynWH8103_02233],[protein_id=CRY92942.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1846],[protein_id=CAP16350.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=5.87019E-17]
[locus_tag=SynWH8103_02234],[protein_id=CRY92943.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1462],[protein_id=CAE19921.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.22850E-15]
[locus_tag=SynWH8103_02238],[protein_id=CRY92947.1],[gene=ALDH],[protein=aldehyde dehydrogenase],[locus_tag=PMM0331],[protein_id=CAE18790.1],[gene=None],[protein=Putative aldehyde dehydrogenase],[evalue=7.04141E-132]
[locus_tag=SynWH8103_02239],[protein_id=CRY92948.1],[gene=None],[protein=lysM domain protein],[locus_tag=PMM0330],[protein_id=CAE18789.1],[gene=None],[protein=possible LysM domain],[evalue=5.87181E-26],[locus_tag=PMM0330],[protein_id=CAE18789.1],[gene=None],[protein=possible LysM domain],[evalue=1.14001E-12]
[locus_tag=SynWH8103_02240],[protein_id=CRY92949.1],[gene=recQ],[protein=ATP-dependent DNA helicase recQ],[locus_tag=PMM1101],[protein_id=CAE19560.1],[gene=None],[protein=putative ATP-dependent RNA helicase],[evalue=4.68145E-08]
[locus_tag=SynWH8103_02242],[protein_id=CRY92951.1],[gene=psaE],[protein=Photosystem I reaction centre subunit IV],[locus_tag=PMM0329],[protein_id=CAE18788.1],[gene=psaE],[protein=Photosystem I PsaE protein (subunit IV)],[evalue=5.98014E-36]
[locus_tag=SynWH8103_02244],[protein_id=CRY92952.1],[gene=mutM],[protein=Formamidopyrimidine-DNA glycolase],[locus_tag=PMM0328],[protein_id=CAE18787.1],[gene=FPG],[protein=Formamidopyrimidine-DNA glycolase (FAPY-DNA glycolase)],[evalue=3.66794E-112]
[locus_tag=SynWH8103_02254],[protein_id=CRY92956.1],[gene=invA],[protein=alkaline and neutral invertase],[locus_tag=PMM0327],[protein_id=CAE18786.1],[gene=None],[protein=putative neutral invertase-like protein],[evalue=0.00000E+00]
[locus_tag=SynWH8103_02255],[protein_id=CRY92957.1],[gene=petD],[protein=cytochrome b6/f complex subunit 4],[locus_tag=PMM0326],[protein_id=CAE18785.1],[gene=petD],[protein=PetD protein (subunit IV of the Cytochrome b6f complex)],[evalue=2.17308E-105]
[locus_tag=SynWH8103_02256],[protein_id=CRY92958.1],[gene=petB],[protein=cytochrome b6],[locus_tag=PMM0325],[protein_id=CAE18784.1],[gene=petB],[protein=Cytochrome b6],[evalue=9.73775E-154]
[locus_tag=SynWH8103_02257],[protein_id=CRY92959.1],[gene=ctp],[protein=carboxy-terminal processing peptidase],[locus_tag=PMM0324],[protein_id=CAE18783.1],[gene=ctpA],[protein=carboxyl-terminal processing proteinase precursor],[evalue=2.89946E-162],[locus_tag=PMM0677],[protein_id=CAE19136.1],[gene=None],[protein=carboxyl-terminal processing protease],[evalue=3.17326E-80]
[locus_tag=SynWH8103_02258],[protein_id=CRY92960.1],[gene=None],[protein=HD domain-containing protein],[locus_tag=PMM0323],[protein_id=CAE18782.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.26403E-143]
[locus_tag=SynWH8103_02259],[protein_id=CRY92961.1],[gene=minC],[protein=septum formation inhibitor],[locus_tag=PMM0322],[protein_id=CAE18781.1],[gene=minC],[protein=possible septum site-determining protein],[evalue=9.56172E-38]
[locus_tag=SynWH8103_02260],[protein_id=CRY92962.1],[gene=minD],[protein=septum site-determining protein MinD],[locus_tag=PMM0321],[protein_id=CAE18780.1],[gene=minD],[protein=putative septum site-determining protein MinD],[evalue=2.42731E-140],[locus_tag=PMM1581],[protein_id=CAE20040.1],[gene=None],[protein=MRP protein homolog],[evalue=5.66927E-13]
