[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[evalue=5.02794E-142]
[locus_tag=PMM1425],[protein_id=CAE19884.1],[gene=None],"[protein=Serine proteases, trypsin family:HtrA/DegQ protease family]",[locus_tag=Syncc8109_2162],[protein_id=AHF64497.1],[gene=degP],[protein=PDZ/DHR/GLGF protein],[evalue=3.61498E-33],[locus_tag=Syncc8109_2404],[protein_id=AHF64721.1],[gene=None],[protein=PDZ/DHR/GLGF protein],[evalue=5.13646E-28],[locus_tag=Syncc8109_1713],[protein_id=AHF64069.1],[gene=None],[protein=PDZ/DHR/GLGF protein],[evalue=1.90736E-22]
[locus_tag=PMM1428],[protein_id=CAE19887.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2237],[protein_id=AHF64563.1],[gene=None],[protein=hypothetical protein],[evalue=3.80522E-72]
[locus_tag=PMM1429],[protein_id=CAE19888.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0871],[protein_id=AHF63248.1],[gene=None],[protein=hypothetical protein],[evalue=1.00576E-16]
[locus_tag=PMM1430],[protein_id=CAE19889.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2239],[protein_id=AHF64565.1],[gene=None],[protein=hypothetical protein],[evalue=5.84175E-16]
[locus_tag=PMM1431],[protein_id=CAE19890.1],[gene=rpoZ],[protein=putative DNA-directed RNA polymerase (omega chain)],[locus_tag=Syncc8109_2240],[protein_id=AHF64566.1],[gene=None],[protein=putative DNA-directed RNA polymerase (omega chain)],[evalue=8.42738E-44]
[locus_tag=PMM1432],[protein_id=CAE19891.1],[gene=None],[protein=putative DnaK-type molecular chaperone (HSP70 family)],[locus_tag=Syncc8109_2242],[protein_id=AHF64568.1],[gene=dnaK],[protein=putative DnaK-type molecular chaperone (HSP70 family)],[evalue=9.75539E-125]
[locus_tag=PMM1433],[protein_id=CAE19892.1],[gene=None],[protein=Phosphoribosyl transferase],[locus_tag=Syncc8109_2245],[protein_id=AHF64571.1],[gene=pyrR],[protein=putative pyrimidine operon regulatory protein PyrR/uracil phosphoribosyltransferase],[evalue=1.35424E-72]
[locus_tag=PMM1434],[protein_id=CAE19893.1],[gene=pgmI],"[protein=Phosphoglycerate mutase, co-factor-independent (iPGM)]",[locus_tag=Syncc8109_2246],[protein_id=AHF64572.1],[gene=pgmI],"[protein=phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent]",[evalue=0.00000E+00]
[locus_tag=PMM1435],[protein_id=CAE19894.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2247],[protein_id=AHF64573.1],[gene=None],"[protein=preprotein translocase, SecG subunit]",[evalue=1.04015E-17]
[locus_tag=PMM1436],[protein_id=CAE19895.1],[gene=groEL],[protein=GroEL protein (Chaperonin cpn60)],[locus_tag=Syncc8109_2250],[protein_id=AHF64576.1],[gene=groEL],[protein=chaperonin GroEL],[evalue=0.00000E+00],[locus_tag=Syncc8109_0673],[protein_id=AHF63058.1],[gene=groEL2],[protein=Chaperonin Cpn60/TCP-1],[evalue=0.00000E+00]
[locus_tag=PMM1437],[protein_id=CAE19896.1],[gene=groES],[protein=GroES protein (Chaperonin cpn10)],[locus_tag=Syncc8109_2251],[protein_id=AHF64577.1],[gene=groES],[protein=GroES],[evalue=6.94517E-64]
[locus_tag=PMM1438],[protein_id=CAE19897.1],[gene=atpB],[protein=H+-transporting ATP synthase beta subunit],[locus_tag=Syncc8109_2252],[protein_id=AHF64578.1],[gene=atpD],"[protein=ATP synthase F1, beta subunit]",[evalue=0.00000E+00],[locus_tag=Syncc8109_2269],[protein_id=AHF64595.1],[gene=atpA],"[protein=ATP synthase F1, alpha subunit]",[evalue=1.50684E-22]
[locus_tag=PMM1439],[protein_id=CAE19898.1],"[gene=atpC,atpE]","[protein=ATP synthase, Epsilon subunit]",[locus_tag=Syncc8109_2253],[protein_id=AHF64579.1],[gene=atpE],"[protein=ATP synthase F1, epsilon subunit]",[evalue=1.59681E-54]
[locus_tag=PMM1440],[protein_id=CAE19899.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2255],[protein_id=AHF64581.1],[gene=None],[protein=hypothetical protein],[evalue=9.63426E-72]
[locus_tag=PMM1442],[protein_id=CAE19901.1],[gene=pepP],[protein=putative aminopeptidase P],[locus_tag=Syncc8109_2257],[protein_id=AHF64583.1],[gene=pepP],[protein=putative aminopeptidase P],[evalue=0.00000E+00]
[locus_tag=PMM1443],[protein_id=CAE19902.1],[gene=None],[protein=Domain of unknown function DUF21],[locus_tag=Syncc8109_2258],[protein_id=AHF64584.1],[gene=None],[protein=hypothetical protein],[evalue=1.15877E-127]
[locus_tag=PMM1444],[protein_id=CAE19903.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2259],[protein_id=AHF64585.1],[gene=None],[protein=Small GTP-binding protein domain protein],[evalue=1.27226E-63],[locus_tag=Syncc8109_1470],[protein_id=AHF63832.1],[gene=None],[protein=Small GTP-binding protein domain protein],[evalue=1.71592E-16]
[locus_tag=PMM1445],[protein_id=CAE19904.1],[gene=None],[protein=Putative nicotinate-nucleotide adenylyltransferase],[locus_tag=Syncc8109_2260],[protein_id=AHF64586.1],[gene=nadD],[protein=putative nicotinate-nucleotide adenylyltransferase],[evalue=1.13154E-38]
[locus_tag=PMM1446],[protein_id=CAE19905.1],[gene=None],[protein=Carbon-nitrogen hydrolase:NAD+ synthase],[locus_tag=Syncc8109_2261],[protein_id=AHF64587.1],[gene=nadE],[protein=NAD+ synthetase],[evalue=0.00000E+00]
[locus_tag=PMM1447],[protein_id=CAE19906.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2264],[protein_id=AHF64590.1],[gene=None],[protein=hypothetical protein],[evalue=7.87636E-130]
[locus_tag=PMM1449],[protein_id=CAE19908.1],[gene=petF],[protein=ferredoxin],[locus_tag=Syncc8109_2266],[protein_id=AHF64592.1],[gene=petF1],[protein=Ferredoxin (2Fe-2S)],[evalue=5.12348E-40],[locus_tag=Syncc8109_0795],[protein_id=AHF63175.1],[gene=petF3],[protein=Ferredoxin (2Fe-2S)],[evalue=3.33022E-23],[locus_tag=Syncc8109_1171],[protein_id=AHF63541.1],[gene=petF3],[protein=Ferredoxin (2Fe-2S)],[evalue=1.99288E-22]
[locus_tag=PMM1450],[protein_id=CAE19909.1],[gene=atpC],[protein=ATP synthase gamma subunit],[locus_tag=Syncc8109_2268],[protein_id=AHF64594.1],[gene=atpC],"[protein=ATP synthase F1, gamma subunit]",[evalue=4.55324E-156]
[locus_tag=PMM1451],[protein_id=CAE19910.1],[gene=atpA],[protein=H+-transporting ATP synthase alpha-subunit],[locus_tag=Syncc8109_2269],[protein_id=AHF64595.1],[gene=atpA],"[protein=ATP synthase F1, alpha subunit]",[evalue=0.00000E+00],[locus_tag=Syncc8109_2252],[protein_id=AHF64578.1],[gene=atpD],"[protein=ATP synthase F1, beta subunit]",[evalue=1.03885E-20]
[locus_tag=PMM1452],[protein_id=CAE19911.1],"[gene=atpH,atpD]","[protein=ATP synthase, delta (OSCP) subunit]",[locus_tag=Syncc8109_2270],[protein_id=AHF64596.1],[gene=atpD],"[protein=ATP synthase F1, delta subunit]",[evalue=3.58767E-63]
[locus_tag=PMM1453],[protein_id=CAE19912.1],[gene=atpF],[protein=ATP synthase B/B' CF(0)],[locus_tag=Syncc8109_2271],[protein_id=AHF64597.1],[gene=atpF],[protein=putative ATP synthase B chain],[evalue=5.89362E-36]
[locus_tag=PMM1454],[protein_id=CAE19913.1],[gene=atpG],[protein=ATP synthase B/B' CF(0)],[locus_tag=Syncc8109_2272],[protein_id=AHF64598.1],[gene=atpG],[protein=putative ATP synthase subunit B'],[evalue=4.37931E-51]
[locus_tag=PMM1455],[protein_id=CAE19914.1],[gene=None],[protein=H+-transporting ATP synthase c subunit],[locus_tag=Syncc8109_2273],[protein_id=AHF64599.1],[gene=None],"[protein=ATP synthase F0, C subunit]",[evalue=1.05695E-38]
[locus_tag=PMM1456],[protein_id=CAE19915.1],[gene=atpI],[protein=ATP synthase A subunit],[locus_tag=Syncc8109_2274],[protein_id=AHF64600.1],[gene=atpB],[protein=ATP synthase subunit A],[evalue=5.13155E-136]
[locus_tag=PMM1457],[protein_id=CAE19916.1],[gene=atp1],[protein=possible ATP synthase subunit 1],[locus_tag=Syncc8109_2275],[protein_id=AHF64601.1],[gene=atp1],[protein=putative ATP synthase protein 1],[evalue=1.59944E-23]
[locus_tag=PMM1458],[protein_id=CAE19917.1],[gene=ftsW],[protein=Cell division protein FtsW],[locus_tag=Syncc8109_2284],[protein_id=AHF64610.1],[gene=ftsW],[protein=cell division protein FtsW],[evalue=9.28313E-151],[locus_tag=Syncc8109_0414],[protein_id=AHF62817.1],[gene=rodA],[protein=cell division protein possibly involved in shape determination],[evalue=1.33662E-37]
[locus_tag=PMM1459],[protein_id=CAE19918.1],[gene=ccdA],[protein=putative c-type cytochrome biogenesis protein CcdA],[locus_tag=Syncc8109_2285],[protein_id=AHF64611.1],[gene=ccdA],[protein=putative c-type cytochrome biogenesis protein CcdA],[evalue=4.29993E-62]
[locus_tag=PMM1460],[protein_id=CAE19919.1],[gene=ycf44],[protein=putative c-type cytochrome biogenesis protein Ccs1],[locus_tag=Syncc8109_2286],[protein_id=AHF64612.1],[gene=ycf44],[protein=putative C-type cytochrome biogenesis protein Ccs1],[evalue=6.51052E-106]
[locus_tag=PMM1461],[protein_id=CAE19920.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2287],[protein_id=AHF64613.1],[gene=None],[protein=7-cyano-7-deazaguanine reductase],[evalue=1.41407E-58]
[locus_tag=PMM1463],[protein_id=CAE19922.1],[gene=glnB],[protein=Nitrogen regulatory protein P-II],[locus_tag=Syncc8109_2288],[protein_id=AHF64614.1],[gene=glnB],"[protein=nitrogen regulatory protein P-II (GlnB, GlnK)]",[evalue=6.23410E-63]
[locus_tag=PMM1464],[protein_id=CAE19923.1],[gene=None],[protein=FtsJ cell division protein:S4 domain:Hemolysin A],[locus_tag=Syncc8109_2282],[protein_id=AHF64608.1],[gene=None],[protein=hemolysin A],[evalue=2.02546E-102]
[locus_tag=PMM1465],[protein_id=CAE19924.1],[gene=purB],[protein=Fumarate lyase:Adenylosuccinate lyase],[locus_tag=Syncc8109_2289],[protein_id=AHF64615.1],[gene=purB],[protein=adenylosuccinate lyase],[evalue=0.00000E+00],[locus_tag=Syncc8109_0014],[protein_id=AHF62440.1],[gene=argH],[protein=argininosuccinate lyase],[evalue=4.68120E-13]
[locus_tag=PMM1466],[protein_id=CAE19925.1],[gene=fumC],[protein=Fumarate lyase],[locus_tag=Syncc8109_2129],[protein_id=AHF64466.1],[gene=fumC],[protein=fumarate hydratase],[evalue=1.53125E-174]
[locus_tag=PMM1468],[protein_id=CAE19927.1],[gene=bioF],[protein=putative 8-amino-7-oxononanoate synthase],[locus_tag=Syncc8109_2135],[protein_id=AHF64470.1],[gene=bioF],[protein=8-amino-7-oxononanoate synthase],[evalue=2.79119E-115]
[locus_tag=PMM1469],[protein_id=CAE19928.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_2136],[protein_id=AHF64471.1],[gene=None],[protein=hypothetical protein],[evalue=1.02691E-30]
[locus_tag=PMM1470],[protein_id=CAE19929.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2137],[protein_id=AHF64472.1],[gene=bioC],[protein=biotin biosynthesis],[evalue=6.51316E-42]
[locus_tag=PMM1471],[protein_id=CAE19930.1],[gene=BioD],[protein=putative Dethiobiotin synthase],[locus_tag=Syncc8109_2138],[protein_id=AHF64473.1],[gene=bioD],[protein=dethiobiotin synthase],[evalue=1.91465E-84]
[locus_tag=PMM1472],[protein_id=CAE19931.1],[gene=BioA],[protein=putative diaminopelargonic acid synthase],[locus_tag=Syncc8109_2141],[protein_id=AHF64476.1],[gene=bioA],[protein=putative diaminopelargonic acid synthase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1867],[protein_id=AHF64217.1],[gene=argD],[protein=acetylornithine and succinylornithine aminotransferase],[evalue=3.93544E-25],[locus_tag=Syncc8109_0723],[protein_id=AHF63103.1],[gene=hemL],"[protein=glutamate-1-semialdehyde-2,1-aminomutase]",[evalue=5.29341E-16]
[locus_tag=PMM1473],[protein_id=CAE19932.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2142],[protein_id=AHF64477.1],[gene=None],[protein=hypothetical protein],[evalue=1.01397E-22]
[locus_tag=PMM1474],[protein_id=CAE19933.1],[gene=None],[protein=DnaJ-like protein],[locus_tag=Syncc8109_2143],[protein_id=AHF64478.1],[gene=dnaJ],[protein=Heat shock protein DnaJ-like protein],[evalue=2.93647E-15]
[locus_tag=PMM1475],[protein_id=CAE19934.1],[gene=gidB],[protein=putative glucose inhibited division protein B],[locus_tag=Syncc8109_2144],[protein_id=AHF64479.1],[gene=gidB],[protein=methyltransferase GidB],[evalue=2.26970E-59]
[locus_tag=PMM1476],[protein_id=CAE19935.1],[gene=None],[protein=Aldo/keto reductase family],[locus_tag=Syncc8109_2145],[protein_id=AHF64480.1],[gene=None],[protein=hypothetical protein],[evalue=2.67580E-160],[locus_tag=Syncc8109_0660],[protein_id=AHF63045.1],[gene=None],"[protein=putative oxidoreductase, aldo/keto reductase family]",[evalue=5.46735E-43]
[locus_tag=PMM1477],[protein_id=CAE19936.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_2146],[protein_id=AHF64481.1],[gene=None],[protein=putative 3Fe-4S ferredoxin],[evalue=1.09195E-38]
[locus_tag=PMM1478],[protein_id=CAE19937.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2147],[protein_id=AHF64482.1],[gene=None],[protein=hypothetical protein],[evalue=6.64725E-53]
[locus_tag=PMM1479],[protein_id=CAE19938.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2148],[protein_id=AHF64483.1],[gene=None],[protein=hypothetical protein],[evalue=1.73803E-18]
[locus_tag=PMM1480],[protein_id=CAE19939.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2150],[protein_id=AHF64485.1],[gene=None],[protein=PBS lyase HEAT-like repeat protein],[evalue=3.30538E-85]
[locus_tag=PMM2018],[protein_id=CAP16523.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=Syncc8109_2151],[protein_id=AHF64486.1],[gene=None],[protein=hypothetical protein],[evalue=4.00411E-14]
[locus_tag=PMM1481],[protein_id=CAE19940.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2153],[protein_id=AHF64488.1],[gene=None],[protein=hypothetical protein],[evalue=1.81975E-132]
[locus_tag=PMM1482],[protein_id=CAE19941.1],[gene=hli3],[protein=possible high light inducible protein],[locus_tag=Syncc8109_2154],[protein_id=AHF64489.1],[gene=hli3],[protein=Hli3],[evalue=1.02842E-20]
[locus_tag=PMM1483],[protein_id=CAE19942.1],[gene=rpoC2],[protein=RNA polymerase beta prime subunit],[locus_tag=Syncc8109_2155],[protein_id=AHF64490.1],[gene=rpoC2],[protein=DNA-directed RNA polymerase],[evalue=0.00000E+00]
[locus_tag=PMM1484],[protein_id=CAE19943.1],[gene=rpoC1],[protein=RNA polymerase gamma subunit],[locus_tag=Syncc8109_2156],[protein_id=AHF64491.1],[gene=rpoC1],[protein=DNA-directed RNA polymerase],[evalue=0.00000E+00]
[locus_tag=PMM1485],[protein_id=CAE19944.1],[gene=rpoB],[protein=RNA polymerase beta subunit],[locus_tag=Syncc8109_2157],[protein_id=AHF64492.1],[gene=rpoB],"[protein=DNA-directed RNA polymerase, beta subunit]",[evalue=0.00000E+00]
[locus_tag=PMM1486],[protein_id=CAE19945.1],[gene=None],"[protein=possible deoxyribonuclease, TatD family]",[locus_tag=Syncc8109_2158],[protein_id=AHF64493.1],[gene=tatD],[protein=TatD-related deoxyribonuclease],[evalue=1.31427E-113]
[locus_tag=PMM1487],[protein_id=CAE19946.1],"[gene=rpsT,rps20]",[protein=30s Ribosomal protein S20],[locus_tag=Syncc8109_2159],[protein_id=AHF64494.1],[gene=rpsT],[protein=ribosomal protein S20],[evalue=1.50852E-33]
[locus_tag=PMM1488],[protein_id=CAE19947.1],[gene=hisD],[protein=Histidinol dehydrogenase],[locus_tag=Syncc8109_2160],[protein_id=AHF64495.1],[gene=hisD],[protein=histidinol dehydrogenase],[evalue=0.00000E+00]
[locus_tag=PMM1489],[protein_id=CAE19948.1],"[gene=rpiA, cbbI]",[protein=Ribose 5-phosphate isomerase],[locus_tag=Syncc8109_2161],[protein_id=AHF64496.1],[gene=rpiA],[protein=ribose 5-phosphate isomerase],[evalue=4.31449E-106]
[locus_tag=PMM1490],[protein_id=CAE19949.1],[gene=None],[protein=Serine protease],[locus_tag=Syncc8109_2162],[protein_id=AHF64497.1],[gene=degP],[protein=PDZ/DHR/GLGF protein],[evalue=1.47472E-166],[locus_tag=Syncc8109_2404],[protein_id=AHF64721.1],[gene=None],[protein=PDZ/DHR/GLGF protein],[evalue=3.26783E-102],[locus_tag=Syncc8109_1713],[protein_id=AHF64069.1],[gene=None],[protein=PDZ/DHR/GLGF protein],[evalue=7.74692E-90]
[locus_tag=PMM1491],[protein_id=CAE19950.1],[gene=None],[protein=DUF150],[locus_tag=Syncc8109_2165],[protein_id=AHF64498.1],[gene=None],[protein=hypothetical protein],[evalue=1.14714E-36]
[locus_tag=PMM1492],[protein_id=CAE19951.1],[gene=nusA],[protein=N utilization substance protein A],[locus_tag=Syncc8109_2166],[protein_id=AHF64499.1],[gene=nusA],[protein=NusA antitermination factor],[evalue=0.00000E+00]
[locus_tag=PMM1493],[protein_id=CAE19952.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2167],[protein_id=AHF64500.1],[gene=None],[protein=hypothetical protein],[evalue=1.58261E-21]
[locus_tag=PMM1494],[protein_id=CAE19953.1],[gene=infB],[protein=Translation initiation factor IF-2],[locus_tag=Syncc8109_2168],[protein_id=AHF64501.1],[gene=infB],[protein=translation initiation factor IF-2],[evalue=0.00000E+00],[locus_tag=Syncc8109_2168],[protein_id=AHF64501.1],[gene=infB],[protein=translation initiation factor IF-2],[evalue=9.83688E-16],[locus_tag=Syncc8109_1913],[protein_id=AHF64258.1],[gene=lepA],[protein=GTP-binding protein LepA],[evalue=1.08671E-14]
[locus_tag=PMM1498],[protein_id=CAE19957.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0313],[protein_id=AHF62722.1],[gene=None],[protein=Elongator protein 3/MiaB/NifB],[evalue=0.00000E+00]
[locus_tag=PMM1499],[protein_id=CAE19958.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0315],[protein_id=AHF62724.1],[gene=None],[protein=Clp protease adaptor],[evalue=1.83520E-47],[locus_tag=Syncc8109_1232],[protein_id=AHF63600.1],[gene=None],[protein=Clp protease adaptor],[evalue=6.74546E-12]
[locus_tag=PMM1500],[protein_id=CAE19959.1],[gene=None],[protein=putative aminotransferase],[locus_tag=Syncc8109_0316],[protein_id=AHF62725.1],[gene=None],[protein=putative aminotransferase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1393],[protein_id=AHF63756.1],[gene=aspC],[protein=aminotransferases class-I],[evalue=1.07860E-12]
[locus_tag=PMM1501],[protein_id=CAE19960.1],[gene=None],[protein=S1 RNA binding domain:Ribonuclease E and G],[locus_tag=Syncc8109_0318],[protein_id=AHF62727.1],[gene=rne],"[protein=ribonuclease, Rne/Rng family]",[evalue=0.00000E+00]
[locus_tag=PMM1502],[protein_id=CAE19961.1],[gene=None],[protein=Ribonuclease HII and HIII],[locus_tag=Syncc8109_0319],[protein_id=AHF62728.1],[gene=rnhB],[protein=Ribonuclease H],[evalue=4.75285E-59]
[locus_tag=PMM1503],[protein_id=CAE19962.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0320],[protein_id=AHF62729.1],[gene=None],[protein=hypothetical protein],[evalue=1.92234E-63]
[locus_tag=PMM1504],[protein_id=CAE19963.1],[gene=pheA],[protein=Chorismate mutase-Prephenate dehydratase],[locus_tag=Syncc8109_0321],[protein_id=AHF62730.1],[gene=pheA],[protein=Prephenate dehydratase],[evalue=4.57558E-108]
[locus_tag=PMM1505],[protein_id=CAE19964.1],[gene=None],[protein=SAM (and some other nucleotide) binding motif],[locus_tag=Syncc8109_0322],[protein_id=AHF62731.1],[gene=None],[protein=putative sterol-C-methyltransferase],[evalue=5.69571E-128]
[locus_tag=PMM1506],[protein_id=CAE19965.1],[gene=None],[protein=ATP-dependent protease La (LON) domain],[locus_tag=Syncc8109_0323],[protein_id=AHF62732.1],[gene=None],"[protein=Peptidase S16, lon-like protein]",[evalue=3.99440E-94]
[locus_tag=PMM1507],[protein_id=CAE19966.1],"[gene=rpsJ,rps10]",[protein=30S ribosomal protein S10],[locus_tag=Syncc8109_0324],[protein_id=AHF62733.1],[gene=rpsJ],[protein=ribosomal protein S10],[evalue=1.51437E-69]
[locus_tag=PMM1508],[protein_id=CAE19967.1],[gene=tufA],[protein=Elongation factor Tu],[locus_tag=Syncc8109_0325],[protein_id=AHF62734.1],[gene=tufA],[protein=elongation factor Tu],[evalue=0.00000E+00],[locus_tag=Syncc8109_1447],[protein_id=AHF63809.1],[gene=typA / bipA],[protein=GTP-binding protein TypA],[evalue=6.86095E-22],[locus_tag=Syncc8109_2168],[protein_id=AHF64501.1],[gene=infB],[protein=translation initiation factor IF-2],[evalue=1.36533E-13]
[locus_tag=PMM1509],[protein_id=CAE19968.1],[gene=fusA],[protein=Elongation factor G],[locus_tag=Syncc8109_0326],[protein_id=AHF62735.1],[gene=fusA],[protein=translation elongation factor G],[evalue=0.00000E+00],[locus_tag=Syncc8109_1409],[protein_id=AHF63772.1],[gene=prfC],[protein=peptide chain release factor 3],[evalue=2.72714E-47],[locus_tag=Syncc8109_1447],[protein_id=AHF63809.1],[gene=typA / bipA],[protein=GTP-binding protein TypA],[evalue=1.61858E-24]
[locus_tag=PMM1510],[protein_id=CAE19969.1],"[gene=rps7, rpsG]",[protein=30S ribosomal protein S7],[locus_tag=Syncc8109_0327],[protein_id=AHF62736.1],[gene=rps7],[protein=30S ribosomal protein S7],[evalue=1.15140E-103]
[locus_tag=PMM1511],[protein_id=CAE19970.1],"[gene=rps12, rpsL]",[protein=30S ribosomal protein S12],[locus_tag=Syncc8109_0328],[protein_id=AHF62737.1],[gene=rps12],[protein=30S ribosomal protein S12],[evalue=5.00199E-81]
[locus_tag=PMM1512],[protein_id=CAE19971.1],"[gene=glsF, gltS]","[protein=Ferredoxin-dependent glutamate synthase, Fd-GOGAT]",[locus_tag=Syncc8109_0331],[protein_id=AHF62740.1],[gene=glsF],[protein=Glutamate synthase (NADPH)],[evalue=0.00000E+00]
[locus_tag=PMM1513],[protein_id=CAE19972.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0332],[protein_id=AHF62741.1],[gene=None],[protein=hypothetical protein],[evalue=6.18997E-22]
[locus_tag=PMM1514],[protein_id=CAE19973.1],[gene=lipA],[protein=lipoic acid synthetase],[locus_tag=Syncc8109_0333],[protein_id=AHF62742.1],[gene=liaS],[protein=lipoic acid synthetase],[evalue=4.76155E-158],[locus_tag=Syncc8109_0989],[protein_id=AHF63363.1],[gene=lipA],[protein=lipoic acid synthetase],[evalue=2.15744E-78]
[locus_tag=PMM1517],[protein_id=CAE19976.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0347],[protein_id=AHF62755.1],[gene=None],[protein=hypothetical protein],[evalue=1.71038E-95]
[locus_tag=PMM1518],[protein_id=CAE19977.1],[gene=None],[protein=conserved hypothetical proein],[locus_tag=Syncc8109_0346],[protein_id=AHF62754.1],[gene=None],[protein=hypothetical protein],[evalue=8.35642E-60]
[locus_tag=PMM1519],[protein_id=CAE19978.1],[gene=psaL],[protein=Photosystem I PsaL protein (subunit XI)],[locus_tag=Syncc8109_0342],[protein_id=AHF62750.1],[gene=psaL],[protein=putative photosystem I reaction center subunit XI (PsaL)],[evalue=1.13451E-85]
[locus_tag=PMM1522],[protein_id=CAE19981.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[locus_tag=Syncc8109_0345],[protein_id=AHF62753.1],[gene=None],"[protein=glycosyl transferase, family 2]",[evalue=4.86755E-156]
[locus_tag=PMM1523],[protein_id=CAE19982.1],[gene=psaB],[protein=Photosystem I PsaB protein],[locus_tag=Syncc8109_0338],[protein_id=AHF62746.1],[gene=psaB],[protein=photosystem I core protein PsaB],[evalue=0.00000E+00],[locus_tag=Syncc8109_0337],[protein_id=AHF62745.1],[gene=psaA],[protein=photosystem I core protein PsaA],[evalue=2.06827E-172]
[locus_tag=PMM1524],[protein_id=CAE19983.1],[gene=psaA],[protein=Photosystem I PsaA protein],[locus_tag=Syncc8109_0337],[protein_id=AHF62745.1],[gene=psaA],[protein=photosystem I core protein PsaA],[evalue=0.00000E+00],[locus_tag=Syncc8109_0338],[protein_id=AHF62746.1],[gene=psaB],[protein=photosystem I core protein PsaB],[evalue=4.80837E-174]
[locus_tag=PMM1525],[protein_id=CAE19984.1],[gene=cbiG/cobJ fusion],[protein=bifunctional cbiH protien and PRECORRIN-3B C17-METHYLTRANSFERASE],[locus_tag=Syncc8109_0335],[protein_id=AHF62743.1],[gene=cobJ],[protein=precorrin-3B C17-methyltransferase],[evalue=5.66565E-180]
[locus_tag=PMM1526],[protein_id=CAE19985.1],[gene=hisB],[protein=putative imidazoleglycerol-phosphate dehydratase],[locus_tag=Syncc8109_2256],[protein_id=AHF64582.1],[gene=gph],[protein=putative HAD superfamily phosphatase],[evalue=2.86747E-94]
[locus_tag=PMM1527],[protein_id=CAE19986.1],[gene=alr],[protein=putative Alanine racemase],[locus_tag=Syncc8109_0349],[protein_id=AHF62756.1],[gene=alr],[protein=alanine racemase],[evalue=1.28999E-140]
[locus_tag=PMM1528],[protein_id=CAE19987.1],[gene=None],[protein=HNH endonuclease family protein],[locus_tag=Syncc8109_0350],[protein_id=AHF62757.1],[gene=None],[protein=HNH nuclease],[evalue=7.09067E-89]
[locus_tag=PMM1529],[protein_id=CAE19988.1],"[gene=prfA,sueB]",[protein=peptide chain release factor RF-1],[locus_tag=Syncc8109_0351],[protein_id=AHF62758.1],[gene=prfA],[protein=peptide chain release factor 1],[evalue=0.00000E+00],[locus_tag=Syncc8109_2552],[protein_id=AHF64859.1],[gene=prfB],[protein=peptide chain release factor 2],[evalue=4.44550E-50]
[locus_tag=PMM1530],[protein_id=CAE19989.1],"[gene=rpl31, rpmE]",[protein=50S ribosomal protein L31],[locus_tag=Syncc8109_0352],[protein_id=AHF62759.1],[gene=rpl31],[protein=50S ribosomal protein L31],[evalue=3.07350E-48]
[locus_tag=PMM1531],[protein_id=CAE19990.1],"[gene=rps9, rpsI]",[protein=30S ribosomal protein S9],[locus_tag=Syncc8109_0353],[protein_id=AHF62760.1],[gene=rps9],[protein=SSU ribosomal protein S9P],[evalue=5.79549E-76]
[locus_tag=PMM1532],[protein_id=CAE19991.1],"[gene=rpl13, rplM]",[protein=50S ribosomal protein L13],[locus_tag=Syncc8109_0354],[protein_id=AHF62761.1],[gene=rpl13],[protein=ribosomal protein L13],[evalue=6.18067E-83]
