[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]"
[locus_tag=PMM0925],[protein_id=CAE19384.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0926],[protein_id=CAE19385.1],[gene=psb28],[protein=possible Photosystem II reaction center Psb28 protein]
[locus_tag=PMM0927],[protein_id=CAE19386.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0928],[protein_id=CAE19387.1],[gene=secF],[protein=preprotein translocase subunit]
[locus_tag=PMM0929],[protein_id=CAE19388.1],[gene=secD],[protein=preprotein translocase subunit]
[locus_tag=PMM0930],[protein_id=CAE19389.1],[gene=pdhB],[protein=Pyruvate dehydrogenase E1 beta subunit]
[locus_tag=PMM0931],[protein_id=CAE19390.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0932],[protein_id=CAE19391.1],[gene=ispE],[protein=Putative 4-diphosphocytidyl-2C-methyl-D-erythritol kinase (CMK)]
[locus_tag=PMM0933],[protein_id=CAE19392.1],[gene=None],"[protein=putative rRNA (adenine-N6,N6)-dimethyltransferase]"
[locus_tag=PMM0935],[protein_id=CAE19394.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0936],[protein_id=CAE19395.1],[gene=None],[protein=putative SOS mutagenesis protein UmuD]
[locus_tag=PMM0937],[protein_id=CAE19396.1],[gene=umuC],[protein=putative UmuC protein]
[locus_tag=PMM0939],[protein_id=CAE19398.1],[gene=None],[protein=CHC2 zinc finger:Toprim domain]
[locus_tag=PMM0940],[protein_id=CAE19399.1],[gene=None],"[protein=Integral membrane protein, DUF6]"
[locus_tag=PMM0942],[protein_id=CAE19401.1],[gene=ruvA],[protein=putative holliday junction DNA helicase RuvA]
[locus_tag=PMM0943],[protein_id=CAE19402.1],"[gene=rps15, rpsO]",[protein=30S Ribosomal protein S15]
[locus_tag=PMM0944],[protein_id=CAE19403.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0945],[protein_id=CAE19404.1],[gene=dnaE],"[protein=DNA polymerase III, alpha subunit]"
[locus_tag=PMM0946],[protein_id=CAE19405.1],[gene=gatA],[protein=Glutamyl-tRNA(Gln) amidotransferase A subunit]
[locus_tag=PMM0947],[protein_id=CAE19406.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0948],[protein_id=CAE19407.1],[gene=None],[protein=tRNA/rRNA methyltransferase]
[locus_tag=PMM0949],[protein_id=CAE19408.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0950],[protein_id=None],[gene=None],[protein=STAS domain:Anti-sigma factor antagonist]
[locus_tag=PMM0951],[protein_id=CAE19410.1],"[gene=carA, pyrA]",[protein=carbamoyl-phosphate synthase small chain]
[locus_tag=PMM0952],[protein_id=CAE19411.1],[gene=trpD/G],[protein=putative Anthranilate synthase component II]
[locus_tag=PMM0953],[protein_id=CAE19412.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0954],[protein_id=CAE19413.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]"
[locus_tag=PMM0955],[protein_id=CAE19414.1],[gene=msrA],[protein=Peptide methionine sulfoxide reductase]
[locus_tag=PMM0956],[protein_id=CAE19415.1],[gene=None],[protein=Bacitracin resistance protein BacA]
[locus_tag=PMM0958],[protein_id=CAE19417.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM0959],[protein_id=CAE19418.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0960],[protein_id=CAE19419.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0961],[protein_id=CAE19420.1],[gene=None],[protein=Glycoside hydrolase family 13]
[locus_tag=PMM0962],[protein_id=CAE19421.1],[gene=None],[protein=possible Vng0271c]
[locus_tag=PMM0970],[protein_id=CAE19429.1],[gene=urtA],"[protein=putative urea ABC transporter, substrate binding protein]"
[locus_tag=PMM0973],[protein_id=CAE19432.1],[gene=urtD],[protein=putative ATP binding subunit of urea ABC transport system]
[locus_tag=PMM0974],[protein_id=CAE19433.1],[gene=urtE],[protein=Putative ATP-binding subunit of urea ABC transport system]
[locus_tag=PMM1919],[protein_id=CAP16424.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMM0975],[protein_id=CAE19434.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0976],[protein_id=CAE19435.1],[gene=None],[protein=putative multidrug efflux ABC transporter]
[locus_tag=PMM0977],[protein_id=CAE19436.1],[gene=None],[protein=putative multidrug efflux ABC transporter]
[locus_tag=PMM0978],[protein_id=CAE19437.1],[gene=None],"[protein=conserved membrane protein, multidrug efflux associated]"
[locus_tag=PMM0982],[protein_id=CAE19441.1],[gene=None],[protein=HNH endonuclease:HNH nuclease]
[locus_tag=PMM0987],[protein_id=CAE19446.1],"[gene=rps21, rpsU]",[protein=30S Ribosomal protein S21]
[locus_tag=PMM0990],[protein_id=CAE19449.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0992],[protein_id=CAE19451.1],[gene=None],[protein=conserved hypotheticcal protein]
[locus_tag=PMM0994],[protein_id=CAE19453.1],[gene=None],[protein=GCN5-related N-acetyltransferase]
[locus_tag=PMM0998],[protein_id=CAE19457.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1000],[protein_id=CAE19459.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1001],[protein_id=CAE19460.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1002],[protein_id=CAE19461.1],[gene=pepN],[protein=probable aminopeptidase N]
[locus_tag=PMM1004],[protein_id=CAE19463.1],[gene=purT],[protein=GAR transformylase 2]
[locus_tag=PMM1006],[protein_id=CAE19465.1],[gene=None],[protein=Glutathione peroxidase]
[locus_tag=PMM1009],[protein_id=CAE19468.1],[gene=None],[protein=putative nitrogen regulation protein NifR3 family homolog]
[locus_tag=PMM1010],[protein_id=CAE19469.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1012],[protein_id=CAE19471.1],[gene=None],[protein=4-hydroxybenzoyl-CoA thioesterase family active site]
[locus_tag=PMM1015],[protein_id=CAE19474.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1026],[protein_id=CAE19485.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1028],[protein_id=CAE19487.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM1029],[protein_id=CAE19488.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]"
[locus_tag=PMM1030],[protein_id=CAE19489.1],[gene=None],[protein=Ferric uptake regulator family]
[locus_tag=PMM1031],[protein_id=CAE19490.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transport]"
[locus_tag=PMM1033],[protein_id=CAE19492.1],[gene=None],[protein=Cobalamin synthesis protein/P47K]
[locus_tag=PMM1037],[protein_id=CAE19496.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM1038],[protein_id=CAE19497.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1041],[protein_id=CAE19500.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1042],[protein_id=CAE19501.1],[gene=None],[protein=conserved hpothetical protein]
[locus_tag=PMM1044],[protein_id=CAE19503.1],[gene=rbsK],[protein=possible pfkB family carbohydrate kinase]
[locus_tag=PMM1045],[protein_id=CAE19504.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM1046],[protein_id=CAE19505.1],[gene=None],"[protein=possible multidrug efflux transporter, MFS family]"
[locus_tag=PMM1047],[protein_id=CAE19506.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1048],[protein_id=CAE19507.1],[gene=None],"[protein=putative ABC transporter, oligopeptides]"
[locus_tag=PMM1049],[protein_id=CAE19508.1],[gene=None],"[protein=ABC transporter, substrate binding protein, possibly oligopeptides]"
[locus_tag=PMM1051],[protein_id=CAE19510.1],"[gene=thrA,hom]",[protein=Homoserine dehydrogenase:ACT domain]
[locus_tag=PMM1052],[protein_id=CAE19511.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1053],[protein_id=CAE19512.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1054],[protein_id=CAE19513.1],[gene=ruvC],[protein=Crossover junction endodeoxyribonuclease RuvC]
[locus_tag=PMM1055],[protein_id=CAE19514.1],[gene=chlI],"[protein=Protoporphyrin IX Magnesium chelatase, ChlI subunit]"
[locus_tag=PMM1056],[protein_id=CAE19515.1],[gene=None],[protein=probable tRNA/rRNA methyltransferase]
[locus_tag=PMM1057],[protein_id=CAE19516.1],[gene=cytM],[protein=cytochrome cM]
[locus_tag=PMM1059],[protein_id=CAE19518.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1060],[protein_id=CAE19519.1],[gene=None],[protein=Glutamine amidotransferase class-I]
[locus_tag=PMM1061],[protein_id=CAE19520.1],[gene=trxA],[protein=Thioredoxin]
[locus_tag=PMM1062],[protein_id=CAE19521.1],[gene=guaB],[protein=putative IMP dehydrogenase]
[locus_tag=PMM1063],[protein_id=CAE19522.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]"
[locus_tag=PMM1064],[protein_id=CAE19523.1],[gene=crtL1],[protein=putative lycopene beta cyclase]
[locus_tag=PMM1065],[protein_id=CAE19524.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1066],[protein_id=CAE19525.1],[gene=leuA],[protein=2-isopropylmalate synthase]
[locus_tag=PMM1068],[protein_id=CAE19527.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1069],[protein_id=CAE19528.1],[gene=folD],[protein=putuative bifunctional Methylenetetrahydrofolate dehydrogenase Methenyltetrahydrofolate/cyclohydrolase]
[locus_tag=PMM1070],[protein_id=CAE19529.1],[gene=crtE],[protein=Polyprenyl synthetase]
[locus_tag=PMM1071],[protein_id=CAE19530.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1072],[protein_id=CAE19531.1],"[gene=cbiA,cobB]","[protein=putative Cobyrinic acid a,c-diamide synthase]"
[locus_tag=PMM1073],[protein_id=CAE19532.1],[gene=None],[protein=Putative glucose 6-phosphate dehydrogenase effector OpcA]
[locus_tag=PMM1074],[protein_id=CAE19533.1],[gene=zwf],[protein=Glucose-6-phosphate dehydrogenase]
[locus_tag=PMM1075],[protein_id=CAE19534.1],[gene=petH],[protein=ferredoxin-NADP oxidoreductase (FNR)]
[locus_tag=PMM1076],[protein_id=CAE19535.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1077],[protein_id=CAE19536.1],[gene=None],[protein=two-component sensor histidine kinase]
[locus_tag=PMM1078],[protein_id=CAE19537.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM1079],[protein_id=CAE19538.1],[gene=None],[protein=possible Villin headpiece domain]
[locus_tag=PMM1080],[protein_id=CAE19539.1],[gene=kprS],[protein=Ribose-phosphate pyrophosphokinase]
[locus_tag=PMM1081],[protein_id=CAE19540.1],[gene=malQ],[protein=Putative 4-alpha-glucanotransferase]
[locus_tag=PMM1083],[protein_id=CAE19542.1],[gene=None],[protein=possible kinase]
[locus_tag=PMM1084],[protein_id=CAE19543.1],[gene=cad],[protein=Orn/Lys/Arg decarboxylases family 1]
[locus_tag=PMM1085],[protein_id=CAE19544.1],[gene=None],[protein=Phosphatidate cytidylyltransferase]
[locus_tag=PMM1086],[protein_id=CAE19545.1],[gene=todF],"[protein=2-hydroxy-6-oxohepta-2,4-dienoate hydrolase]"
[locus_tag=PMM1087],[protein_id=CAE19546.1],[gene=gldA],[protein=putative glycerol dehydrogenase]
[locus_tag=PMM1088],[protein_id=CAE19547.1],[gene=clpC],[protein=ClpC]
[locus_tag=PMM1089],[protein_id=CAE19548.1],[gene=None],[protein=putative ribosomal-protein-alanine acetyltransferase]
[locus_tag=PMM1090],[protein_id=CAE19549.1],[gene=lysA],[protein=Diaminopimelate decarboxylase]
[locus_tag=PMM1091],[protein_id=CAE19550.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1092],[protein_id=CAE19551.1],[gene=uppS],[protein=Undecaprenyl pyrophosphate synthetase (UPPS)]
[locus_tag=PMM1093],[protein_id=CAE19552.1],[gene=BioB],[protein=Biotin synthase]
[locus_tag=PMM1094],[protein_id=CAE19553.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1095],[protein_id=CAE19554.1],[gene=F2J10.13],[protein=conserved hypothetical protein]
[locus_tag=PMM1096],[protein_id=CAE19555.1],"[gene=lipA,lip]",[protein=Lipoate synthase]
[locus_tag=PMM1097],[protein_id=CAE19556.1],[gene=recR],[protein=RecR protein]
[locus_tag=PMM1098],[protein_id=CAE19557.1],[gene=psbP],[protein=photosystem II oxygen evolving complex protein PsbP]
[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]"
[locus_tag=PMM1101],[protein_id=CAE19560.1],[gene=None],[protein=putative ATP-dependent RNA helicase]
[locus_tag=PMM1102],[protein_id=CAE19561.1],[gene=recD],[protein=possible exodeoxyribonuclease V 67 kD polypeptide]
[locus_tag=PMM1103],[protein_id=CAE19562.1],[gene=recB],[protein=possible UvrD/REP helicase subunit B]
[locus_tag=PMM1105],[protein_id=CAE19564.1],[gene=recC],[protein=possible exodeoxyribonuclease V subunit C 125 kD polypeptide]
[locus_tag=PMM1106],[protein_id=CAE19565.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1107],[protein_id=CAE19566.1],[gene=pdxJ],[protein=Pyridoxal phosphate biosynthetic protein PdxJ]
[locus_tag=PMM1108],[protein_id=CAE19567.1],[gene=None],[protein=Phospholipid and glycerol acyltransferase (from 'motifs_6.msf')]
[locus_tag=PMM1109],[protein_id=CAE19568.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1110],[protein_id=CAE19569.1],[gene=None],[protein=BolA-like protein]
[locus_tag=PMM1111],[protein_id=CAE19570.1],[gene=None],[protein=Glutaredoxin-related protein]
[locus_tag=PMM1113],[protein_id=CAE19572.1],[gene=None],[protein=two-component response regulator]
[locus_tag=PMM1114],[protein_id=CAE19573.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1115],[protein_id=CAE19574.1],[gene=crtH],[protein=putative carotenoid isomerase]
[locus_tag=PMM1116],[protein_id=CAE19575.1],[gene=gidA],[protein=NAD binding site:Glucose inhibited division protein A family]
[locus_tag=PMM1121],[protein_id=CAE19580.1],[gene=som],[protein=possible porin]
[locus_tag=PMM1122],[protein_id=CAE19581.1],[gene=apt],[protein=Phosphoribosyl transferase]
[locus_tag=PMM1123],[protein_id=CAE19582.1],[gene=hupE],[protein=putative hydrogenase accessory protein]
[locus_tag=PMM1131],[protein_id=CAE19590.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1132],[protein_id=CAE19591.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1135],[protein_id=CAE19594.1],[gene=hli14],[protein=possible high light inducible protein]
[locus_tag=PMM1138],[protein_id=CAE19597.1],[gene=None],[protein=probable GTP-binding protein]
[locus_tag=PMM1139],[protein_id=CAE19598.1],[gene=None],[protein=possible membrane fusion protein]
[locus_tag=PMM1140],[protein_id=CAE19599.1],[gene=polA],[protein=DNA polymerase I]
[locus_tag=PMM1141],[protein_id=CAE19600.1],[gene=cysS],[protein=Cysteinyl-tRNA synthetase]
[locus_tag=PMM1142],[protein_id=CAE19601.1],[gene=dxr],[protein=1-deoxy-D-xylulose 5-phosphate reductoisomerase]
[locus_tag=PMM1143],[protein_id=CAE19602.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1144],[protein_id=CAE19603.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1145],[protein_id=CAE19604.1],[gene=pntB],"[protein=putative nicotinamide nucleotide transhydrogenase, subunit beta]"
[locus_tag=PMM1146],[protein_id=CAE19605.1],[gene=pntA-2],"[protein=putative nicotinamide nucleotide transhydrogenase, subunit alpha 2 (A2)]"
[locus_tag=PMM1147],[protein_id=CAE19606.1],[gene=pntA-1],"[protein=putative nicotinamide nucleotide transhydrogenase, subunit alpha 1 (A1)]"
[locus_tag=PMM1148],[protein_id=CAE19607.1],[gene=None],[protein=possible EF-1 guanine nucleotide exchange doma]
[locus_tag=PMM1150],[protein_id=CAE19609.1],[gene=None],[protein=putative thioredoxin reductase]
[locus_tag=PMM1151],[protein_id=CAE19610.1],[gene=infA],[protein=translation initiation factor IF-1]
[locus_tag=PMM1966],[protein_id=CAP16471.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMM1152],[protein_id=CAE19611.1],[gene=ycf39],[protein=putative chaperon-like protein for quinone binding in photosystem II]
[locus_tag=PMM1153],[protein_id=CAE19612.1],[gene=None],[protein=predicted alpha/beta hydrolase superfamily protein]
[locus_tag=PMM1154],[protein_id=CAE19613.1],[gene=ilvH],[protein=Acetolactate synthase small subunit]
[locus_tag=PMM1155],[protein_id=CAE19614.1],[gene=ppiA],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase]
[locus_tag=PMM1156],[protein_id=CAE19615.1],[gene=None],[protein=photosystem I assembly related protein Ycf4]
[locus_tag=PMM1157],[protein_id=CAE19616.1],[gene=psbD],[protein=Photosystem II PsbD protein (D2)]
[locus_tag=PMM1158],[protein_id=CAE19617.1],[gene=psbC],[protein=Photosystem II PsbC protein (CP43)]
[locus_tag=PMM1159],[protein_id=CAE19618.1],[gene=None],[protein=Maf-like protein]
[locus_tag=PMM1160],[protein_id=CAE19619.1],[gene=cobB],[protein=Cobyric acid synthase CobB]
[locus_tag=PMM1161],[protein_id=CAE19620.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1164],[protein_id=CAE19623.1],"[gene=futA,sfuA, idiA]","[protein=putative iron ABC transporter, substrate binding protein]"
[locus_tag=PMM1165],[protein_id=CAE19624.1],[gene=glyQ],[protein=Glycyl-tRNA synthetase alpha subunit]
[locus_tag=PMM1166],[protein_id=CAE19625.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1168],[protein_id=CAE19627.1],[gene=F4P13.20],[protein=conserved hypothetical protein]
[locus_tag=PMM1170],[protein_id=CAE19629.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1172],[protein_id=CAE19631.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1174],[protein_id=CAE19633.1],[gene=None],[protein=hypothetical]
[locus_tag=PMM1175],[protein_id=CAE19634.1],[gene=None],"[protein=possible AEC transporter family, substrate unknown]"
[locus_tag=PMM1177],[protein_id=CAE19636.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1178],[protein_id=CAE19637.1],[gene=None],[protein=Glycosyl transferases group 1]
[locus_tag=PMM1179],[protein_id=CAE19638.1],[gene=None],"[protein=putative SMR family transporter, possible pecM homologue]"
[locus_tag=PMM1180],[protein_id=CAE19639.1],[gene=sppA],[protein=signal peptide peptidase SppA (protease IV)]
[locus_tag=PMM1181],[protein_id=CAE19640.1],[gene=tyrA],[protein=Chorismate mutase]
[locus_tag=PMM1182],[protein_id=CAE19641.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1184],[protein_id=CAE19643.1],[gene=rnpA],[protein=Bacterial ribonuclease P protein component]
[locus_tag=PMM1185],[protein_id=CAE19644.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1186],[protein_id=CAE19645.1],[gene=None],[protein=Putative inner membrane protein; similar to 60 kDa inner membrane protein family]
[locus_tag=PMM1187],[protein_id=CAE19646.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM1188],[protein_id=CAE19647.1],[gene=serS],[protein=Seryl-tRNA synthetase]
[locus_tag=PMM1189],[protein_id=CAE19648.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1190],[protein_id=CAE19649.1],"[gene=rps14, rpsN]",[protein=30S Ribosomal protein S14]
[locus_tag=PMM1191],[protein_id=CAE19650.1],[gene=pnp],[protein=polyribonucleotide nucleotidyltransferase]
[locus_tag=PMM1192],[protein_id=CAE19651.1],[gene=None],[protein=CysQ protein homolog]
[locus_tag=PMM1193],[protein_id=CAE19652.1],[gene=None],[protein=putative tetrapyrrole methylase family protein]
[locus_tag=PMM1195],[protein_id=CAE19654.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1196],[protein_id=CAE19655.1],[gene=manC],[protein=GDP-mannose pyrophosphorylase]
[locus_tag=PMM1201],[protein_id=CAE19660.1],[gene=None],[protein=Putative CDP-tyvelose-2-epimerase (RfbE)]
[locus_tag=PMM1204],[protein_id=CAE19663.1],"[gene=ddhA, rfbF]",[protein=glucose-1-phosphate cytidylyltransferase]
[locus_tag=PMM1205],[protein_id=CAE19664.1],[gene=None],"[protein=NDP-hexose 3,4-dehydratase]"
[locus_tag=PMM1209],[protein_id=CAE19668.1],[gene=galE],[protein=UDP-glucose-4-epimerase]
[locus_tag=PMM1210],[protein_id=CAE19669.1],[gene=None],[protein=Putative nucleotide sugar epimerase]
[locus_tag=PMM1216],[protein_id=CAE19675.1],[gene=None],[protein=Putative sugar-phosphate nucleotidyl transferase]
[locus_tag=PMM1227],[protein_id=CAE19686.1],[gene=None],[protein=putative UDP-N-acetylglucosamine-1-phosphate transferase]
[locus_tag=PMM1229],[protein_id=CAE19688.1],[gene=None],"[protein=Dehydrogenase, E1 component]"
[locus_tag=PMM1230],[protein_id=CAE19689.1],[gene=None],[protein=dehydrogenase E1 component beta subunit]
[locus_tag=PMM1235],[protein_id=CAE19694.1],[gene=None],[protein=possible N-terminal fragment of transketolase]
[locus_tag=PMM1236],[protein_id=CAE19695.1],[gene=None],[protein=unknown]
[locus_tag=PMM1239],[protein_id=CAE19698.1],[gene=hetA],[protein=ABC transporter]
[locus_tag=PMM1258],[protein_id=CAE19717.1],[gene=None],[protein=pyridoxal-phosphate-dependent aminotransferase]
[locus_tag=PMM1259],[protein_id=CAE19718.1],[gene=None],[protein=pyridoxal-phosphate-dependent aminotransferase]
[locus_tag=PMM1260],[protein_id=CAE19719.1],[gene=None],[protein=Nucleoside-diphosphate-sugar epimerase]
[locus_tag=PMM1261],[protein_id=CAE19720.1],[gene=ugd],[protein=UDP-glucose 6-dehydrogenase]
[locus_tag=PMM1262],[protein_id=CAE19721.1],[gene=lexA],"[protein=SOS function regulatory protein, LexA repressor]"
[locus_tag=PMM1263],[protein_id=CAE19722.1],[gene=None],[protein=ornithine carbamoyltransferase]
[locus_tag=PMM1264],[protein_id=CAE19723.1],[gene=ftsH3],[protein=cell division protein FtsH3]
[locus_tag=PMM1265],[protein_id=CAE19724.1],[gene=ribD],[protein=putative Diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino)uracil reductase]
[locus_tag=PMM1266],[protein_id=CAE19725.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1267],[protein_id=CAE19726.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM1268],[protein_id=CAE19727.1],[gene=cobL],[protein=putative precorrin-6y methylase]
[locus_tag=PMM1269],[protein_id=CAE19728.1],[gene=None],[protein=predicted sugar kinase]
[locus_tag=PMM1270],[protein_id=CAE19729.1],[gene=pheS],[protein=Phenylalanyl-tRNA synthetase alpha chain]
[locus_tag=PMM1271],[protein_id=CAE19730.1],[gene=surE],[protein=Survival protein SurE]
[locus_tag=PMM1272],[protein_id=CAE19731.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1273],[protein_id=CAE19732.1],[gene=ribF],[protein=putative riboflavin kinase/FAD synthase]
[locus_tag=PMM1274],[protein_id=CAE19733.1],[gene=thiE],[protein=Thiamine monophosphate synthase (TMP)]
[locus_tag=PMM1275],[protein_id=CAE19734.1],[gene=None],[protein=DUF170]
[locus_tag=PMM1278],[protein_id=CAE19737.1],[gene=None],[protein=putative circadian phase modifier CpmA homolog]
[locus_tag=PMM1279],[protein_id=CAE19738.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1280],[protein_id=CAE19739.1],[gene=None],"[protein=putative bifuntional enzyme: tRNA methyltransferase; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase]"
[locus_tag=PMM1281],[protein_id=CAE19740.1],[gene=None],[protein=GTP-binding protein ERA homolog]
[locus_tag=PMM1282],[protein_id=CAE19741.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1283],[protein_id=CAE19742.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1284],[protein_id=CAE19743.1],"[gene=phoH,psiH]",[protein=PhoH-like phosphate starvation-inducible protein]
[locus_tag=PMM1285],[protein_id=CAE19744.1],"[gene=rps16, rpsP]",[protein=30S Ribosomal protein S16]
[locus_tag=PMM1286],[protein_id=CAE19745.1],[gene=ffh],[protein=signal recognition particle protein (SRP54)]
[locus_tag=PMM1287],[protein_id=CAE19746.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1288],[protein_id=CAE19747.1],[gene=pdhA],[protein=Pyruvate dehydrogenase E1 alpha subunit]
[locus_tag=PMM1289],[protein_id=CAE19748.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]"
[locus_tag=PMM1291],[protein_id=CAE19750.1],[gene=None],[protein=tRNA methyl transferase]
[locus_tag=PMM1292],[protein_id=CAE19751.1],[gene=None],[protein=possible apolipoprotein n-acyltransferase]
[locus_tag=PMM1293],[protein_id=CAE19752.1],[gene=None],[protein=FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase)]
[locus_tag=PMM1297],[protein_id=CAE19756.1],[gene=trpC],[protein=Indole-3-glycerol phosphate synthase]
[locus_tag=PMM1298],[protein_id=CAE19757.1],[gene=lpdA],[protein=putative dihydrolipoamide dehydrogenase]
[locus_tag=PMM1299],[protein_id=CAE19758.1],[gene=spoU],[protein=tRNA/rRNA methyltransferase (SpoU)]
[locus_tag=PMM1300],[protein_id=CAE19759.1],[gene=putative murA],[protein=UDP-N-glucosamine 1-carboxyvinyltransferase]
[locus_tag=PMM1301],[protein_id=CAE19760.1],[gene=argD],[protein=N-acetylornithine aminotransferase]
[locus_tag=PMM1302],[protein_id=CAE19761.1],[gene=folC],[protein=putuative bifunctional Dihydrofolate/Folylpolyglutamate synthase]
[locus_tag=PMM1303],[protein_id=CAE19762.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1304],[protein_id=CAE19763.1],[gene=codA],[protein=possible cytosine deaminase]
[locus_tag=PMM1305],[protein_id=CAE19764.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1306],[protein_id=CAE19765.1],[gene=ddlA],[protein=D-alanine--D-alanine ligase]
[locus_tag=PMM1307],[protein_id=CAE19766.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1308],[protein_id=CAE19767.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1309],[protein_id=CAE19768.1],[gene=ftsZ],[protein=Cell division protein FtsZ:Tubulin/FtsZ family]
[locus_tag=PMM1310],[protein_id=CAE19769.1],[gene=panB],[protein=putative Ketopantoate hydroxymethyltransferase]
[locus_tag=PMM1311],[protein_id=CAE19770.1],[gene=None],[protein=Oxygen-independent coproporphyrinogen III oxidase]
[locus_tag=PMM1312],[protein_id=CAE19771.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1313],[protein_id=CAE19772.1],[gene=clpP4],[protein=Clp protease proteolytic subunit]
