[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[evalue=1.10156E-156]
[locus_tag=PMM1463],[protein_id=CAE19922.1],[gene=glnB],[protein=Nitrogen regulatory protein P-II],[locus_tag=SynWH7803_2035],[protein_id=CAK24461.1],[gene=glnB],[protein=Nitrogen regulatory protein P-II],[evalue=1.55663E-64]
[locus_tag=PMM1464],[protein_id=CAE19923.1],[gene=None],[protein=FtsJ cell division protein:S4 domain:Hemolysin A],[locus_tag=SynWH7803_2036],[protein_id=CAK24462.1],[gene=None],[protein=Predicted rRNA methylase],[evalue=6.88874E-93]
[locus_tag=PMM1465],[protein_id=CAE19924.1],[gene=purB],[protein=Fumarate lyase:Adenylosuccinate lyase],[locus_tag=SynWH7803_2038],[protein_id=CAK24464.1],[gene=purB],[protein=Adenylosuccinate lyase],[evalue=0.00000E+00],[locus_tag=SynWH7803_0013],[protein_id=CAK22439.1],[gene=argH],[protein=Argininosuccinate lyase],[evalue=1.66254E-13]
[locus_tag=PMM1466],[protein_id=CAE19925.1],[gene=fumC],[protein=Fumarate lyase],[locus_tag=SynWH7803_2039],[protein_id=CAK24465.1],[gene=fumC],[protein=Fumarase],[evalue=0.00000E+00]
[locus_tag=PMM1467],[protein_id=CAE19926.1],[gene=None],[protein=putative DNA helicase],[locus_tag=SynWH7803_2040],[protein_id=CAK24466.1],[gene=None],[protein=Superfamily II RNA helicase],[evalue=0.00000E+00]
[locus_tag=PMM1468],[protein_id=CAE19927.1],[gene=bioF],[protein=putative 8-amino-7-oxononanoate synthase],[locus_tag=SynWH7803_2042],[protein_id=CAK24468.1],[gene=bioF],[protein=8-amino-7-oxononanoate synthase],[evalue=3.60151E-97]
[locus_tag=PMM1469],[protein_id=CAE19928.1],[gene=None],[protein=conserved hypothetical],[locus_tag=SynWH7803_2043],[protein_id=CAK24469.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.81982E-39]
[locus_tag=PMM1470],[protein_id=CAE19929.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2044],[protein_id=CAK24470.1],[gene=None],[protein=Putative SAM-dependent methyltransferase],[evalue=5.06475E-46]
[locus_tag=PMM1471],[protein_id=CAE19930.1],[gene=BioD],[protein=putative Dethiobiotin synthase],[locus_tag=SynWH7803_2045],[protein_id=CAK24471.1],[gene=bioD],[protein=Dethiobiotin synthetase],[evalue=2.83432E-78]
[locus_tag=PMM1472],[protein_id=CAE19931.1],[gene=BioA],[protein=putative diaminopelargonic acid synthase],[locus_tag=SynWH7803_2048],[protein_id=CAK24474.1],[gene=bioA],[protein=Adenosylmethionine-8-amino-7-oxononanoate aminotransferase],[evalue=0.00000E+00],[locus_tag=SynWH7803_1747],[protein_id=CAK24173.1],[gene=argD],[protein=Acetylornithine aminotransferase],[evalue=6.60959E-30]
[locus_tag=PMM1473],[protein_id=CAE19932.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2049],[protein_id=CAK24475.1],[gene=None],[protein=Conserved hypothetical protein specific to cyanobacteria],[evalue=7.45372E-14]
[locus_tag=PMM1474],[protein_id=CAE19933.1],[gene=None],[protein=DnaJ-like protein],[locus_tag=SynWH7803_2050],[protein_id=CAK24476.1],[gene=None],[protein=DnaJ-class molecular chaperone],[evalue=1.09276E-22],[locus_tag=SynWH7803_2100],[protein_id=CAK24526.1],[gene=dnaJ],[protein=DnaJ-class molecular chaperone],[evalue=7.86543E-12]
[locus_tag=PMM1475],[protein_id=CAE19934.1],[gene=gidB],[protein=putative glucose inhibited division protein B],[locus_tag=SynWH7803_2051],[protein_id=CAK24477.1],[gene=gidB],[protein=Methyltransferase gidB],[evalue=7.26024E-63]
[locus_tag=PMM1476],[protein_id=CAE19935.1],[gene=None],[protein=Aldo/keto reductase family],[locus_tag=SynWH7803_2052],[protein_id=CAK24478.1],[gene=None],[protein=Predicted oxidoreductase],[evalue=1.34169E-161],[locus_tag=SynWH7803_1878],[protein_id=CAK24304.1],[gene=None],[protein=Aldo/keto reductase family protein],[evalue=2.70908E-47]
[locus_tag=PMM1477],[protein_id=CAE19936.1],[gene=None],[protein=conserved hypothetical],[locus_tag=SynWH7803_2053],[protein_id=CAK24479.1],[gene=None],[protein=Ferredoxin],[evalue=8.08186E-46]
[locus_tag=PMM1478],[protein_id=CAE19937.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2054],[protein_id=CAK24480.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.47002E-45]
[locus_tag=PMM1479],[protein_id=CAE19938.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2055],[protein_id=CAK24481.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=7.62277E-20]
[locus_tag=PMM1480],[protein_id=CAE19939.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2056],[protein_id=CAK24482.1],[gene=None],[protein=PBS HEAT-like repeat containing protein],[evalue=1.72872E-84]
[locus_tag=PMM1481],[protein_id=CAE19940.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2058],[protein_id=CAK24484.1],[gene=None],[protein=Predicted Fe-S-cluster redox enzyme],[evalue=9.11244E-133]
[locus_tag=PMM1482],[protein_id=CAE19941.1],[gene=hli3],[protein=possible high light inducible protein],[locus_tag=SynWH7803_2059],[protein_id=CAK24485.1],[gene=hli],[protein=High light inducible protein],[evalue=1.41926E-20]
[locus_tag=PMM1483],[protein_id=CAE19942.1],[gene=rpoC2],[protein=RNA polymerase beta prime subunit],[locus_tag=SynWH7803_2060],[protein_id=CAK24486.1],[gene=rpoC2],[protein=DNA-directed RNA polymerase beta' chain],[evalue=0.00000E+00]
[locus_tag=PMM1484],[protein_id=CAE19943.1],[gene=rpoC1],[protein=RNA polymerase gamma subunit],[locus_tag=SynWH7803_2061],[protein_id=CAK24487.1],[gene=rpoC1],[protein=DNA-directed RNA polymerase gamma chain],[evalue=0.00000E+00]
[locus_tag=PMM1485],[protein_id=CAE19944.1],[gene=rpoB],[protein=RNA polymerase beta subunit],[locus_tag=SynWH7803_2062],[protein_id=CAK24488.1],[gene=rpoB],[protein=DNA-directed RNA polymerase beta chain],[evalue=0.00000E+00]
[locus_tag=PMM1486],[protein_id=CAE19945.1],[gene=None],"[protein=possible deoxyribonuclease, TatD family]",[locus_tag=SynWH7803_2063],[protein_id=CAK24489.1],[gene=tatD],[protein=Mg-dependent DNase],[evalue=2.22110E-114]
[locus_tag=PMM1487],[protein_id=CAE19946.1],"[gene=rpsT,rps20]",[protein=30s Ribosomal protein S20],[locus_tag=SynWH7803_2064],[protein_id=CAK24490.1],[gene=rpsT],[protein=30S ribosomal protein S20],[evalue=1.32143E-32]
[locus_tag=PMM1488],[protein_id=CAE19947.1],[gene=hisD],[protein=Histidinol dehydrogenase],[locus_tag=SynWH7803_2065],[protein_id=CAK24491.1],[gene=hisD],[protein=Histidinol dehydrogenase],[evalue=0.00000E+00]
[locus_tag=PMM1489],[protein_id=CAE19948.1],"[gene=rpiA, cbbI]",[protein=Ribose 5-phosphate isomerase],[locus_tag=SynWH7803_2066],[protein_id=CAK24492.1],"[gene=rpiA, cbbI, ppi]",[protein=Ribose-5-phosphate isomerase A],[evalue=2.10123E-103]
[locus_tag=PMM1490],[protein_id=CAE19949.1],[gene=None],[protein=Serine protease],[locus_tag=SynWH7803_2067],[protein_id=CAK24493.1],[gene=degQ],"[protein=Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain]",[evalue=3.26743E-167],[locus_tag=SynWH7803_2187],[protein_id=CAK24613.1],[gene=degQ],[protein=Periplasmic trypsin-like serine protease],[evalue=7.63017E-100],[locus_tag=SynWH7803_0701],[protein_id=CAK23127.1],[gene=None],[protein=Serine protease],[evalue=9.37501E-90]
[locus_tag=PMM1491],[protein_id=CAE19950.1],[gene=None],[protein=DUF150],[locus_tag=SynWH7803_2076],[protein_id=CAK24502.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.03389E-32]
[locus_tag=PMM1492],[protein_id=CAE19951.1],[gene=nusA],[protein=N utilization substance protein A],[locus_tag=SynWH7803_2077],[protein_id=CAK24503.1],[gene=nusA],[protein=Transcription elongation factor NusA],[evalue=0.00000E+00]
[locus_tag=PMM1493],[protein_id=CAE19952.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2078],[protein_id=CAK24504.1],[gene=None],[protein=Predicted nucleic-acid-binding protein implicated in transcription termination],[evalue=4.62475E-21]
[locus_tag=PMM1494],[protein_id=CAE19953.1],[gene=infB],[protein=Translation initiation factor IF-2],[locus_tag=SynWH7803_2079],[protein_id=CAK24505.1],[gene=infB],[protein=Translation initiation factor IF-2],[evalue=1.27141E-15],[locus_tag=SynWH7803_1801],[protein_id=CAK24227.1],[gene=lepA],[protein=GTP-binding protein lepA],[evalue=1.07415E-13],[locus_tag=SynWH7803_0379],[protein_id=CAK22805.1],[gene=tuf],[protein=Elongation factor Tu],[evalue=3.94144E-11]
[locus_tag=PMM1498],[protein_id=CAE19957.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0367],[protein_id=CAK22793.1],[gene=None],[protein=Fe-S oxidoreductase],[evalue=0.00000E+00]
[locus_tag=PMM1499],[protein_id=CAE19958.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0369],[protein_id=CAK22795.1],[gene=clpS],[protein=ATP-dependent Clp protease adaptor protein ClpS],[evalue=1.63529E-49]
[locus_tag=PMM1500],[protein_id=CAE19959.1],[gene=None],[protein=putative aminotransferase],[locus_tag=SynWH7803_0370],[protein_id=CAK22796.1],[gene=None],[protein=Aspartate aminotransferase family enzyme],[evalue=0.00000E+00],[locus_tag=SynWH7803_1472],[protein_id=CAK23898.1],[gene=aspC],[protein=Aspartate aminotransferase],[evalue=1.21922E-13]
[locus_tag=PMM1501],[protein_id=CAE19960.1],[gene=None],[protein=S1 RNA binding domain:Ribonuclease E and G],[locus_tag=SynWH7803_0372],[protein_id=CAK22798.1],[gene=cafA],[protein=Ribonucleases G and E],[evalue=0.00000E+00]
[locus_tag=PMM1502],[protein_id=CAE19961.1],[gene=None],[protein=Ribonuclease HII and HIII],[locus_tag=SynWH7803_0373],[protein_id=CAK22799.1],[gene=rnhB],[protein=Ribonuclease HII],[evalue=3.31467E-66]
[locus_tag=PMM1503],[protein_id=CAE19962.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0374],[protein_id=CAK22800.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.68234E-69]
[locus_tag=PMM1504],[protein_id=CAE19963.1],[gene=pheA],[protein=Chorismate mutase-Prephenate dehydratase],[locus_tag=SynWH7803_0375],[protein_id=CAK22801.1],[gene=pheA],[protein=Prephenate dehydratase],[evalue=2.23786E-112]
[locus_tag=PMM1505],[protein_id=CAE19964.1],[gene=None],[protein=SAM (and some other nucleotide) binding motif],[locus_tag=SynWH7803_0376],[protein_id=CAK22802.1],[gene=None],[protein=Sterol-C-methyltransferase],[evalue=9.36729E-127],[locus_tag=SynWH7803_0360],[protein_id=CAK22786.1],[gene=None],[protein=Sarcosine-dimethylglycine methyltransferase],[evalue=3.31690E-11]
[locus_tag=PMM1506],[protein_id=CAE19965.1],[gene=None],[protein=ATP-dependent protease La (LON) domain],[locus_tag=SynWH7803_0377],[protein_id=CAK22803.1],[gene=None],"[protein=Uncharacterized protein, similar to the N-terminal domain of Lon protease]",[evalue=3.42389E-109]
[locus_tag=PMM1507],[protein_id=CAE19966.1],"[gene=rpsJ,rps10]",[protein=30S ribosomal protein S10],[locus_tag=SynWH7803_0378],[protein_id=CAK22804.1],[gene=rpsJ],[protein=30S ribosomal protein S10],[evalue=2.64375E-64]
[locus_tag=PMM1508],[protein_id=CAE19967.1],[gene=tufA],[protein=Elongation factor Tu],[locus_tag=SynWH7803_0379],[protein_id=CAK22805.1],[gene=tuf],[protein=Elongation factor Tu],[evalue=0.00000E+00],[locus_tag=SynWH7803_1314],[protein_id=CAK23740.1],[gene=typA],[protein=GTP-binding protein TypA/BipA homolog],[evalue=4.11696E-20],[locus_tag=SynWH7803_1801],[protein_id=CAK24227.1],[gene=lepA],[protein=GTP-binding protein lepA],[evalue=1.12667E-15]
[locus_tag=PMM1509],[protein_id=CAE19968.1],[gene=fusA],[protein=Elongation factor G],[locus_tag=SynWH7803_0380],[protein_id=CAK22806.1],[gene=fusA],[protein=Elongation factor G],[evalue=0.00000E+00],[locus_tag=SynWH7803_1493],[protein_id=CAK23919.1],[gene=prfC],[protein=Peptide chain release factor RF-3],[evalue=3.81977E-45],[locus_tag=SynWH7803_1314],[protein_id=CAK23740.1],[gene=typA],[protein=GTP-binding protein TypA/BipA homolog],[evalue=1.66524E-24]
[locus_tag=PMM1510],[protein_id=CAE19969.1],"[gene=rps7, rpsG]",[protein=30S ribosomal protein S7],[locus_tag=SynWH7803_0381],[protein_id=CAK22807.1],[gene=rpsG],[protein=30S ribosomal protein S7],[evalue=3.09865E-106]
[locus_tag=PMM1511],[protein_id=CAE19970.1],"[gene=rps12, rpsL]",[protein=30S ribosomal protein S12],[locus_tag=SynWH7803_0382],[protein_id=CAK22808.1],[gene=rpsL],[protein=30S ribosomal protein S12],[evalue=4.84166E-79]
[locus_tag=PMM1512],[protein_id=CAE19971.1],"[gene=glsF, gltS]","[protein=Ferredoxin-dependent glutamate synthase, Fd-GOGAT]",[locus_tag=SynWH7803_0385],[protein_id=CAK22811.1],[gene=gltS],[protein=Ferredoxin-dependent glutamate synthase],[evalue=0.00000E+00]
[locus_tag=PMM1513],[protein_id=CAE19972.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0386],[protein_id=CAK22812.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.56278E-23]
[locus_tag=PMM1514],[protein_id=CAE19973.1],[gene=lipA],[protein=lipoic acid synthetase],[locus_tag=SynWH7803_0387],[protein_id=CAK22813.1],[gene=lipA],[protein=Lipoate synthase],[evalue=8.30136E-164],[locus_tag=SynWH7803_1526],[protein_id=CAK23952.1],[gene=lipA],[protein=Lipoyl synthase],[evalue=2.41608E-79]
[locus_tag=PMM1517],[protein_id=CAE19976.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0402],[protein_id=CAK22828.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=5.59437E-91]
[locus_tag=PMM1518],[protein_id=CAE19977.1],[gene=None],[protein=conserved hypothetical proein],[locus_tag=SynWH7803_0401],[protein_id=CAK22827.1],[gene=None],[protein=Possible cell wall-associated hydrolase],[evalue=1.76440E-62]
[locus_tag=PMM1519],[protein_id=CAE19978.1],[gene=psaL],[protein=Photosystem I PsaL protein (subunit XI)],[locus_tag=SynWH7803_0396],[protein_id=CAK22822.1],[gene=psaL],[protein=Photosystem I reaction centre subunit XI],[evalue=2.31835E-68]
[locus_tag=PMM1522],[protein_id=CAE19981.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[locus_tag=SynWH7803_0399],[protein_id=CAK22825.1],[gene=None],[protein=Glycosyltransferase of family GT2],[evalue=2.11103E-154],[locus_tag=SynWH7803_0193],[protein_id=CAK22619.1],[gene=None],[protein=Glycosyltransferase of family GT2],[evalue=3.23286E-24],[locus_tag=SynWH7803_0218],[protein_id=CAK22644.1],[gene=None],[protein=Glycosyltransferase of family GT2],[evalue=2.45661E-22]
[locus_tag=PMM1523],[protein_id=CAE19982.1],[gene=psaB],[protein=Photosystem I PsaB protein],[locus_tag=SynWH7803_0392],[protein_id=CAK22818.1],[gene=psaB],[protein=Photosystem I P700 chlorophyll A apoprotein A2],[evalue=0.00000E+00],[locus_tag=SynWH7803_0391],[protein_id=CAK22817.1],[gene=psaA],[protein=Photosystem I P700 chlorophyll A apoprotein A1],[evalue=3.50313E-178]
[locus_tag=PMM1524],[protein_id=CAE19983.1],[gene=psaA],[protein=Photosystem I PsaA protein],[locus_tag=SynWH7803_0391],[protein_id=CAK22817.1],[gene=psaA],[protein=Photosystem I P700 chlorophyll A apoprotein A1],[evalue=0.00000E+00],[locus_tag=SynWH7803_0392],[protein_id=CAK22818.1],[gene=psaB],[protein=Photosystem I P700 chlorophyll A apoprotein A2],[evalue=1.97943E-179]
[locus_tag=PMM1525],[protein_id=CAE19984.1],[gene=cbiG/cobJ fusion],[protein=bifunctional cbiH protien and PRECORRIN-3B C17-METHYLTRANSFERASE],[locus_tag=SynWH7803_0388],[protein_id=CAK22814.1],"[gene=cbiG,cobJ]",[protein=Bifunctional protein CbiG/CobJ (cobalamin biosynthesis protein and precorrin-3B C17-methyltransferase)],[evalue=0.00000E+00]
[locus_tag=PMM1526],[protein_id=CAE19985.1],[gene=hisB],[protein=putative imidazoleglycerol-phosphate dehydratase],[locus_tag=SynWH7803_2003],[protein_id=CAK24429.1],[gene=gph],[protein=Predicted HAD superfamily phosphatase],[evalue=5.24617E-88]
[locus_tag=PMM1527],[protein_id=CAE19986.1],[gene=alr],[protein=putative Alanine racemase],[locus_tag=SynWH7803_0403],[protein_id=CAK22829.1],[gene=alr],[protein=Alanine racemase],[evalue=1.98021E-143]
[locus_tag=PMM1528],[protein_id=CAE19987.1],[gene=None],[protein=HNH endonuclease family protein],[locus_tag=SynWH7803_0404],[protein_id=CAK22830.1],[gene=None],[protein=McrA/HNH family nuclease],[evalue=1.50127E-86]
[locus_tag=PMM1529],[protein_id=CAE19988.1],"[gene=prfA,sueB]",[protein=peptide chain release factor RF-1],[locus_tag=SynWH7803_0405],[protein_id=CAK22831.1],[gene=prfA],[protein=Peptide chain release factor 1],[evalue=0.00000E+00],[locus_tag=SynWH7803_2325],[protein_id=CAK24751.1],[gene=prfB],[protein=Protein chain release factor B],[evalue=8.97653E-47]
[locus_tag=PMM1530],[protein_id=CAE19989.1],"[gene=rpl31, rpmE]",[protein=50S ribosomal protein L31],[locus_tag=SynWH7803_0406],[protein_id=CAK22832.1],[gene=rpmE],[protein=50S ribosomal protein L31],[evalue=6.68602E-49]
[locus_tag=PMM1531],[protein_id=CAE19990.1],"[gene=rps9, rpsI]",[protein=30S ribosomal protein S9],[locus_tag=SynWH7803_0407],[protein_id=CAK22833.1],[gene=rpsI],[protein=30S ribosomal protein S9],[evalue=3.30102E-76]
[locus_tag=PMM1532],[protein_id=CAE19991.1],"[gene=rpl13, rplM]",[protein=50S ribosomal protein L13],[locus_tag=SynWH7803_0408],[protein_id=CAK22834.1],[gene=rplM],[protein=50S ribosomal protein L13],[evalue=5.52214E-81]
[locus_tag=PMM1533],[protein_id=CAE19992.1],[gene=truA],[protein=tRNA pseudouridine synthase A],[locus_tag=SynWH7803_0409],[protein_id=CAK22835.1],[gene=truA],[protein=tRNA pseudouridine synthase A],[evalue=1.35998E-101]
[locus_tag=PMM1534],[protein_id=CAE19993.1],"[gene=rpl17, rplQ]",[protein=50S ribosomal protein L17],[locus_tag=SynWH7803_0410],[protein_id=CAK22836.1],[gene=rplQ],[protein=50S ribosomal protein L17],[evalue=5.42260E-60]
[locus_tag=PMM1535],[protein_id=CAE19994.1],[gene=rpoA],"[protein=Bacterial RNA polymerase, alpha chain]",[locus_tag=SynWH7803_0411],[protein_id=CAK22837.1],[gene=rpoA],[protein=DNA-directed RNA polymerase alpha chain],[evalue=0.00000E+00]
[locus_tag=PMM1536],[protein_id=CAE19995.1],"[gene=rps11, rpsK]",[protein=30S ribosomal protein S11],[locus_tag=SynWH7803_0412],[protein_id=CAK22838.1],[gene=rpsK],[protein=30S ribosomal protein S11],[evalue=3.33281E-76]
[locus_tag=PMM1537],[protein_id=CAE19996.1],"[gene=rps13, rpsM]",[protein=30S ribosomal protein S13],[locus_tag=SynWH7803_0413],[protein_id=CAK22839.1],[gene=rpsM],[protein=30S ribosomal protein S13],[evalue=8.18317E-67]
[locus_tag=PMM1538],[protein_id=CAE19997.1],"[gene=rpmJ,rpl36]",[protein=50S Ribosomal protein L36],[locus_tag=SynWH7803_0414],[protein_id=CAK22840.1],[gene=rpmJ],[protein=50S ribosomal protein L36],[evalue=2.02702E-18]
[locus_tag=PMM1539],[protein_id=CAE19998.1],[gene=adk],[protein=Adenylate kinase],[locus_tag=SynWH7803_0415],[protein_id=CAK22841.1],[gene=adk],[protein=Adenylate kinase],[evalue=1.55320E-63]
[locus_tag=PMM1540],[protein_id=CAE19999.1],[gene=secY],[protein=preprotein translocase SecY subunit],[locus_tag=SynWH7803_0416],[protein_id=CAK22842.1],[gene=secY],[protein=Preprotein translocase SecY subunit],[evalue=0.00000E+00]
[locus_tag=PMM1541],[protein_id=CAE20000.1],"[gene=rpl15, rplO]",[protein=50S ribosomal protein L15],[locus_tag=SynWH7803_0417],[protein_id=CAK22843.1],[gene=rplO],[protein=50S ribosomal protein L15],[evalue=2.91155E-69]
[locus_tag=PMM1542],[protein_id=CAE20001.1],"[gene=rpsE,rps5]",[protein=30S ribosomal protein S5],[locus_tag=SynWH7803_0418],[protein_id=CAK22844.1],[gene=rpsE],[protein=30S ribosomal protein S5],[evalue=4.12819E-104]
[locus_tag=PMM1543],[protein_id=CAE20002.1],"[gene=rpl18, rplR]",[protein=50S ribosomal protein L18],[locus_tag=SynWH7803_0419],[protein_id=CAK22845.1],[gene=rplR],[protein=50S ribosomal protein L18],[evalue=2.35206E-53]
[locus_tag=PMM1544],[protein_id=CAE20003.1],"[gene=rpl6, rplF]",[protein=50S ribosomal protein L6],[locus_tag=SynWH7803_0420],[protein_id=CAK22846.1],[gene=rplF],[protein=50S ribosomal protein L6],[evalue=6.54819E-101]
[locus_tag=PMM1545],[protein_id=CAE20004.1],"[gene=rps8, rpsH]",[protein=30S ribosomal protein S8],[locus_tag=SynWH7803_0421],[protein_id=CAK22847.1],[gene=rpsH],[protein=30S ribosomal protein S8],[evalue=2.75256E-81]
[locus_tag=PMM1546],[protein_id=CAE20005.1],"[gene=rpl5, rplE]",[protein=50S ribosomal protein L5],[locus_tag=SynWH7803_0422],[protein_id=CAK22848.1],[gene=rplE],[protein=50S ribosomal protein L5],[evalue=3.67438E-109]
[locus_tag=PMM1547],[protein_id=CAE20006.1],"[gene=rpl24, rplX]",[protein=50S ribosomal protein L24],[locus_tag=SynWH7803_0423],[protein_id=CAK22849.1],[gene=rplX],[protein=50S ribosomal protein L24],[evalue=1.99979E-54]
[locus_tag=PMM1548],[protein_id=CAE20007.1],"[gene=rpl14, rplN]",[protein=50S Ribosomal protein L14],[locus_tag=SynWH7803_0424],[protein_id=CAK22850.1],[gene=rplN],[protein=50S ribosomal protein L14],[evalue=3.41094E-79]
[locus_tag=PMM1549],[protein_id=CAE20008.1],"[gene=rps17, rpsQ]",[protein=30S Ribosomal protein S17],[locus_tag=SynWH7803_0425],[protein_id=CAK22851.1],[gene=rpsQ],[protein=30S ribosomal protein S17],[evalue=1.17976E-42]
[locus_tag=PMM1550],[protein_id=CAE20009.1],"[gene=rpl29, rpmC]",[protein=50S ribosomal protein L29],[locus_tag=SynWH7803_0426],[protein_id=CAK22852.1],[gene=rpmC],[protein=50S ribosomal protein L29],[evalue=1.60339E-17]
[locus_tag=PMM1551],[protein_id=CAE20010.1],"[gene=rpl16, rplP]",[protein=50S ribosomal protein L16],[locus_tag=SynWH7803_0427],[protein_id=CAK22853.1],[gene=rplP],[protein=50S ribosomal protein L16],[evalue=5.20459E-92]
[locus_tag=PMM1552],[protein_id=CAE20011.1],"[gene=rps3, rpsC]",[protein=30S ribosomal protein S3],[locus_tag=SynWH7803_0428],[protein_id=CAK22854.1],[gene=rpsC],[protein=30S ribosomal protein S3],[evalue=7.73558E-152]
[locus_tag=PMM1553],[protein_id=CAE20012.1],"[gene=rpl22, rplV]",[protein=50S ribosomal protein L22],[locus_tag=SynWH7803_0429],[protein_id=CAK22855.1],[gene=rplV],[protein=50S ribosomal protein L22],[evalue=3.62563E-66]
[locus_tag=PMM1554],[protein_id=CAE20013.1],"[gene=rps19, rpsS]",[protein=30S Ribosomal protein S19],[locus_tag=SynWH7803_0430],[protein_id=CAK22856.1],[gene=rpsS],[protein=30S ribosomal protein S19],[evalue=1.59095E-57]
[locus_tag=PMM1555],[protein_id=CAE20014.1],"[gene=rpl2, rplB]",[protein=50S ribosomal protein L2],[locus_tag=SynWH7803_0431],[protein_id=CAK22857.1],[gene=rplB],[protein=50S ribosomal protein L2],[evalue=0.00000E+00]
[locus_tag=PMM1556],[protein_id=CAE20015.1],"[gene=rpl23, rplW]",[protein=50S ribosomal protein L23],[locus_tag=SynWH7803_0432],[protein_id=CAK22858.1],[gene=rplW],[protein=50S ribosomal protein L23],[evalue=6.07327E-57]
[locus_tag=PMM1557],[protein_id=CAE20016.1],"[gene=rpl4, rplD]",[protein=50S ribosomal protein L4],[locus_tag=SynWH7803_0433],[protein_id=CAK22859.1],[gene=rplD],[protein=50S ribosomal protein L4],[evalue=8.82522E-112]
[locus_tag=PMM1558],[protein_id=CAE20017.1],"[gene=rpl3, rplC]",[protein=50S ribosomal protein L3],[locus_tag=SynWH7803_0434],[protein_id=CAK22860.1],[gene=rplC],[protein=50S ribosomal protein L3],[evalue=7.43546E-118]
[locus_tag=PMM1559],[protein_id=CAE20018.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0435],[protein_id=CAK22861.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=5.70233E-66]
[locus_tag=PMM1560],[protein_id=CAE20019.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0436],[protein_id=CAK22862.1],[gene=None],[protein=Possible Fe-S cluster containing protein],[evalue=2.18263E-99]
[locus_tag=PMM1561],[protein_id=CAE20020.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0438],[protein_id=CAK22864.1],[gene=None],[protein=HAD superfamily hydrolase],[evalue=1.42213E-52]
[locus_tag=PMM1562],[protein_id=CAE20021.1],[gene=recA],[protein=RecA bacterial DNA recombination protein],[locus_tag=SynWH7803_0439],[protein_id=CAK22865.1],[gene=recA],[protein=RecA protein (recombinase A)],[evalue=0.00000E+00]
[locus_tag=PMM1563],[protein_id=CAE20022.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0441],[protein_id=CAK22867.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=4.90509E-20]
[locus_tag=PMM1564],[protein_id=CAE20023.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0442],[protein_id=CAK22868.1],[gene=None],[protein=Possible ATP-dependent DNA helicase],[evalue=9.64018E-66]
[locus_tag=PMM1565],[protein_id=CAE20024.1],[gene=None],[protein=Prephenate dehydrogenase],[locus_tag=SynWH7803_0443],[protein_id=CAK22869.1],[gene=tyrA],[protein=Prephenate dehydrogenase],[evalue=2.88632E-69]
[locus_tag=PMM1566],[protein_id=CAE20025.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0444],[protein_id=CAK22870.1],[gene=None],[protein=Phytoene dehydrogenase],[evalue=2.20744E-176]
[locus_tag=PMM1567],[protein_id=CAE20026.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0445],[protein_id=CAK22871.1],[gene=None],[protein=Possible fructosamine kinase],[evalue=1.23800E-64]
[locus_tag=PMM1568],[protein_id=CAE20027.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0446],[protein_id=CAK22872.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.64034E-36]
