[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=PMM2016],[protein_id=CAP16521.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM2016],[protein_id=CAP16521.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=8.29131E-18]
[locus_tag=PMM1434],[protein_id=CAE19893.1],[gene=pgmI],[protein=None],[locus_tag=PMM1434],[protein_id=CAE19893.1],[gene=pgmI],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM1435],[protein_id=CAE19894.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1435],[protein_id=CAE19894.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.03166E-46]
[locus_tag=PMM1436],[protein_id=CAE19895.1],[gene=groEL],[protein=None],[locus_tag=PMM1436],[protein_id=CAE19895.1],[gene=groEL],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0452],[protein_id=CAE18911.1],[gene=None],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM1437],[protein_id=CAE19896.1],[gene=groES],[protein=None],[locus_tag=PMM1437],[protein_id=CAE19896.1],[gene=groES],[protein=None],[evalue=3.74726E-70]
[locus_tag=PMM1438],[protein_id=CAE19897.1],[gene=atpB],[protein=None],[locus_tag=PMM1438],[protein_id=CAE19897.1],[gene=atpB],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM1451],[protein_id=CAE19910.1],[gene=atpA],[protein=None],[evalue=3.91812E-23]
[locus_tag=PMM1439],[protein_id=CAE19898.1],[gene=None],"[protein=ATP synthase, Epsilon subunit]",[locus_tag=PMM1439],[protein_id=CAE19898.1],[gene=None],"[protein=ATP synthase, Epsilon subunit]",[evalue=4.74617E-94]
[locus_tag=PMM1440],[protein_id=CAE19899.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1440],[protein_id=CAE19899.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.77668E-117]
[locus_tag=PMM1441],[protein_id=CAE19900.1],[gene=None],[protein=hypothetical],[locus_tag=PMM1441],[protein_id=CAE19900.1],[gene=None],[protein=hypothetical],[evalue=1.02240E-34]
[locus_tag=PMM1442],[protein_id=CAE19901.1],[gene=pepP],[protein=putative aminopeptidase P],[locus_tag=PMM1442],[protein_id=CAE19901.1],[gene=pepP],[protein=putative aminopeptidase P],[evalue=0.00000E+00]
[locus_tag=PMM1443],[protein_id=CAE19902.1],[gene=None],[protein=Domain of unknown function DUF21],[locus_tag=PMM1443],[protein_id=CAE19902.1],[gene=None],[protein=Domain of unknown function DUF21],[evalue=0.00000E+00]
[locus_tag=PMM1444],[protein_id=CAE19903.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1444],[protein_id=CAE19903.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00],[locus_tag=PMM0916],[protein_id=CAE19375.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.56910E-15]
[locus_tag=PMM1445],[protein_id=CAE19904.1],[gene=None],[protein=Putative nicotinate-nucleotide adenylyltransferase],[locus_tag=PMM1445],[protein_id=CAE19904.1],[gene=None],[protein=Putative nicotinate-nucleotide adenylyltransferase],[evalue=2.77426E-139]
[locus_tag=PMM1446],[protein_id=CAE19905.1],[gene=None],[protein=None],[locus_tag=PMM1446],[protein_id=CAE19905.1],[gene=None],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM1447],[protein_id=CAE19906.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1447],[protein_id=CAE19906.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1448],[protein_id=CAE19907.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1448],[protein_id=CAE19907.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.07705E-45]
[locus_tag=PMM1449],[protein_id=CAE19908.1],[gene=petF],[protein=ferredoxin],[locus_tag=PMM1449],[protein_id=CAE19908.1],[gene=petF],[protein=ferredoxin],[evalue=8.38005E-78],[locus_tag=PMM1352],[protein_id=CAE19811.1],[gene=petF],[protein=ferredoxin],[evalue=5.36535E-22],[locus_tag=PMM0898],[protein_id=CAE19357.1],[gene=petF],"[protein=ferredoxin, petF-like protein]",[evalue=3.51602E-19]
[locus_tag=PMM1450],[protein_id=CAE19909.1],[gene=atpC],[protein=ATP synthase gamma subunit],[locus_tag=PMM1450],[protein_id=CAE19909.1],[gene=atpC],[protein=ATP synthase gamma subunit],[evalue=0.00000E+00]
[locus_tag=PMM1451],[protein_id=CAE19910.1],[gene=atpA],[protein=None],[locus_tag=PMM1451],[protein_id=CAE19910.1],[gene=atpA],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM1438],[protein_id=CAE19897.1],[gene=atpB],[protein=None],[evalue=3.17226E-20]
[locus_tag=PMM1452],[protein_id=CAE19911.1],[gene=None],[protein=None],[locus_tag=PMM1452],[protein_id=CAE19911.1],[gene=None],[protein=None],[evalue=1.96631E-126]
[locus_tag=PMM1453],[protein_id=CAE19912.1],[gene=atpF],[protein=None],[locus_tag=PMM1453],[protein_id=CAE19912.1],[gene=atpF],[protein=None],[evalue=1.77272E-121]
[locus_tag=PMM1454],[protein_id=CAE19913.1],[gene=atpG],[protein=None],[locus_tag=PMM1454],[protein_id=CAE19913.1],[gene=atpG],[protein=None],[evalue=2.41162E-108]
[locus_tag=PMM1455],[protein_id=CAE19914.1],[gene=None],[protein=None],[locus_tag=PMM1455],[protein_id=CAE19914.1],[gene=None],[protein=None],[evalue=1.25392E-52]
[locus_tag=PMM1456],[protein_id=CAE19915.1],[gene=atpI],[protein=ATP synthase A subunit],[locus_tag=PMM1456],[protein_id=CAE19915.1],[gene=atpI],[protein=ATP synthase A subunit],[evalue=2.22683E-177]
[locus_tag=PMM1457],[protein_id=CAE19916.1],[gene=atp1],[protein=possible ATP synthase subunit 1],[locus_tag=PMM1457],[protein_id=CAE19916.1],[gene=atp1],[protein=possible ATP synthase subunit 1],[evalue=3.08322E-113]
[locus_tag=PMM1458],[protein_id=CAE19917.1],[gene=ftsW],[protein=Cell division protein FtsW],[locus_tag=PMM1458],[protein_id=CAE19917.1],[gene=ftsW],[protein=Cell division protein FtsW],[evalue=0.00000E+00],[locus_tag=PMM1580],[protein_id=CAE20039.1],[gene=rodA],[protein=None],[evalue=1.00129E-27]
[locus_tag=PMM1459],[protein_id=CAE19918.1],[gene=ccdA],[protein=putative c-type cytochrome biogenesis protein CcdA],[locus_tag=PMM1459],[protein_id=CAE19918.1],[gene=ccdA],[protein=putative c-type cytochrome biogenesis protein CcdA],[evalue=2.07843E-152]
[locus_tag=PMM1460],[protein_id=CAE19919.1],[gene=ycf44],[protein=putative c-type cytochrome biogenesis protein Ccs1],[locus_tag=PMM1460],[protein_id=CAE19919.1],[gene=ycf44],[protein=putative c-type cytochrome biogenesis protein Ccs1],[evalue=0.00000E+00]
[locus_tag=PMM1461],[protein_id=CAE19920.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1461],[protein_id=CAE19920.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.15499E-102]
[locus_tag=PMM1462],[protein_id=CAE19921.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1462],[protein_id=CAE19921.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.47866E-55]
[locus_tag=PMM1463],[protein_id=CAE19922.1],[gene=glnB],[protein=Nitrogen regulatory protein P-II],[locus_tag=PMM1463],[protein_id=CAE19922.1],[gene=glnB],[protein=Nitrogen regulatory protein P-II],[evalue=4.60139E-76]
[locus_tag=PMM1464],[protein_id=CAE19923.1],[gene=None],[protein=None],[locus_tag=PMM1464],[protein_id=CAE19923.1],[gene=None],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM2017],[protein_id=None],[gene=None],[protein=None],[locus_tag=PMM2017],[protein_id=None],[gene=None],[protein=None],[evalue=2.24495E-35]
[locus_tag=PMM1465],[protein_id=CAE19924.1],[gene=purB],[protein=None],[locus_tag=PMM1465],[protein_id=CAE19924.1],[gene=purB],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0012],[protein_id=CAE18471.1],[gene=argH],[protein=None],[evalue=4.03175E-19]
[locus_tag=PMM1466],[protein_id=CAE19925.1],[gene=fumC],[protein=Fumarate lyase],[locus_tag=PMM1466],[protein_id=CAE19925.1],[gene=fumC],[protein=Fumarate lyase],[evalue=0.00000E+00]
[locus_tag=PMM1467],[protein_id=CAE19926.1],[gene=None],[protein=putative DNA helicase],[locus_tag=PMM1467],[protein_id=CAE19926.1],[gene=None],[protein=putative DNA helicase],[evalue=0.00000E+00]
[locus_tag=PMM1468],[protein_id=CAE19927.1],[gene=bioF],[protein=putative 8-amino-7-oxononanoate synthase],[locus_tag=PMM1468],[protein_id=CAE19927.1],[gene=bioF],[protein=putative 8-amino-7-oxononanoate synthase],[evalue=0.00000E+00]
[locus_tag=PMM1469],[protein_id=CAE19928.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM1469],[protein_id=CAE19928.1],[gene=None],[protein=conserved hypothetical],[evalue=4.02755E-176]
[locus_tag=PMM1470],[protein_id=CAE19929.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1470],[protein_id=CAE19929.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1471],[protein_id=CAE19930.1],[gene=BioD],[protein=putative Dethiobiotin synthase],[locus_tag=PMM1471],[protein_id=CAE19930.1],[gene=BioD],[protein=putative Dethiobiotin synthase],[evalue=9.30143E-163]
[locus_tag=PMM1472],[protein_id=CAE19931.1],[gene=BioA],[protein=putative diaminopelargonic acid synthase],[locus_tag=PMM1472],[protein_id=CAE19931.1],[gene=BioA],[protein=putative diaminopelargonic acid synthase],[evalue=0.00000E+00],[locus_tag=PMM1301],[protein_id=CAE19760.1],[gene=argD],[protein=N-acetylornithine aminotransferase],[evalue=1.36507E-24],[locus_tag=PMM0483],[protein_id=CAE18942.1],[gene=None],"[protein=glutamate-1-semialdehyde 2,1-aminomutase]",[evalue=7.34907E-18]
[locus_tag=PMM1473],[protein_id=CAE19932.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1473],[protein_id=CAE19932.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.69599E-60]
[locus_tag=PMM1474],[protein_id=CAE19933.1],[gene=None],[protein=DnaJ-like protein],[locus_tag=PMM1474],[protein_id=CAE19933.1],[gene=None],[protein=DnaJ-like protein],[evalue=1.55509E-106]
[locus_tag=PMM1475],[protein_id=CAE19934.1],[gene=gidB],[protein=putative glucose inhibited division protein B],[locus_tag=PMM1475],[protein_id=CAE19934.1],[gene=gidB],[protein=putative glucose inhibited division protein B],[evalue=9.35064E-178]
[locus_tag=PMM1476],[protein_id=CAE19935.1],[gene=None],[protein=Aldo/keto reductase family],[locus_tag=PMM1476],[protein_id=CAE19935.1],[gene=None],[protein=Aldo/keto reductase family],[evalue=0.00000E+00],[locus_tag=PMM0441],[protein_id=CAE18900.1],[gene=None],[protein=Aldo/keto reductase family],[evalue=1.97305E-53]
[locus_tag=PMM1477],[protein_id=CAE19936.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM1477],[protein_id=CAE19936.1],[gene=None],[protein=conserved hypothetical],[evalue=6.25707E-91]
[locus_tag=PMM1478],[protein_id=CAE19937.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1478],[protein_id=CAE19937.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.57462E-95]
[locus_tag=PMM1479],[protein_id=CAE19938.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1479],[protein_id=CAE19938.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.12832E-49]
[locus_tag=PMM1480],[protein_id=CAE19939.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1480],[protein_id=CAE19939.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM2018],[protein_id=CAP16523.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM2018],[protein_id=CAP16523.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.11818E-25]
[locus_tag=PMM1481],[protein_id=CAE19940.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1481],[protein_id=CAE19940.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1482],[protein_id=CAE19941.1],[gene=hli3],[protein=possible high light inducible protein],[locus_tag=PMM1482],[protein_id=CAE19941.1],[gene=hli3],[protein=possible high light inducible protein],[evalue=7.01825E-33]
[locus_tag=PMM1483],[protein_id=CAE19942.1],[gene=rpoC2],[protein=RNA polymerase beta prime subunit],[locus_tag=PMM1483],[protein_id=CAE19942.1],[gene=rpoC2],[protein=RNA polymerase beta prime subunit],[evalue=0.00000E+00]
[locus_tag=PMM1484],[protein_id=CAE19943.1],[gene=rpoC1],[protein=RNA polymerase gamma subunit],[locus_tag=PMM1484],[protein_id=CAE19943.1],[gene=rpoC1],[protein=RNA polymerase gamma subunit],[evalue=0.00000E+00]
[locus_tag=PMM1485],[protein_id=CAE19944.1],[gene=rpoB],[protein=RNA polymerase beta subunit],[locus_tag=PMM1485],[protein_id=CAE19944.1],[gene=rpoB],[protein=RNA polymerase beta subunit],[evalue=0.00000E+00]
[locus_tag=PMM1486],[protein_id=CAE19945.1],[gene=None],"[protein=possible deoxyribonuclease, TatD family]",[locus_tag=PMM1486],[protein_id=CAE19945.1],[gene=None],"[protein=possible deoxyribonuclease, TatD family]",[evalue=0.00000E+00]
[locus_tag=PMM1487],[protein_id=CAE19946.1],[gene=None],[protein=30s Ribosomal protein S20],[locus_tag=PMM1487],[protein_id=CAE19946.1],[gene=None],[protein=30s Ribosomal protein S20],[evalue=1.99241E-65]
[locus_tag=PMM1488],[protein_id=CAE19947.1],[gene=hisD],[protein=Histidinol dehydrogenase],[locus_tag=PMM1488],[protein_id=CAE19947.1],[gene=hisD],[protein=Histidinol dehydrogenase],[evalue=0.00000E+00]
[locus_tag=PMM1489],[protein_id=CAE19948.1],[gene=None],[protein=Ribose 5-phosphate isomerase],[locus_tag=PMM1489],[protein_id=CAE19948.1],[gene=None],[protein=Ribose 5-phosphate isomerase],[evalue=2.01961E-166]
[locus_tag=PMM1490],[protein_id=CAE19949.1],[gene=None],[protein=Serine protease],[locus_tag=PMM1490],[protein_id=CAE19949.1],[gene=None],[protein=Serine protease],[evalue=0.00000E+00],[locus_tag=PMM0090],[protein_id=CAE18549.1],[gene=None],[protein=possible serine protease],[evalue=3.51058E-100],[locus_tag=PMM1425],[protein_id=CAE19884.1],[gene=None],[protein=None],[evalue=1.09185E-31]
[locus_tag=PMM1491],[protein_id=CAE19950.1],[gene=None],[protein=DUF150],[locus_tag=PMM1491],[protein_id=CAE19950.1],[gene=None],[protein=DUF150],[evalue=3.04955E-110]
[locus_tag=PMM1492],[protein_id=CAE19951.1],[gene=nusA],[protein=N utilization substance protein A],[locus_tag=PMM1492],[protein_id=CAE19951.1],[gene=nusA],[protein=N utilization substance protein A],[evalue=0.00000E+00]
[locus_tag=PMM1493],[protein_id=CAE19952.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1493],[protein_id=CAE19952.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.38706E-61]
[locus_tag=PMM1494],[protein_id=CAE19953.1],[gene=infB],[protein=Translation initiation factor IF-2],[locus_tag=PMM1494],[protein_id=CAE19953.1],[gene=infB],[protein=Translation initiation factor IF-2],[evalue=0.00000E+00],[locus_tag=PMM0420],[protein_id=CAE18879.1],[gene=lepA],[protein=GTP-binding protein LepA],[evalue=3.56074E-15],[locus_tag=PMM1508],[protein_id=CAE19967.1],[gene=tufA],[protein=Elongation factor Tu],[evalue=5.37221E-12]
[locus_tag=PMM1495],[protein_id=CAE19954.1],[gene=None],[protein=hypothetical],[locus_tag=PMM1495],[protein_id=CAE19954.1],[gene=None],[protein=hypothetical],[evalue=3.94383E-54]
[locus_tag=PMM1496],[protein_id=CAE19955.1],[gene=None],[protein=Dolichyl-phosphate-mannose-protein mannosyltransferase],[locus_tag=PMM1496],[protein_id=CAE19955.1],[gene=None],[protein=Dolichyl-phosphate-mannose-protein mannosyltransferase],[evalue=0.00000E+00]
[locus_tag=PMM1497],[protein_id=CAE19956.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[locus_tag=PMM1497],[protein_id=CAE19956.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=0.00000E+00]
[locus_tag=PMM1498],[protein_id=CAE19957.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1498],[protein_id=CAE19957.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1499],[protein_id=CAE19958.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1499],[protein_id=CAE19958.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.57278E-85]
[locus_tag=PMM1500],[protein_id=CAE19959.1],[gene=None],[protein=putative aminotransferase],[locus_tag=PMM1500],[protein_id=CAE19959.1],[gene=None],[protein=putative aminotransferase],[evalue=0.00000E+00],[locus_tag=PMM0186],[protein_id=CAE18645.1],[gene=hisC],[protein=Aminotransferases class-I],[evalue=4.04502E-14]
[locus_tag=PMM1501],[protein_id=CAE19960.1],[gene=None],[protein=None],[locus_tag=PMM1501],[protein_id=CAE19960.1],[gene=None],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM1502],[protein_id=CAE19961.1],[gene=None],[protein=Ribonuclease HII and HIII],[locus_tag=PMM1502],[protein_id=CAE19961.1],[gene=None],[protein=Ribonuclease HII and HIII],[evalue=8.26398E-154]
[locus_tag=PMM1503],[protein_id=CAE19962.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1503],[protein_id=CAE19962.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.39941E-124]
[locus_tag=PMM1504],[protein_id=CAE19963.1],[gene=pheA],[protein=Chorismate mutase-Prephenate dehydratase],[locus_tag=PMM1504],[protein_id=CAE19963.1],[gene=pheA],[protein=Chorismate mutase-Prephenate dehydratase],[evalue=0.00000E+00]
[locus_tag=PMM1505],[protein_id=CAE19964.1],[gene=None],[protein=None],[locus_tag=PMM1505],[protein_id=CAE19964.1],[gene=None],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM1506],[protein_id=CAE19965.1],[gene=None],[protein=None],[locus_tag=PMM1506],[protein_id=CAE19965.1],[gene=None],[protein=None],[evalue=1.51524E-165]
[locus_tag=PMM1507],[protein_id=CAE19966.1],[gene=None],[protein=30S ribosomal protein S10],[locus_tag=PMM1507],[protein_id=CAE19966.1],[gene=None],[protein=30S ribosomal protein S10],[evalue=4.35585E-75]
[locus_tag=PMM1508],[protein_id=CAE19967.1],[gene=tufA],[protein=Elongation factor Tu],[locus_tag=PMM1508],[protein_id=CAE19967.1],[gene=tufA],[protein=Elongation factor Tu],[evalue=0.00000E+00],[locus_tag=PMM0762],[protein_id=CAE19221.1],[gene=None],[protein=tyrosine binding protein],[evalue=6.30213E-19],[locus_tag=PMM0420],[protein_id=CAE18879.1],[gene=lepA],[protein=GTP-binding protein LepA],[evalue=6.88251E-16]
[locus_tag=PMM1509],[protein_id=CAE19968.1],[gene=fusA],[protein=Elongation factor G],[locus_tag=PMM1509],[protein_id=CAE19968.1],[gene=fusA],[protein=Elongation factor G],[evalue=0.00000E+00],[locus_tag=PMM0663],[protein_id=CAE19122.1],[gene=prfC],[protein=peptide-chain-release factor RF-3],[evalue=8.24075E-50],[locus_tag=PMM0762],[protein_id=CAE19221.1],[gene=None],[protein=tyrosine binding protein],[evalue=5.00976E-33]
[locus_tag=PMM1510],[protein_id=CAE19969.1],[gene=None],[protein=30S ribosomal protein S7],[locus_tag=PMM1510],[protein_id=CAE19969.1],[gene=None],[protein=30S ribosomal protein S7],[evalue=3.28217E-116]
[locus_tag=PMM1511],[protein_id=CAE19970.1],[gene=None],[protein=30S ribosomal protein S12],[locus_tag=PMM1511],[protein_id=CAE19970.1],[gene=None],[protein=30S ribosomal protein S12],[evalue=5.10500E-90]
[locus_tag=PMM1512],[protein_id=CAE19971.1],[gene=None],"[protein=Ferredoxin-dependent glutamate synthase, Fd-GOGAT]",[locus_tag=PMM1512],[protein_id=CAE19971.1],[gene=None],"[protein=Ferredoxin-dependent glutamate synthase, Fd-GOGAT]",[evalue=0.00000E+00]
[locus_tag=PMM1513],[protein_id=CAE19972.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1513],[protein_id=CAE19972.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.45780E-63]
[locus_tag=PMM1514],[protein_id=CAE19973.1],[gene=lipA],[protein=lipoic acid synthetase],[locus_tag=PMM1514],[protein_id=CAE19973.1],[gene=lipA],[protein=lipoic acid synthetase],[evalue=0.00000E+00],[locus_tag=PMM1096],[protein_id=CAE19555.1],[gene=None],[protein=Lipoate synthase],[evalue=4.69938E-79]
[locus_tag=PMM1515],[protein_id=CAE19974.1],[gene=None],[protein=Site-specific recombinase],[locus_tag=PMM1515],[protein_id=CAE19974.1],[gene=None],[protein=Site-specific recombinase],[evalue=8.86393E-167]
[locus_tag=PMM1516],[protein_id=CAE19975.1],[gene=None],[protein=hypothetical],[locus_tag=PMM1516],[protein_id=CAE19975.1],[gene=None],[protein=hypothetical],[evalue=8.40991E-50]
[locus_tag=PMM1517],[protein_id=CAE19976.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1517],[protein_id=CAE19976.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1518],[protein_id=CAE19977.1],[gene=None],[protein=conserved hypothetical proein],[locus_tag=PMM1518],[protein_id=CAE19977.1],[gene=None],[protein=conserved hypothetical proein],[evalue=0.00000E+00]
[locus_tag=PMM1519],[protein_id=CAE19978.1],[gene=psaL],[protein=None],[locus_tag=PMM1519],[protein_id=CAE19978.1],[gene=psaL],[protein=None],[evalue=3.43397E-148]
[locus_tag=PMM1520],[protein_id=CAE19979.1],[gene=psaI],[protein=None],[locus_tag=PMM1520],[protein_id=CAE19979.1],[gene=psaI],[protein=None],[evalue=1.41252E-20]
[locus_tag=PMM1521],[protein_id=CAE19980.1],[gene=None],[protein=possible Annexin],[locus_tag=PMM1521],[protein_id=CAE19980.1],[gene=None],[protein=possible Annexin],[evalue=2.24221E-87]
[locus_tag=PMM1522],[protein_id=CAE19981.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[locus_tag=PMM1522],[protein_id=CAE19981.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=0.00000E+00],[locus_tag=PMM1200],[protein_id=CAE19659.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=1.49771E-11]
[locus_tag=PMM1523],[protein_id=CAE19982.1],[gene=psaB],[protein=Photosystem I PsaB protein],[locus_tag=PMM1523],[protein_id=CAE19982.1],[gene=psaB],[protein=Photosystem I PsaB protein],[evalue=0.00000E+00],[locus_tag=PMM1524],[protein_id=CAE19983.1],[gene=psaA],[protein=Photosystem I PsaA protein],[evalue=3.26524E-172]
[locus_tag=PMM1524],[protein_id=CAE19983.1],[gene=psaA],[protein=Photosystem I PsaA protein],[locus_tag=PMM1524],[protein_id=CAE19983.1],[gene=psaA],[protein=Photosystem I PsaA protein],[evalue=0.00000E+00],[locus_tag=PMM1523],[protein_id=CAE19982.1],[gene=psaB],[protein=Photosystem I PsaB protein],[evalue=3.37526E-172]
[locus_tag=PMM1525],[protein_id=CAE19984.1],[gene=None],[protein=bifunctional cbiH protien and PRECORRIN-3B C17-METHYLTRANSFERASE],[locus_tag=PMM1525],[protein_id=CAE19984.1],[gene=None],[protein=bifunctional cbiH protien and PRECORRIN-3B C17-METHYLTRANSFERASE],[evalue=0.00000E+00]
[locus_tag=PMM1526],[protein_id=CAE19985.1],[gene=hisB],[protein=putative imidazoleglycerol-phosphate dehydratase],[locus_tag=PMM1526],[protein_id=CAE19985.1],[gene=hisB],[protein=putative imidazoleglycerol-phosphate dehydratase],[evalue=0.00000E+00]
[locus_tag=PMM1527],[protein_id=CAE19986.1],[gene=alr],[protein=putative Alanine racemase],[locus_tag=PMM1527],[protein_id=CAE19986.1],[gene=alr],[protein=putative Alanine racemase],[evalue=0.00000E+00]
[locus_tag=PMM1528],[protein_id=CAE19987.1],[gene=None],[protein=HNH endonuclease family protein],[locus_tag=PMM1528],[protein_id=CAE19987.1],[gene=None],[protein=HNH endonuclease family protein],[evalue=5.07193E-128]
[locus_tag=PMM1529],[protein_id=CAE19988.1],[gene=None],[protein=peptide chain release factor RF-1],[locus_tag=PMM1529],[protein_id=CAE19988.1],[gene=None],[protein=peptide chain release factor RF-1],[evalue=0.00000E+00],[locus_tag=PMM0180],[protein_id=CAE18639.1],[gene=prfB],[protein=peptide chain release factor RF-2],[evalue=3.09801E-42]
[locus_tag=PMM1530],[protein_id=CAE19989.1],[gene=None],[protein=50S ribosomal protein L31],[locus_tag=PMM1530],[protein_id=CAE19989.1],[gene=None],[protein=50S ribosomal protein L31],[evalue=1.91166E-62]
[locus_tag=PMM1531],[protein_id=CAE19990.1],[gene=None],[protein=30S ribosomal protein S9],[locus_tag=PMM1531],[protein_id=CAE19990.1],[gene=None],[protein=30S ribosomal protein S9],[evalue=1.09699E-99]
[locus_tag=PMM1532],[protein_id=CAE19991.1],[gene=None],[protein=50S ribosomal protein L13],[locus_tag=PMM1532],[protein_id=CAE19991.1],[gene=None],[protein=50S ribosomal protein L13],[evalue=1.45000E-106]
[locus_tag=PMM1533],[protein_id=CAE19992.1],[gene=truA],[protein=tRNA pseudouridine synthase A],[locus_tag=PMM1533],[protein_id=CAE19992.1],[gene=truA],[protein=tRNA pseudouridine synthase A],[evalue=0.00000E+00]
[locus_tag=PMM1534],[protein_id=CAE19993.1],[gene=None],[protein=50S ribosomal protein L17],[locus_tag=PMM1534],[protein_id=CAE19993.1],[gene=None],[protein=50S ribosomal protein L17],[evalue=9.13357E-82]
[locus_tag=PMM1535],[protein_id=CAE19994.1],[gene=rpoA],"[protein=Bacterial RNA polymerase, alpha chain]",[locus_tag=PMM1535],[protein_id=CAE19994.1],[gene=rpoA],"[protein=Bacterial RNA polymerase, alpha chain]",[evalue=0.00000E+00]
[locus_tag=PMM1536],[protein_id=CAE19995.1],[gene=None],[protein=30S ribosomal protein S11],[locus_tag=PMM1536],[protein_id=CAE19995.1],[gene=None],[protein=30S ribosomal protein S11],[evalue=7.92705E-94]
[locus_tag=PMM1537],[protein_id=CAE19996.1],[gene=None],[protein=30S ribosomal protein S13],[locus_tag=PMM1537],[protein_id=CAE19996.1],[gene=None],[protein=30S ribosomal protein S13],[evalue=5.05276E-85]
[locus_tag=PMM1538],[protein_id=CAE19997.1],[gene=None],[protein=50S Ribosomal protein L36],[locus_tag=PMM1538],[protein_id=CAE19997.1],[gene=None],[protein=50S Ribosomal protein L36],[evalue=7.94598E-23]
[locus_tag=PMM1539],[protein_id=CAE19998.1],[gene=adk],[protein=Adenylate kinase],[locus_tag=PMM1539],[protein_id=CAE19998.1],[gene=adk],[protein=Adenylate kinase],[evalue=3.00574E-133]
[locus_tag=PMM1540],[protein_id=CAE19999.1],[gene=secY],[protein=preprotein translocase SecY subunit],[locus_tag=PMM1540],[protein_id=CAE19999.1],[gene=secY],[protein=preprotein translocase SecY subunit],[evalue=0.00000E+00]
