[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=3.72400E-142]
[locus_tag=Syncc8109_2129],[protein_id=AHF64466.1],[gene=fumC],[protein=fumarate hydratase],[locus_tag=PMM1466],[protein_id=CAE19925.1],[gene=fumC],[protein=Fumarate lyase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2135],[protein_id=AHF64470.1],[gene=bioF],[protein=8-amino-7-oxononanoate synthase],[locus_tag=PMM1468],[protein_id=CAE19927.1],[gene=bioF],[protein=putative 8-amino-7-oxononanoate synthase],[evalue=4.63298E-126]
[locus_tag=Syncc8109_2136],[protein_id=AHF64471.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1469],[protein_id=CAE19928.1],[gene=None],[protein=conserved hypothetical],[evalue=1.24781E-27]
[locus_tag=Syncc8109_2137],[protein_id=AHF64472.1],[gene=bioC],[protein=biotin biosynthesis],[locus_tag=PMM1470],[protein_id=CAE19929.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.25841E-42]
[locus_tag=Syncc8109_2138],[protein_id=AHF64473.1],[gene=bioD],[protein=dethiobiotin synthase],[locus_tag=PMM1471],[protein_id=CAE19930.1],[gene=BioD],[protein=putative Dethiobiotin synthase],[evalue=1.52665E-84]
[locus_tag=Syncc8109_2141],[protein_id=AHF64476.1],[gene=bioA],[protein=putative diaminopelargonic acid synthase],[locus_tag=PMM1472],[protein_id=CAE19931.1],[gene=BioA],[protein=putative diaminopelargonic acid synthase],[evalue=0.00000E+00],[locus_tag=PMM1301],[protein_id=CAE19760.1],[gene=argD],[protein=N-acetylornithine aminotransferase],[evalue=1.32166E-25],[locus_tag=PMM0483],[protein_id=CAE18942.1],"[gene=hemL, gsa]","[protein=glutamate-1-semialdehyde 2,1-aminomutase]",[evalue=2.04018E-18]
[locus_tag=Syncc8109_2142],[protein_id=AHF64477.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1473],[protein_id=CAE19932.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.59960E-23]
[locus_tag=Syncc8109_2143],[protein_id=AHF64478.1],[gene=dnaJ],[protein=Heat shock protein DnaJ-like protein],[locus_tag=PMM1474],[protein_id=CAE19933.1],[gene=None],[protein=DnaJ-like protein],[evalue=4.32006E-12]
[locus_tag=Syncc8109_2144],[protein_id=AHF64479.1],[gene=gidB],[protein=methyltransferase GidB],[locus_tag=PMM1475],[protein_id=CAE19934.1],[gene=gidB],[protein=putative glucose inhibited division protein B],[evalue=1.52677E-65]
[locus_tag=Syncc8109_2145],[protein_id=AHF64480.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1476],[protein_id=CAE19935.1],[gene=None],[protein=Aldo/keto reductase family],[evalue=2.14330E-160],[locus_tag=PMM0441],[protein_id=CAE18900.1],[gene=None],[protein=Aldo/keto reductase family],[evalue=6.00986E-48]
[locus_tag=Syncc8109_2146],[protein_id=AHF64481.1],[gene=None],[protein=putative 3Fe-4S ferredoxin],[locus_tag=PMM1477],[protein_id=CAE19936.1],[gene=None],[protein=conserved hypothetical],[evalue=6.28878E-39]
[locus_tag=Syncc8109_2147],[protein_id=AHF64482.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1478],[protein_id=CAE19937.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.32441E-53]
[locus_tag=Syncc8109_2148],[protein_id=AHF64483.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1479],[protein_id=CAE19938.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.31372E-18]
[locus_tag=Syncc8109_2150],[protein_id=AHF64485.1],[gene=None],[protein=PBS lyase HEAT-like repeat protein],[locus_tag=PMM1480],[protein_id=CAE19939.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.33271E-80]
[locus_tag=Syncc8109_2151],[protein_id=AHF64486.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM2018],[protein_id=CAP16523.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.20727E-14]
[locus_tag=Syncc8109_2153],[protein_id=AHF64488.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1481],[protein_id=CAE19940.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.47436E-132]
[locus_tag=Syncc8109_2154],[protein_id=AHF64489.1],[gene=hli3],[protein=Hli3],[locus_tag=PMM1482],[protein_id=CAE19941.1],[gene=hli3],[protein=possible high light inducible protein],[evalue=1.03793E-20],[locus_tag=PMM0064],[protein_id=CAE18523.1],[gene=hli2],[protein=possible high light inducible protein],[evalue=1.73464E-06]
[locus_tag=Syncc8109_2155],[protein_id=AHF64490.1],[gene=rpoC2],[protein=DNA-directed RNA polymerase],[locus_tag=PMM1483],[protein_id=CAE19942.1],[gene=rpoC2],[protein=RNA polymerase beta prime subunit],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2156],[protein_id=AHF64491.1],[gene=rpoC1],[protein=DNA-directed RNA polymerase],[locus_tag=PMM1484],[protein_id=CAE19943.1],[gene=rpoC1],[protein=RNA polymerase gamma subunit],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2157],[protein_id=AHF64492.1],[gene=rpoB],"[protein=DNA-directed RNA polymerase, beta subunit]",[locus_tag=PMM1485],[protein_id=CAE19944.1],[gene=rpoB],[protein=RNA polymerase beta subunit],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2158],[protein_id=AHF64493.1],[gene=tatD],[protein=TatD-related deoxyribonuclease],[locus_tag=PMM1486],[protein_id=CAE19945.1],[gene=None],"[protein=possible deoxyribonuclease, TatD family]",[evalue=1.02082E-113]
[locus_tag=Syncc8109_2159],[protein_id=AHF64494.1],[gene=rpsT],[protein=ribosomal protein S20],[locus_tag=PMM1487],[protein_id=CAE19946.1],"[gene=rpsT,rps20]",[protein=30s Ribosomal protein S20],[evalue=1.22077E-33]
[locus_tag=Syncc8109_2160],[protein_id=AHF64495.1],[gene=hisD],[protein=histidinol dehydrogenase],[locus_tag=PMM1488],[protein_id=CAE19947.1],[gene=hisD],[protein=Histidinol dehydrogenase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2161],[protein_id=AHF64496.1],[gene=rpiA],[protein=ribose 5-phosphate isomerase],[locus_tag=PMM1489],[protein_id=CAE19948.1],"[gene=rpiA, cbbI]",[protein=Ribose 5-phosphate isomerase],[evalue=3.57557E-106]
[locus_tag=Syncc8109_2162],[protein_id=AHF64497.1],[gene=degP],[protein=PDZ/DHR/GLGF protein],[locus_tag=PMM1490],[protein_id=CAE19949.1],[gene=None],[protein=Serine protease],[evalue=2.74173E-168],[locus_tag=PMM0090],[protein_id=CAE18549.1],[gene=None],[protein=possible serine protease],[evalue=1.96200E-98],[locus_tag=PMM1425],[protein_id=CAE19884.1],[gene=None],"[protein=Serine proteases, trypsin family:HtrA/DegQ protease family]",[evalue=1.30714E-33]
[locus_tag=Syncc8109_2165],[protein_id=AHF64498.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1491],[protein_id=CAE19950.1],[gene=None],[protein=DUF150],[evalue=2.63391E-28]
[locus_tag=Syncc8109_2166],[protein_id=AHF64499.1],[gene=nusA],[protein=NusA antitermination factor],[locus_tag=PMM1492],[protein_id=CAE19951.1],[gene=nusA],[protein=N utilization substance protein A],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2167],[protein_id=AHF64500.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1493],[protein_id=CAE19952.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.46168E-17]
[locus_tag=Syncc8109_2168],[protein_id=AHF64501.1],[gene=infB],[protein=translation initiation factor IF-2],[locus_tag=PMM1494],[protein_id=CAE19953.1],[gene=infB],[protein=Translation initiation factor IF-2],[evalue=0.00000E+00],[locus_tag=PMM0420],[protein_id=CAE18879.1],[gene=lepA],[protein=GTP-binding protein LepA],[evalue=1.65152E-15],[locus_tag=PMM1508],[protein_id=CAE19967.1],[gene=tufA],[protein=Elongation factor Tu],[evalue=1.65616E-12]
[locus_tag=Syncc8109_2173],[protein_id=AHF64503.1],[gene=None],[protein=Band 7 protein],[locus_tag=PMM0482],[protein_id=CAE18941.1],[gene=phb],[protein=Band 7 protein],[evalue=3.81050E-112]
[locus_tag=Syncc8109_2174],[protein_id=AHF64504.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1320],[protein_id=CAE19779.1],[gene=None],[protein=hypothetical],[evalue=4.82926E-07]
[locus_tag=Syncc8109_2178],[protein_id=AHF64508.1],[gene=None],[protein=glutamyl-tRNA synthetase-like protein],[locus_tag=PMM0473],[protein_id=CAE18932.1],[gene=gltX],[protein=Glutamyl-tRNA synthetase],[evalue=7.24366E-33]
[locus_tag=Syncc8109_2179],[protein_id=AHF64509.1],[gene=hup],[protein=DNA binding protein HU],[locus_tag=PMM1321],[protein_id=CAE19780.1],[gene=None],[protein=Bacterial histone-like DNA-binding protein],[evalue=1.49885E-59]
[locus_tag=Syncc8109_2181],[protein_id=AHF64511.1],[gene=treX],"[protein=Alpha amylase, catalytic subdomain protein]",[locus_tag=PMM1322],[protein_id=CAE19781.1],[gene=glgX],[protein=Putative isoamylase],[evalue=0.00000E+00],[locus_tag=PMM0584],[protein_id=CAE19043.1],[gene=glgB],"[protein=1,4-alpha-glucan branching enzyme]",[evalue=3.30539E-13]
[locus_tag=Syncc8109_2183],[protein_id=AHF64512.1],[gene=None],[protein=putative GPH family sugar transporter],[locus_tag=PMM1323],[protein_id=CAE19782.1],[gene=None],[protein=putative GPH family sugar transporter],[evalue=3.61363E-178]
[locus_tag=Syncc8109_2184],[protein_id=AHF64513.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1324],[protein_id=CAE19783.1],[gene=None],"[protein=possible transporter, membrane component]",[evalue=5.02872E-121]
[locus_tag=Syncc8109_2185],[protein_id=AHF64514.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1325],[protein_id=CAE19784.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.54636E-34]
[locus_tag=Syncc8109_2186],[protein_id=AHF64515.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1326],[protein_id=CAE19785.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.36834E-122]
[locus_tag=Syncc8109_2187],[protein_id=AHF64516.1],[gene=None],[protein=putative membrane protein],[locus_tag=PMM1327],[protein_id=CAE19786.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.18611E-73]
[locus_tag=Syncc8109_2188],[protein_id=AHF64517.1],[gene=pyrF],[protein=Orotidine 5'-phosphate decarboxylase],[locus_tag=PMM1328],[protein_id=CAE19787.1],[gene=pyrF],[protein=orotidine 5'-phosphate decarboxylase],[evalue=5.48865E-77]
[locus_tag=Syncc8109_2189],[protein_id=AHF64518.1],[gene=tyrS],[protein=tyrosyl-tRNA synthetase],[locus_tag=PMM1329],[protein_id=CAE19788.1],[gene=tyrS],[protein=Tyrosyl-tRNA synthetase],[evalue=9.27986E-164]
[locus_tag=Syncc8109_2191],[protein_id=AHF64520.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1330],[protein_id=CAE19789.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.88892E-57]
[locus_tag=Syncc8109_2194],[protein_id=AHF64523.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1331],[protein_id=CAE19790.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.49773E-51]
[locus_tag=Syncc8109_2195],[protein_id=AHF64524.1],[gene=None],[protein=Leucyl aminopeptidase],[locus_tag=PMM1332],[protein_id=CAE19791.1],[gene=None],[protein=Cytosol aminopeptidase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2200],[protein_id=AHF64529.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1846],[protein_id=CAP16350.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=6.04457E-07]
[locus_tag=Syncc8109_2201],[protein_id=AHF64530.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0334],[protein_id=CAE18793.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.54304E-15]
[locus_tag=Syncc8109_2203],[protein_id=AHF64532.1],[gene=msrA],[protein=peptide methionine sulfoxide reductase],[locus_tag=PMM1333],[protein_id=CAE19792.1],[gene=None],[protein=Peptide methionine sulfoxide reductase],[evalue=4.02365E-76],[locus_tag=PMM0955],[protein_id=CAE19414.1],[gene=msrA],[protein=Peptide methionine sulfoxide reductase],[evalue=6.95806E-26]
[locus_tag=Syncc8109_2204],[protein_id=AHF64533.1],[gene=lpxB],[protein=lipid-A-disaccharide synthase],[locus_tag=PMM1334],[protein_id=CAE19793.1],[gene=lpxB],[protein=Lipid-A-disaccharide synthetase],[evalue=2.63923E-135]
[locus_tag=Syncc8109_2205],[protein_id=AHF64534.1],[gene=lpxA],[protein=acyl-(acyl-carrier-protein)--UDP-N- acetylglucosamine O-acyltransferase],[locus_tag=PMM1335],[protein_id=CAE19794.1],[gene=lpxA],[protein=UDP-N-acetylglucosamine acyltransferase],[evalue=9.41983E-126],[locus_tag=PMM0787],[protein_id=CAE19246.1],[gene=lpxD],[protein=UDP-3-O-[3-hydroxymyristoyl],[evalue=1.73072E-10]
[locus_tag=Syncc8109_2206],[protein_id=AHF64535.1],[gene=fabZ],[protein=beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ],[locus_tag=PMM1336],[protein_id=CAE19795.1],[gene=None],[protein=Putative (3R)-hydroxymyristoyl-[acyl carrier protein],[evalue=1.36370E-86]
[locus_tag=Syncc8109_2207],[protein_id=AHF64536.1],[gene=lpxC],[protein=UDP-3-0-acyl N-acetylglucosamine deacetylase],[locus_tag=PMM1337],[protein_id=CAE19796.1],[gene=lpxC],[protein=UDP-3-0-acyl N-acetylglucosamine deacetylase],[evalue=2.64380E-102]
[locus_tag=Syncc8109_2208],[protein_id=AHF64537.1],[gene=None],[protein=outer envelope membrane protein-like protein],[locus_tag=PMM1338],[protein_id=CAE19797.1],[gene=None],[protein=chloroplast outer envelope membrane protein homolog],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2209],[protein_id=AHF64538.1],[gene=purC],[protein=phosphoribosylaminoimidazole-succinocarboxamide synthase],[locus_tag=PMM1339],[protein_id=CAE19798.1],[gene=purC],[protein=SAICAR synthetase],[evalue=5.78277E-94]
[locus_tag=Syncc8109_2211],[protein_id=AHF64540.1],[gene=purD],[protein=phosphoribosylamine--glycine ligase],[locus_tag=PMM1340],[protein_id=CAE19799.1],[gene=purD],[protein=phosphoribosylglycinamide synthetase],[evalue=2.13841E-158],[locus_tag=PMM0060],[protein_id=CAE18519.1],"[gene=accC, fabG]","[protein=acetyl-CoA carboxylase, biotin carboxylase subunit]",[evalue=9.38745E-06]
[locus_tag=Syncc8109_2212],[protein_id=AHF64541.1],[gene=nblS],[protein=multi-sensor signal transduction histidine kinase],[locus_tag=PMM1341],[protein_id=CAE19800.1],[gene=nblS],[protein=two-component sensor histidine kinase],[evalue=0.00000E+00],[locus_tag=PMM1077],[protein_id=CAE19536.1],[gene=None],[protein=two-component sensor histidine kinase],[evalue=6.29467E-17],[locus_tag=PMM0706],[protein_id=CAE19165.1],[gene=phoR],"[protein=two-component sensor histidine kinase, phosphate sensing]",[evalue=1.10730E-13]
[locus_tag=Syncc8109_2213],[protein_id=AHF64542.1],[gene=kaiC],[protein=putative circadian clock protein KaiC],[locus_tag=PMM1342],[protein_id=CAE19801.1],[gene=kaiC],[protein=possible circadian clock protein KaiC],[evalue=0.00000E+00],[locus_tag=PMM0133],[protein_id=CAE18592.1],[gene=radA],[protein=putative DNA repair protein RadA],[evalue=4.42557E-06]
[locus_tag=Syncc8109_2214],[protein_id=AHF64543.1],[gene=kaiB],[protein=circadian clock protein KaiB],[locus_tag=PMM1343],[protein_id=CAE19802.1],[gene=kaiB],[protein=possible circadian oscillation regulator KaiB],[evalue=6.28739E-60]
[locus_tag=Syncc8109_2217],[protein_id=AHF64544.1],[gene=rpl21],[protein=ribosomal protein L21],[locus_tag=PMM1344],[protein_id=CAE19803.1],"[gene=rpl21, rplU]",[protein=50S ribosomal protein L21],[evalue=4.91701E-47]
[locus_tag=Syncc8109_2218],[protein_id=AHF64545.1],[gene=rpl27],[protein=ribosomal protein L27],[locus_tag=PMM1345],[protein_id=CAE19804.1],"[gene=rpl27, rpmA]",[protein=50S ribosomal protein L27],[evalue=1.13659E-48]
[locus_tag=Syncc8109_2219],[protein_id=AHF64546.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1346],[protein_id=CAE19805.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.56161E-84]
[locus_tag=Syncc8109_2220],[protein_id=AHF64547.1],[gene=truB],[protein=tRNA pseudouridine synthase B],[locus_tag=PMM1347],[protein_id=CAE19806.1],[gene=truB],[protein=Putative tRNA pseudouridine 55 synthase],[evalue=1.39994E-85]
[locus_tag=Syncc8109_2224],[protein_id=AHF64551.1],[gene=nagB],[protein=Glucosamine-6-phosphate deaminase],[locus_tag=PMM0771],[protein_id=CAE19230.1],[gene=None],"[protein=Putative 6-phosphogluconolactonase (DevB, Pgl)]",[evalue=2.82762E-08]
[locus_tag=Syncc8109_2225],[protein_id=AHF64552.1],[gene=None],[protein=stage II sporulation protein D-like protein],[locus_tag=PMM1348],[protein_id=CAE19807.1],[gene=spoIID],[protein=possible sporulation protein SpoIID],[evalue=3.66917E-99],[locus_tag=PMM1660],[protein_id=CAE20119.1],[gene=None],[protein=possible amidase enhancer],[evalue=5.52062E-19]
[locus_tag=Syncc8109_2226],[protein_id=AHF64553.1],[gene=None],[protein=Ribonuclease Z],[locus_tag=PMM1349],[protein_id=CAE19808.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.09788E-137]
[locus_tag=Syncc8109_2228],[protein_id=AHF64555.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1351],[protein_id=CAE19810.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.55153E-56]
[locus_tag=Syncc8109_2229],[protein_id=AHF64556.1],[gene=petF],[protein=Ferredoxin],[locus_tag=PMM1352],[protein_id=CAE19811.1],[gene=petF],[protein=ferredoxin],[evalue=3.05702E-66],[locus_tag=PMM1449],[protein_id=CAE19908.1],[gene=petF],[protein=ferredoxin],[evalue=5.95452E-21],[locus_tag=PMM0898],[protein_id=CAE19357.1],[gene=petF],"[protein=ferredoxin, petF-like protein]",[evalue=1.83945E-18]
[locus_tag=Syncc8109_2230],[protein_id=AHF64557.1],[gene=prmA],[protein=ribosomal protein L11 methyltransferase],[locus_tag=PMM1353],[protein_id=CAE19812.1],[gene=prmA],[protein=putative methyltransferase for Ribosomal protein L11],[evalue=1.24466E-73]
[locus_tag=Syncc8109_2231],[protein_id=AHF64558.1],[gene=serA],[protein=D-3-phosphoglycerate dehydrogenase],[locus_tag=PMM1354],[protein_id=CAE19813.1],[gene=serA],[protein=putative D-3-phosphoglycerate dehydrogenase (PGDH)],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2232],[protein_id=AHF64559.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1355],[protein_id=CAE19814.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.19726E-29]
[locus_tag=Syncc8109_2233],[protein_id=AHF64560.1],[gene=None],[protein=RNA-binding S4],[locus_tag=PMM1356],[protein_id=CAE19815.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.83368E-69]
[locus_tag=Syncc8109_2236],[protein_id=AHF64562.1],[gene=murD],[protein=UDP-N-acetylmuramoylalanine--D-glutamate ligase],[locus_tag=PMM1364],[protein_id=CAE19823.1],[gene=murD],[protein=UDP-N-acetylmuramoylalanine--D-glutamate ligase],[evalue=7.07955E-136],[locus_tag=PMM0413],[protein_id=CAE18872.1],[gene=murE],[protein=UDP-N-acetylmuramyl-tripeptide synthetase],[evalue=1.58926E-17]
[locus_tag=Syncc8109_2237],[protein_id=AHF64563.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1428],[protein_id=CAE19887.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.04796E-72]
[locus_tag=Syncc8109_2239],[protein_id=AHF64565.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1430],[protein_id=CAE19889.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.75091E-21]
[locus_tag=Syncc8109_2240],[protein_id=AHF64566.1],[gene=None],[protein=putative DNA-directed RNA polymerase (omega chain)],[locus_tag=PMM1431],[protein_id=CAE19890.1],[gene=rpoZ],[protein=putative DNA-directed RNA polymerase (omega chain)],[evalue=6.92337E-44]
[locus_tag=Syncc8109_2242],[protein_id=AHF64568.1],[gene=dnaK],[protein=putative DnaK-type molecular chaperone (HSP70 family)],[locus_tag=PMM1432],[protein_id=CAE19891.1],[gene=None],[protein=putative DnaK-type molecular chaperone (HSP70 family)],[evalue=5.82998E-127],[locus_tag=PMM1704],[protein_id=CAE20163.1],[gene=dnaK2],"[protein=Molecular chaperone DnaK2, heat shock protein hsp70-2]",[evalue=1.80059E-13],[locus_tag=PMM0897],[protein_id=CAE19356.1],[gene=dnaK],"[protein=Molecular chaperone DnaK, heat shock protein hsp70]",[evalue=2.37984E-11]
[locus_tag=Syncc8109_2245],[protein_id=AHF64571.1],[gene=pyrR],[protein=putative pyrimidine operon regulatory protein PyrR/uracil phosphoribosyltransferase],[locus_tag=PMM1433],[protein_id=CAE19892.1],[gene=None],[protein=Phosphoribosyl transferase],[evalue=1.10282E-72]
[locus_tag=Syncc8109_2246],[protein_id=AHF64572.1],[gene=pgmI],"[protein=phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent]",[locus_tag=PMM1434],[protein_id=CAE19893.1],[gene=pgmI],"[protein=Phosphoglycerate mutase, co-factor-independent (iPGM)]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_2247],[protein_id=AHF64573.1],[gene=None],"[protein=preprotein translocase, SecG subunit]",[locus_tag=PMM1435],[protein_id=CAE19894.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.00115E-29]
[locus_tag=Syncc8109_2250],[protein_id=AHF64576.1],[gene=groEL],[protein=chaperonin GroEL],[locus_tag=PMM1436],[protein_id=CAE19895.1],[gene=groEL],[protein=GroEL protein (Chaperonin cpn60)],[evalue=0.00000E+00],[locus_tag=PMM0452],[protein_id=CAE18911.1],"[gene=groEL2,cpn60-2]",[protein=GroEL2 protein (Chaperonin cpn60 2)],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2251],[protein_id=AHF64577.1],[gene=groES],[protein=GroES],[locus_tag=PMM1437],[protein_id=CAE19896.1],[gene=groES],[protein=GroES protein (Chaperonin cpn10)],[evalue=6.96730E-64]
[locus_tag=Syncc8109_2252],[protein_id=AHF64578.1],[gene=atpD],"[protein=ATP synthase F1, beta subunit]",[locus_tag=PMM1438],[protein_id=CAE19897.1],[gene=atpB],[protein=H+-transporting ATP synthase beta subunit],[evalue=0.00000E+00],[locus_tag=PMM1451],[protein_id=CAE19910.1],[gene=atpA],[protein=H+-transporting ATP synthase alpha-subunit],[evalue=1.38171E-23]
[locus_tag=Syncc8109_2253],[protein_id=AHF64579.1],[gene=atpE],"[protein=ATP synthase F1, epsilon subunit]",[locus_tag=PMM1439],[protein_id=CAE19898.1],"[gene=atpC,atpE]","[protein=ATP synthase, Epsilon subunit]",[evalue=1.03807E-56]
[locus_tag=Syncc8109_2255],[protein_id=AHF64581.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1440],[protein_id=CAE19899.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.71951E-76]
[locus_tag=Syncc8109_2256],[protein_id=AHF64582.1],[gene=gph],[protein=putative HAD superfamily phosphatase],[locus_tag=PMM1526],[protein_id=CAE19985.1],[gene=hisB],[protein=putative imidazoleglycerol-phosphate dehydratase],[evalue=2.20220E-94]
[locus_tag=Syncc8109_2257],[protein_id=AHF64583.1],[gene=pepP],[protein=putative aminopeptidase P],[locus_tag=PMM1442],[protein_id=CAE19901.1],[gene=pepP],[protein=putative aminopeptidase P],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2258],[protein_id=AHF64584.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1443],[protein_id=CAE19902.1],[gene=None],[protein=Domain of unknown function DUF21],[evalue=7.15920E-125],[locus_tag=PMM0274],[protein_id=CAE18733.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.65542E-06]
[locus_tag=Syncc8109_2259],[protein_id=AHF64585.1],[gene=None],[protein=Small GTP-binding protein domain protein],[locus_tag=PMM1444],[protein_id=CAE19903.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.13331E-80],[locus_tag=PMM0916],[protein_id=CAE19375.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.69936E-23]
[locus_tag=Syncc8109_2260],[protein_id=AHF64586.1],[gene=nadD],[protein=putative nicotinate-nucleotide adenylyltransferase],[locus_tag=PMM1445],[protein_id=CAE19904.1],[gene=None],[protein=Putative nicotinate-nucleotide adenylyltransferase],[evalue=3.09969E-43]
[locus_tag=Syncc8109_2261],[protein_id=AHF64587.1],[gene=nadE],[protein=NAD+ synthetase],[locus_tag=PMM1446],[protein_id=CAE19905.1],[gene=None],[protein=Carbon-nitrogen hydrolase:NAD+ synthase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2262],[protein_id=AHF64588.1],[gene=ald],[protein=alanine dehydrogenase],[locus_tag=PMM1147],[protein_id=CAE19606.1],[gene=pntA-1],"[protein=putative nicotinamide nucleotide transhydrogenase, subunit alpha 1 (A1)]",[evalue=1.75585E-28]
[locus_tag=Syncc8109_2264],[protein_id=AHF64590.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1447],[protein_id=CAE19906.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.27308E-130]
[locus_tag=Syncc8109_2265],[protein_id=AHF64591.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1448],[protein_id=CAE19907.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.17154E-07]
[locus_tag=Syncc8109_2266],[protein_id=AHF64592.1],[gene=petF1],[protein=Ferredoxin (2Fe-2S)],[locus_tag=PMM1449],[protein_id=CAE19908.1],[gene=petF],[protein=ferredoxin],[evalue=4.14188E-40],[locus_tag=PMM0898],[protein_id=CAE19357.1],[gene=petF],"[protein=ferredoxin, petF-like protein]",[evalue=4.15170E-22],[locus_tag=PMM1352],[protein_id=CAE19811.1],[gene=petF],[protein=ferredoxin],[evalue=1.07823E-19]
[locus_tag=Syncc8109_2268],[protein_id=AHF64594.1],[gene=atpC],"[protein=ATP synthase F1, gamma subunit]",[locus_tag=PMM1450],[protein_id=CAE19909.1],[gene=atpC],[protein=ATP synthase gamma subunit],[evalue=3.41530E-156]
[locus_tag=Syncc8109_2269],[protein_id=AHF64595.1],[gene=atpA],"[protein=ATP synthase F1, alpha subunit]",[locus_tag=PMM1451],[protein_id=CAE19910.1],[gene=atpA],[protein=H+-transporting ATP synthase alpha-subunit],[evalue=0.00000E+00],[locus_tag=PMM1438],[protein_id=CAE19897.1],[gene=atpB],[protein=H+-transporting ATP synthase beta subunit],[evalue=5.18544E-20]
[locus_tag=Syncc8109_2270],[protein_id=AHF64596.1],[gene=atpD],"[protein=ATP synthase F1, delta subunit]",[locus_tag=PMM1452],[protein_id=CAE19911.1],"[gene=atpH,atpD]","[protein=ATP synthase, delta (OSCP) subunit]",[evalue=2.90563E-63]
