[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_2454],[protein_id=AHF64762.1],[gene=None],[protein=ribosome-binding factor A],[locus_tag=PMT_1963],[protein_id=CAE22137.1],[gene=rbfA],[protein=Ribosome-binding factor A],[evalue=7.15590E-68]
[locus_tag=Syncc8109_2455],[protein_id=AHF64763.1],[gene=None],[protein=putative beta-glucosidase],[locus_tag=PMT_1964],[protein_id=CAE22138.1],[gene=None],[protein=Possible beta-N-acetylglucosaminidase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2456],[protein_id=AHF64764.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1965],[protein_id=CAE22139.1],[gene=None],"[protein=Glycosyl transferase, family 2:TPR repeat]",[evalue=0.00000E+00],[locus_tag=PMT_1811],[protein_id=CAE21986.1],[gene=None],[protein=TPR repeat:HAT (Half-A-TPR) repeat],[evalue=1.16256E-08],[locus_tag=PMT_1811],[protein_id=CAE21986.1],[gene=None],[protein=TPR repeat:HAT (Half-A-TPR) repeat],[evalue=4.41502E-08]
[locus_tag=Syncc8109_2457],[protein_id=AHF64765.1],[gene=hemD],[protein=Uroporphyrinogen-III synthase],[locus_tag=PMT_1966],[protein_id=CAE22140.1],[gene=hemD],[protein=putative uroporphyrinogen III synthase],[evalue=1.62369E-132]
[locus_tag=Syncc8109_2459],[protein_id=AHF64767.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1967],[protein_id=CAE22141.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.33126E-86]
[locus_tag=Syncc8109_2460],[protein_id=AHF64768.1],[gene=crtQ],"[protein=Carotene 7,8-desaturase]",[locus_tag=PMT_1968],[protein_id=CAE22142.1],[gene=crtQ],[protein=zeta-carotene desaturase],[evalue=0.00000E+00],[locus_tag=PMT_2004],[protein_id=CAE22178.1],"[gene=pds,crtD]",[protein=phytoene desaturase],[evalue=1.12079E-84]
[locus_tag=Syncc8109_2461],[protein_id=AHF64769.1],[gene=None],[protein=HesB/YadR/YfhF],[locus_tag=PMT_1969],[protein_id=CAE22143.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.10594E-74]
[locus_tag=Syncc8109_2462],[protein_id=AHF64770.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1970],[protein_id=CAE22144.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.03749E-67]
[locus_tag=Syncc8109_2464],[protein_id=AHF64772.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1971],[protein_id=CAE22145.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.79951E-150],[locus_tag=PMT_1701],[protein_id=CAE21876.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.37856E-33]
[locus_tag=Syncc8109_2465],[protein_id=AHF64773.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1972],[protein_id=CAE22146.1],[gene=None],[protein=conserved hypothetical protein in cyanobacteria],[evalue=2.21460E-20]
[locus_tag=Syncc8109_2466],[protein_id=AHF64774.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1973],[protein_id=CAE22147.1],[gene=None],[protein=putative cell division inhibitor],[evalue=7.85978E-147]
[locus_tag=Syncc8109_2467],[protein_id=AHF64775.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1975],[protein_id=CAE22149.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.23415E-38]
[locus_tag=Syncc8109_2468],[protein_id=AHF64776.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1976],[protein_id=CAE22150.1],[gene=None],[protein=None],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2469],[protein_id=AHF64777.1],[gene=None],[protein=Heat shock protein DnaJ-like protein],[locus_tag=PMT_1977],[protein_id=CAE22151.1],[gene=None],[protein=possible heat shock protein DnaJ],[evalue=2.63756E-103],[locus_tag=PMT_0022],[protein_id=CAE20197.1],[gene=dnaJ],[protein=DnaJ protein],[evalue=3.80033E-07],[locus_tag=PMT_1548],[protein_id=CAE21723.1],[gene=dnaJ3],[protein=DnaJ3 protein],[evalue=2.25332E-06]
[locus_tag=Syncc8109_2470],[protein_id=AHF64778.1],[gene=cysK],[protein=cysteine synthase A],[locus_tag=PMT_1978],[protein_id=CAE22152.1],[gene=cysK2],[protein=O-acetylserine (thiol)-lyase A],[evalue=8.73635E-164],[locus_tag=PMT_0224],[protein_id=CAE20399.1],[gene=cysK1],[protein=O-acetylserine (thiol)-lyase A],[evalue=1.04606E-91],[locus_tag=PMT_2274],[protein_id=CAE22448.1],[gene=thrC],"[protein=Threonine synthase: Pyridoxal-5'-phosphate-dependent enzymes, beta family]",[evalue=1.74328E-08]
[locus_tag=Syncc8109_2471],[protein_id=AHF64779.1],[gene=som],[protein=putative porin],[locus_tag=PMT_0998],[protein_id=CAE21173.1],[gene=som],[protein=possible porin],[evalue=0.00000E+00],[locus_tag=PMT_0284],[protein_id=CAE20459.1],[gene=som],[protein=possible porin],[evalue=3.94898E-146],[locus_tag=PMT_1979],[protein_id=CAE22153.1],[gene=som],[protein=possible porin],[evalue=1.91453E-135]
[locus_tag=Syncc8109_2472],[protein_id=AHF64780.1],[gene=som],[protein=putative porin],[locus_tag=PMT_1979],[protein_id=CAE22153.1],[gene=som],[protein=possible porin],[evalue=9.74211E-142],[locus_tag=PMT_0802],[protein_id=CAE20977.1],[gene=som],[protein=possible porin],[evalue=4.79840E-139],[locus_tag=PMT_0998],[protein_id=CAE21173.1],[gene=som],[protein=possible porin],[evalue=1.42312E-138]
[locus_tag=Syncc8109_2474],[protein_id=AHF64782.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2859],[protein_id=CAX32377.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.77674E-06]
[locus_tag=Syncc8109_2475],[protein_id=AHF64783.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1980],[protein_id=CAE22154.1],[gene=None],[protein=None],[evalue=5.03916E-161]
[locus_tag=Syncc8109_2476],[protein_id=AHF64784.1],[gene=None],[protein=putative glycosyl transferase],[locus_tag=PMT_1959],[protein_id=CAE22133.1],[gene=None],[protein=putative glycosyl transferase],[evalue=2.75374E-148],[locus_tag=PMT_1766],[protein_id=CAE21941.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=6.72412E-11],[locus_tag=PMT_1934],[protein_id=CAE22108.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=2.75568E-06]
[locus_tag=Syncc8109_2477],[protein_id=AHF64785.1],[gene=None],[protein=dolichyl-phosphate-mannose-protein mannosyltransferase],[locus_tag=PMT_1982],[protein_id=CAE22156.1],[gene=None],[protein=Dolichyl-phosphate-mannose-protein mannosyltransferase],[evalue=8.04348E-167]
[locus_tag=Syncc8109_2480],[protein_id=AHF64788.1],[gene=PsbD/D2],[protein=Photosystem II reaction centre protein PsbD/D2],[locus_tag=PMT_1179],[protein_id=CAE21354.1],[gene=psbD],[protein=Photosystem II PsbD protein (D2)],[evalue=1.94343E-97],[locus_tag=PMT_1532],[protein_id=CAE21707.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[evalue=2.90113E-23],[locus_tag=PMT_0419],[protein_id=CAE20594.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[evalue=2.90113E-23]
[locus_tag=Syncc8109_2482],[protein_id=AHF64790.1],[gene=psbD1],[protein=photosystem II D2 protein],[locus_tag=PMT_1179],[protein_id=CAE21354.1],[gene=psbD],[protein=Photosystem II PsbD protein (D2)],[evalue=0.00000E+00],[locus_tag=PMT_1532],[protein_id=CAE21707.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[evalue=5.11561E-47],[locus_tag=PMT_0419],[protein_id=CAE20594.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[evalue=5.11561E-47]
[locus_tag=Syncc8109_2483],[protein_id=AHF64791.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1986],[protein_id=CAE22160.1],[gene=None],[protein=conserved hypothetical protein in cyanobacteria],[evalue=9.45846E-45]
[locus_tag=Syncc8109_2484],[protein_id=AHF64792.1],[gene=None],[protein=ATPase],[locus_tag=PMT_1987],[protein_id=CAE22161.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]",[evalue=7.87968E-95],[locus_tag=PMT_0893],[protein_id=CAE21068.1],[gene=None],"[protein=ABC transporter for amino acids, ATP binding component]",[evalue=1.42677E-21],[locus_tag=PMT_0553],[protein_id=CAE20728.1],[gene=None],"[protein=ABC transporter, ATP binding component, glycine betaine/proline family]",[evalue=9.15152E-19]
[locus_tag=Syncc8109_2487],[protein_id=AHF64794.1],[gene=rpaA],"[protein=two component transcriptional regulator, winged helix family]",[locus_tag=PMT_1988],[protein_id=CAE22162.1],[gene=rpaA],[protein=two-component response regulator],[evalue=1.65141E-172],[locus_tag=PMT_1994],[protein_id=CAE22168.1],[gene=rpaB],[protein=two-component response regulator],[evalue=3.71558E-53],[locus_tag=PMT_0146],[protein_id=CAE20321.1],[gene=None],[protein=two-component response regulator],[evalue=3.45699E-44]
[locus_tag=Syncc8109_2488],[protein_id=AHF64795.1],[gene=holB],"[protein=DNA polymerase III, delta prime subunit]",[locus_tag=PMT_1989],[protein_id=CAE22163.1],[gene=holB],"[protein=DNA polymerase III, delta prime subunit]",[evalue=6.44406E-130],[locus_tag=PMT_0059],[protein_id=CAE20234.1],[gene=dnaX],"[protein=DNA polymerase, gamma and tau subunits]",[evalue=1.41820E-18]
[locus_tag=Syncc8109_2489],[protein_id=AHF64796.1],[gene=None],[protein=Thymidylate kinase],[locus_tag=PMT_1990],[protein_id=CAE22164.1],[gene=None],[protein=Thymidylate kinase],[evalue=2.04696E-97]
[locus_tag=Syncc8109_2490],[protein_id=AHF64797.1],[gene=None],[protein=Heavy metal translocating P-type ATPase],[locus_tag=PMT_1991],[protein_id=CAE22165.1],[gene=None],[protein=putative P-type ATPase transporter for copper],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2491],[protein_id=AHF64798.1],[gene=None],[protein=photosystem I assembly protein Ycf3],[locus_tag=PMT_1992],[protein_id=CAE22166.1],[gene=None],[protein=cyanobacterial conserved hypothetical],[evalue=1.07856E-102]
[locus_tag=Syncc8109_2492],[protein_id=AHF64799.1],[gene=radA],[protein=DNA repair protein RadA],[locus_tag=PMT_1993],[protein_id=CAE22167.1],[gene=radA],[protein=putative DNA repair protein RadA],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2493],[protein_id=AHF64800.1],[gene=rpaB],"[protein=two component transcriptional regulator, winged helix family]",[locus_tag=PMT_1994],[protein_id=CAE22168.1],[gene=rpaB],[protein=two-component response regulator],[evalue=6.44938E-171],[locus_tag=PMT_0146],[protein_id=CAE20321.1],[gene=None],[protein=two-component response regulator],[evalue=1.22758E-89],[locus_tag=PMT_1988],[protein_id=CAE22162.1],[gene=rpaA],[protein=two-component response regulator],[evalue=7.98734E-54]
[locus_tag=Syncc8109_2494],[protein_id=AHF64801.1],[gene=plsX],[protein=fatty acid/phospholipid synthesis protein PlsX],[locus_tag=PMT_1995],[protein_id=CAE22169.1],[gene=plsX],[protein=fatty acid/phospholipid synthesis protein PlsX],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2495],[protein_id=AHF64802.1],[gene=fabH],[protein=3-oxoacyl-[acyl-carrier-protein],[locus_tag=PMT_1996],[protein_id=CAE22170.1],[gene=fabH],[protein=3-oxoacyl-[acyl-carrier-protein],[evalue=4.28088E-176]
[locus_tag=Syncc8109_2496],[protein_id=AHF64803.1],[gene=fabD],[protein=malonyl CoA-acyl carrier protein transacylase],[locus_tag=PMT_1997],[protein_id=CAE22171.1],[gene=fabD],[protein=Malonyl coenzyme A-acyl carrier protein transacylase],[evalue=1.43471E-139]
[locus_tag=Syncc8109_2497],[protein_id=AHF64804.1],[gene=plsC],[protein=1-acyl-sn-glycerol-3-phosphate acyltransferase],[locus_tag=PMT_1998],[protein_id=CAE22172.1],[gene=plsC],[protein=putative 1-acyl-sn-glycerol-3-phosphate acyltransferase],[evalue=1.64951E-115]
[locus_tag=Syncc8109_2498],[protein_id=AHF64805.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2860],[protein_id=CAX32378.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.78102E-79]
[locus_tag=Syncc8109_2499],[protein_id=AHF64806.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1999],[protein_id=CAE22173.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.82207E-67]
[locus_tag=Syncc8109_2500],[protein_id=AHF64807.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2000],[protein_id=CAE22174.1],[gene=ycf34],[protein=putative Ycf34],[evalue=2.71918E-44]
[locus_tag=Syncc8109_2501],[protein_id=AHF64808.1],[gene=None],[protein=poly A polymerase family protein],[locus_tag=PMT_2001],[protein_id=CAE22175.1],[gene=None],[protein=Poly A polymerase family],[evalue=3.76250E-118],[locus_tag=PMT_1910],[protein_id=CAE22085.1],[gene=None],[protein=tRNA nucleotidyltransferase/poly(A) polymerase],[evalue=2.71754E-14]
[locus_tag=Syncc8109_2502],[protein_id=AHF64809.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[locus_tag=PMT_2002],[protein_id=CAE22176.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=1.71337E-67],[locus_tag=PMT_0014],[protein_id=CAE20189.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=1.53166E-11],[locus_tag=PMT_1081],[protein_id=CAE21256.1],[gene=rbpD],[protein=RNA-binding protein RbpD],[evalue=1.50323E-08]
[locus_tag=Syncc8109_2503],[protein_id=AHF64810.1],[gene=crtB],[protein=phytoene synthase],[locus_tag=PMT_2003],[protein_id=CAE22177.1],"[gene=crtB,pys]",[protein=Squalene and phytoene synthases],[evalue=7.66373E-178]
[locus_tag=Syncc8109_2504],[protein_id=AHF64811.1],[gene=crtD],"[protein=Carotene 7,8-desaturase]",[locus_tag=PMT_2004],[protein_id=CAE22178.1],"[gene=pds,crtD]",[protein=phytoene desaturase],[evalue=0.00000E+00],[locus_tag=PMT_1968],[protein_id=CAE22142.1],[gene=crtQ],[protein=zeta-carotene desaturase],[evalue=4.20569E-73],[locus_tag=PMT_0955],[protein_id=CAE21130.1],[gene=None],[protein=similar to zeta-carotene desaturase],[evalue=9.08584E-12]
[locus_tag=Syncc8109_2505],[protein_id=AHF64812.1],[gene=None],[protein=NADH dehydrogenase I subunit M],[locus_tag=PMT_2005],[protein_id=CAE22179.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.92940E-58]
[locus_tag=Syncc8109_2506],[protein_id=AHF64813.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2006],[protein_id=CAE22180.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.83460E-105]
[locus_tag=Syncc8109_2507],[protein_id=AHF64814.1],[gene=rbcR],[protein=putative Rubisco transcriptional regulator],[locus_tag=PMT_2007],[protein_id=CAE22181.1],[gene=rbcR],[protein=putative Rubisco transcriptional regulator],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2508],[protein_id=AHF64815.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2008],[protein_id=CAE22182.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.45583E-140]
[locus_tag=Syncc8109_2509],[protein_id=AHF64816.1],[gene=ndhF2],"[protein=proton-translocating NADH-quinone oxidoreductase, chain L]",[locus_tag=PMT_2009],[protein_id=CAE22183.1],[gene=ndhF],"[protein=NADH-Ubiquinone oxidoreductase (complex I), chain 5]",[evalue=0.00000E+00],[locus_tag=PMT_0848],[protein_id=CAE21023.1],[gene=ndhF],[protein=putative NADH Dehydrogenase (complex I) subunit],[evalue=2.30705E-98],[locus_tag=PMT_1354],[protein_id=CAE21529.1],[gene=ndhB],[protein=putative NADH dehydrogenase (complex I) subunit (chain 2)],[evalue=5.41689E-17]
[locus_tag=Syncc8109_2510],[protein_id=AHF64817.1],[gene=ndhD1],"[protein=proton-translocating NADH-quinone oxidoreductase, chain M]",[locus_tag=PMT_2010],[protein_id=CAE22184.1],[gene=ndhD],[protein=putative NADH dehydrogenase (complex I) subunit (chain 4)],[evalue=0.00000E+00],[locus_tag=PMT_0427],[protein_id=CAE20602.1],[gene=ndhD],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 4)],[evalue=3.47420E-170],[locus_tag=PMT_1354],[protein_id=CAE21529.1],[gene=ndhB],[protein=putative NADH dehydrogenase (complex I) subunit (chain 2)],[evalue=1.54156E-17]
[locus_tag=Syncc8109_2512],[protein_id=AHF64819.1],[gene=None],[protein=putative segregation and condensation protein A],[locus_tag=PMT_2011],[protein_id=CAE22185.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.03819E-133]
[locus_tag=Syncc8109_2513],[protein_id=AHF64820.1],[gene=None],[protein=putative sugar-phosphate nucleotidyl transferase],[locus_tag=PMT_2012],[protein_id=CAE22186.1],[gene=None],[protein=Putative sugar-phosphate nucleotidyl transferase],[evalue=0.00000E+00],[locus_tag=PMT_0566],[protein_id=CAE20741.1],[gene=glgC],[protein=ADP-glucose pyrophosphorylase],[evalue=2.00732E-14],[locus_tag=PMT_0112],[protein_id=CAE20287.1],"[gene=rmlA, rfbA]",[protein=glucose-1-phosphate thymidylyltransferase],[evalue=1.30092E-10]
[locus_tag=Syncc8109_2514],[protein_id=AHF64821.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2013],[protein_id=CAE22187.1],[gene=None],[protein=conserved hyopthetical protein],[evalue=1.97659E-149]
[locus_tag=Syncc8109_2515],[protein_id=AHF64822.1],[gene=None],"[protein=transcriptional regulator, LuxR family]",[locus_tag=PMT_2014],[protein_id=CAE22188.1],[gene=None],"[protein=Bacterial regulatory protein, LuxR family]",[evalue=1.07308E-46],[locus_tag=PMT_2043],[protein_id=CAE22217.1],[gene=None],[protein=two-component response regulator],[evalue=1.14769E-13],[locus_tag=PMT_1655],[protein_id=CAE21830.1],[gene=None],"[protein=possible transcriptional regulator, luxR family]",[evalue=2.16542E-13]
[locus_tag=Syncc8109_2517],[protein_id=AHF64824.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2015],[protein_id=CAE22189.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.31138E-64]
[locus_tag=Syncc8109_2518],[protein_id=AHF64825.1],[gene=ppnK],[protein=NAD(+) kinase],[locus_tag=PMT_2016],[protein_id=CAE22190.1],[gene=None],[protein=predicted inorganic polyphosphate / ATP-NAD+ kinase],[evalue=5.10368E-161],[locus_tag=PMT_0368],[protein_id=CAE20543.1],[gene=None],[protein=predicted sugar kinase],[evalue=9.91236E-33]
[locus_tag=Syncc8109_2519],[protein_id=AHF64826.1],[gene=ndhE],[protein=NADH dehydrogenase I chain 4L],[locus_tag=PMT_2017],[protein_id=CAE22191.1],[gene=ndhE],[protein=putative NADH Dehydrogenase subunit],[evalue=2.33764E-60]
[locus_tag=Syncc8109_2520],[protein_id=AHF64827.1],[gene=ndhG],[protein=NADH dehydrogenase I chain 6 (or J)],[locus_tag=PMT_2018],[protein_id=CAE22192.1],[gene=ndhG],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 6)],[evalue=4.20379E-102]
[locus_tag=Syncc8109_2521],[protein_id=AHF64828.1],[gene=ndhI],"[protein=NADH-plastoquinone oxidoreductase, I subunit]",[locus_tag=PMT_2019],[protein_id=CAE22193.1],[gene=ndhI],[protein=putative NADH Dehydrogenase subunit],[evalue=1.43509E-132]
[locus_tag=Syncc8109_2522],[protein_id=AHF64829.1],[gene=ndhA],[protein=NADH dehydrogenase I chain 1 (or H)],[locus_tag=PMT_2020],[protein_id=CAE22194.1],[gene=ndhA],[protein=putative respiratory-chain NADH dehydrogenase subunit],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2523],[protein_id=AHF64830.1],[gene=gltA],[protein=2-methylcitrate synthase/citrate synthase II],[locus_tag=PMT_2021],[protein_id=CAE22195.1],[gene=gltA],[protein=Citrate synthase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2524],[protein_id=AHF64831.1],[gene=None],"[protein=phosphohistidine phosphatase, SixA]",[locus_tag=PMT_2023],[protein_id=CAE22197.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.25204E-15],[locus_tag=PMT_2022],[protein_id=CAE22196.1],[gene=None],[protein=possible Leishmanolysin],[evalue=1.85150E-09]
[locus_tag=Syncc8109_2525],[protein_id=AHF64832.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2024],[protein_id=CAE22198.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2526],[protein_id=AHF64833.1],[gene=None],[protein=Rhodanese-like protein],[locus_tag=PMT_0628],[protein_id=CAE20803.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.59875E-41],[locus_tag=PMT_1719],[protein_id=CAE21894.1],[gene=moeB],[protein=molybdopterin biosynthesis protein],[evalue=2.40220E-08]
[locus_tag=Syncc8109_2527],[protein_id=AHF64834.1],[gene=hrcA],[protein=heat-inducible transcription repressor HrcA],[locus_tag=PMT_2026],[protein_id=CAE22200.1],[gene=hrcA],[protein=Negative regulator of class I heat shock protein],[evalue=1.19828E-148]
[locus_tag=Syncc8109_2528],[protein_id=AHF64835.1],[gene=trpB],"[protein=tryptophan synthase, beta subunit]",[locus_tag=PMT_2027],[protein_id=CAE22201.1],[gene=trpB],"[protein=Tryptophan synthase, beta chain]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_2529],[protein_id=AHF64836.1],[gene=None],[protein=putative translation initiation factor SUI1],[locus_tag=PMT_2028],[protein_id=CAE22202.1],[gene=None],[protein=Translation initiation factor SUI1],[evalue=1.47558E-36]
[locus_tag=Syncc8109_2530],[protein_id=AHF64837.1],[gene=cysC],[protein=adenylylsulfate kinase],[locus_tag=PMT_2029],[protein_id=CAE22203.1],[gene=cysC],[protein=Adenylylsulfate kinase],[evalue=1.36593E-120]
[locus_tag=Syncc8109_2531],[protein_id=AHF64838.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2030],[protein_id=CAE22204.1],[gene=None],[protein=Domain of unknown function DUF20],[evalue=1.34646E-136]
[locus_tag=Syncc8109_2533],[protein_id=AHF64840.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2037],[protein_id=CAE22211.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.17384E-20]
[locus_tag=Syncc8109_2534],[protein_id=AHF64841.1],[gene=purE],"[protein=phosphoribosylaminoimidazole carboxylase, catalytic subunit]",[locus_tag=PMT_2038],[protein_id=CAE22212.1],[gene=purE],[protein=Phosphoribosylaminoimidazole carboxylase],[evalue=8.10029E-88],[locus_tag=PMT_0358],[protein_id=CAE20533.1],[gene=None],[protein=putative circadian phase modifier CpmA homolog],[evalue=8.54516E-06]
[locus_tag=Syncc8109_2535],[protein_id=AHF64842.1],[gene=nagA],[protein=N-acetylglucosamine-6-phosphate deacetylase],[locus_tag=PMT_2039],[protein_id=CAE22213.1],[gene=None],[protein=N-acetylglucosamine-6-phosphate deacetylase],[evalue=5.80430E-158]
[locus_tag=Syncc8109_2536],[protein_id=AHF64843.1],[gene=None],[protein=magnesium protoporphyrin O-methyltransferase],[locus_tag=PMT_2040],[protein_id=CAE22214.1],[gene=None],[protein=SAM (and some other nucleotide) binding motif],[evalue=3.48155E-137]
[locus_tag=Syncc8109_2537],[protein_id=AHF64844.1],[gene=None],[protein=putative pseudouridine synthase],[locus_tag=PMT_2042],[protein_id=CAE22216.1],[gene=None],[protein=Pseudouridine synthase],[evalue=1.12104E-98],[locus_tag=PMT_2109],[protein_id=CAE22283.1],[gene=rluD],[protein=putative pseudouridylate synthase specific to ribosomal large subunit],[evalue=5.13022E-19],[locus_tag=PMT_1112],[protein_id=CAE21287.1],[gene=rluA],[protein=putative pseudouridylate synthase],[evalue=2.25963E-08]
[locus_tag=Syncc8109_2538],[protein_id=AHF64845.1],[gene=None],"[protein=two component transcriptional regulator, LuxR family]",[locus_tag=PMT_2043],[protein_id=CAE22217.1],[gene=None],[protein=two-component response regulator],[evalue=2.14138E-135],[locus_tag=PMT_1988],[protein_id=CAE22162.1],[gene=rpaA],[protein=two-component response regulator],[evalue=1.49296E-31],[locus_tag=PMT_1994],[protein_id=CAE22168.1],[gene=rpaB],[protein=two-component response regulator],[evalue=7.99228E-30]
[locus_tag=Syncc8109_2539],[protein_id=AHF64846.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2044],[protein_id=CAE22218.1],[gene=None],[protein=conserved hypothetical],[evalue=9.18988E-60]
[locus_tag=Syncc8109_2540],[protein_id=AHF64847.1],[gene=nifS],[protein=NifS-like aminotransferase class-V],[locus_tag=PMT_2045],[protein_id=CAE22219.1],[gene=None],[protein=NifS-like aminotransferase class-V],[evalue=1.81502E-175],[locus_tag=PMT_0717],[protein_id=CAE20892.1],[gene=nifS],[protein=possible cysteine desulfurase (class-V aminotransferase family)],[evalue=1.07940E-51],[locus_tag=PMT_1603],[protein_id=CAE21778.1],[gene=None],[protein=putative cysteine desulfurase or selenocysteine lyase],[evalue=4.97478E-21]
[locus_tag=Syncc8109_2541],[protein_id=AHF64848.1],[gene=None],[protein=methyltransferase],[locus_tag=PMT_2048],[protein_id=CAE22222.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.64958E-147]
[locus_tag=Syncc8109_2542],[protein_id=AHF64849.1],[gene=ndhH],[protein=NADH dehydrogenase (ubiquinone)],[locus_tag=PMT_2049],[protein_id=CAE22223.1],[gene=ndhH],[protein=putative NADH Dehydrogenase subunit],[evalue=0.00000E+00]
[locus_tag=Syncc8109_2544],[protein_id=AHF64851.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2055],[protein_id=CAE22229.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.32821E-65]
[locus_tag=Syncc8109_2545],[protein_id=AHF64852.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2056],[protein_id=CAE22230.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.80917E-27]
[locus_tag=Syncc8109_2546],[protein_id=AHF64853.1],[gene=None],[protein=O-succinylbenzoate--CoA ligase],[locus_tag=PMT_2057],[protein_id=CAE22231.1],[gene=menE],[protein=probable O-succinylbenzoic acid--CoA ligase (OSB-CoA synthetase)],[evalue=6.92514E-124],[locus_tag=PMT_0215],[protein_id=CAE20390.1],[gene=fadD],[protein=putative long-chain-fatty-acid--CoA ligase],[evalue=1.63863E-07]
[locus_tag=Syncc8109_2547],[protein_id=AHF64854.1],[gene=menC],[protein=putative O-succinylbenzoate synthase],[locus_tag=PMT_2058],[protein_id=CAE22232.1],[gene=menC],[protein=putative O-succinylbenzoate synthase],[evalue=8.04325E-108]
[locus_tag=Syncc8109_2548],[protein_id=AHF64855.1],[gene=menA],"[protein=1,4-dihydroxy-2-naphthoate phytyltransferase]",[locus_tag=PMT_2059],[protein_id=CAE22233.1],[gene=menA],"[protein=1,4-dihydroxy-2-naphthoate (DHNA) octaprenyltransferase; UbiA prenyltranferase family]",[evalue=1.65680E-111]
